source,target,split,source_type,error_type,rule_ids,edits,metadata,original_clean_source,source_corpus,source_subcorpus,is_hard_negative,is_real_pair,template_id,normalized_pair_hash,error_types,source_dataset,is_clean,is_synthetic,domain,rule_id,edit_operations,calib_bucket
"В связи с тем, что неудалось обнаружить местонахождение Завадского, уголовное дело, по которому проводятся предусмотренные законом оперативно-следственные мероприятия, выделено в отдельное производство.","В связи с тем, что не удалось обнаружить местонахождение Завадского, уголовное дело, по которому проводятся предусмотренные законом оперативно-следственные мероприятия, выделено в отдельное производство.",train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""неудалось"", ""replacement"": ""не удалось"", ""edit_type"": ""split_word"", ""start"": 19, ""end"": 28, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""4284e343ca2e2a0ee915ea6e"", ""clean_hash"": ""3e34f26d9079634521f96aa30b62d1646003c2448c4301b84d40be3ec04c1d65"", ""error_bearing_span"": [19, 28], ""error_form"": ""неудалось"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Open Lenta.ru news dataset; verify terms before production."", ""normalized_pair_hash"": ""049bba1c04f3c5d5cbdf43d7605828f84685dcf2d36e590fa48e7847e39c9ada"", ""original_clean_sentence"": ""В связи с тем, что не удалось обнаружить местонахождение Завадского, уголовное дело, по которому проводятся предусмотренные законом оперативно-следственные мероприятия, выделено в отдельное производство."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""30721:4"", ""source_doc_id"": ""https://lenta.ru/news/2001/07/12/court/"", ""source_name"": ""lenta_news"", ""source_subcorpus"": ""Мир"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""synthetic_source_dataset"": ""synthetic_open_corpus_ne_verb"", ""target_family"": ""ne_verb"", ""target_form"": ""не удалось""}","В связи с тем, что не удалось обнаружить местонахождение Завадского, уголовное дело, по которому проводятся предусмотренные законом оперативно-следственные мероприятия, выделено в отдельное производство.",lenta_news,Мир,False,False,049bba1c04f3c5d5cbdf43d7,049bba1c04f3c5d5cbdf43d7605828f84685dcf2d36e590fa48e7847e39c9ada,"[""split_join""]",lenta_news,False,True,news,ne_verb,"[{""source"": ""неудалось"", ""replacement"": ""не удалось"", ""edit_type"": ""split_word"", ""start"": 19, ""end"": 28, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb""}]",rule:ne_verb
Команда недумает о задержке. Вечером отдел обновил список.... позже редактор проверил запись меткащвцеа.,Команда не думает о задержке. Вечером отдел обновил список.... позже редактор проверил запись меткащвцеа.,train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""d8ce24006d6c362eb291732b"", ""clean_hash"": ""3ea3705087eb06f0e9f9dfd0278fa77b1fa704a67846f70875ced20e2edcecd8"", ""edit_operations"": [{""confidence"": 0.35, ""edit_type"": ""split_word"", ""end"": 16, ""error_type"": ""split_join"", ""reason"": """", ""replacement"": ""не думает"", ""rule_id"": ""ne_verb"", ""source"": ""недумает"", ""start"": 8, ""status"": ""proposed""}], ""error_bearing_span"": [8, 16], ""error_form"": ""недумает"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Nerus Lenta annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""8f0519fad816dadde290e70b90c45c6e45ce7ddbfb6e46d84f28da5dc92a2f79"", ""original_clean_sentence"": ""Команда не думает о задержке. Вечером отдел обновил список.... позже редактор проверил запись меткащвцеа."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""5712"", ""source_doc_id"": ""489"", ""source_name"": ""nerus_news"", ""source_subcorpus"": ""nerus_lenta"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""syntax_family"": ""ne_with_parts_of_speech"", ""target_family"": ""ne_verb"", ""target_form"": ""не думает"", ""template_id"": ""syntax_training_ne_verb""}",Команда не думает о задержке. Вечером отдел обновил список.,nerus_news,nerus_lenta,False,False,95d7ad60a450f7f6bd14ac7b,95d7ad60a450f7f6bd14ac7beec01900b2942bfb16e0577d3500cda4fbf61d87,"[""split_join""]",nerus_news,False,True,news,ne_verb,"[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]",rule:ne_verb
С Борхесом просто вообще никогда небывает.,С Борхесом просто вообще никогда не бывает.,train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""небывает"", ""replacement"": ""не бывает"", ""edit_type"": ""split_word"", ""start"": 33, ""end"": 41, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""2efe4fd5fd2a15655fdfd58b"", ""clean_hash"": ""346af06f79e16a73941a88078f71005b4138ee297f38c74608f091f3d75a9f76"", ""error_bearing_span"": [33, 41], ""error_form"": ""небывает"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""OpenCorpora annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""ab022f34260af76ac65f92e2a586d7a62301f9554d7c3000c2ba90b5f59f2aca"", ""original_clean_sentence"": ""С Борхесом просто вообще никогда не бывает."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""30054"", ""source_doc_id"": """", ""source_name"": ""opencorpora"", ""source_subcorpus"": ""opencorpora"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""synthetic_source_dataset"": ""synthetic_open_corpus_ne_verb"", ""target_family"": ""ne_verb"", ""target_form"": ""не бывает""}",С Борхесом просто вообще никогда не бывает.,opencorpora,opencorpora,False,False,ab022f34260af76ac65f92e2,ab022f34260af76ac65f92e2a586d7a62301f9554d7c3000c2ba90b5f59f2aca,"[""split_join""]",opencorpora,False,True,mixed_nonfiction,ne_verb,"[{""source"": ""небывает"", ""replacement"": ""не бывает"", ""edit_type"": ""split_word"", ""start"": 33, ""end"": 41, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb""}]",rule:ne_verb
Команда недумает о задержке. Вечером секретарь внес подпись.... позже редактор проверил запись меткалацеа.,Команда не думает о задержке. Вечером секретарь внес подпись.... позже редактор проверил запись меткалацеа.,train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""7a97f845e87e38e8b4701841"", ""clean_hash"": ""942f50ffcaecd41de9ff584b6c68d44efcf973d8e8352651e7003b010b7565fb"", ""edit_operations"": [{""confidence"": 0.35, ""edit_type"": ""split_word"", ""end"": 16, ""error_type"": ""split_join"", ""reason"": """", ""replacement"": ""не думает"", ""rule_id"": ""ne_verb"", ""source"": ""недумает"", ""start"": 8, ""status"": ""proposed""}], ""error_bearing_span"": [8, 16], ""error_form"": ""недумает"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Nerus Lenta annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""ae0b2a0309a9327865857a6ff6fb26489ccbff9a208b103e7d11beaca5ce310b"", ""original_clean_sentence"": ""Команда не думает о задержке. Вечером секретарь внес подпись.... позже редактор проверил запись меткалацеа."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""5579"", ""source_doc_id"": ""476"", ""source_name"": ""nerus_news"", ""source_subcorpus"": ""nerus_lenta"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""syntax_family"": ""ne_with_parts_of_speech"", ""target_family"": ""ne_verb"", ""target_form"": ""не думает"", ""template_id"": ""syntax_training_ne_verb""}",Команда не думает о задержке. Вечером секретарь внес подпись.,nerus_news,nerus_lenta,False,False,3255293f026dc59335e3a642,3255293f026dc59335e3a6423ea7ec5cc2f130c39df5b493285cb51dea498a40,"[""split_join""]",nerus_news,False,True,news,ne_verb,"[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]",rule:ne_verb
"Только одна пара из двадцати несмогла одолеть подъем, тем не менее они все равно поженились, но не на вершине, а на середине горы.","Только одна пара из двадцати не смогла одолеть подъем, тем не менее они все равно поженились, но не на вершине, а на середине горы.",train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""несмогла"", ""replacement"": ""не смогла"", ""edit_type"": ""split_word"", ""start"": 29, ""end"": 37, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""d4d96dccc48bda425cff8830"", ""clean_hash"": ""c3fa460902048d6ee3658ec212828c1651c1d15c5f5ef29accc8962d07e6fa74"", ""error_bearing_span"": [29, 37], ""error_form"": ""несмогла"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Open Lenta.ru news dataset; verify terms before production."", ""normalized_pair_hash"": ""41f044d01b2f46754b94f3b31587c70c64d66dc4abd829f01251c0f85ebcad75"", ""original_clean_sentence"": ""Только одна пара из двадцати не смогла одолеть подъем, тем не менее они все равно поженились, но не на вершине, а на середине горы."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""16418:9"", ""source_doc_id"": ""https://lenta.ru/news/2000/11/14/marriage/"", ""source_name"": ""lenta_news"", ""source_subcorpus"": ""Из жизни"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""synthetic_source_dataset"": ""synthetic_open_corpus_ne_verb"", ""target_family"": ""ne_verb"", ""target_form"": ""не смогла""}","Только одна пара из двадцати не смогла одолеть подъем, тем не менее они все равно поженились, но не на вершине, а на середине горы.",lenta_news,Из жизни,False,False,41f044d01b2f46754b94f3b3,41f044d01b2f46754b94f3b31587c70c64d66dc4abd829f01251c0f85ebcad75,"[""split_join""]",lenta_news,False,True,news,ne_verb,"[{""source"": ""несмогла"", ""replacement"": ""не смогла"", ""edit_type"": ""split_word"", ""start"": 29, ""end"": 37, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb""}]",rule:ne_verb
Команда недумает о задержке. Утром специалист открыл журнал.... позже редактор проверил запись меткащбхеа.,Команда не думает о задержке. Утром специалист открыл журнал.... позже редактор проверил запись меткащбхеа.,train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""96738b369113237ddd7685bb"", ""clean_hash"": ""cc604b779a0ab2f0f693635a0f008ca960a31c0a62f1e20045b216d05f2d6770"", ""edit_operations"": [{""confidence"": 0.35, ""edit_type"": ""split_word"", ""end"": 16, ""error_type"": ""split_join"", ""reason"": """", ""replacement"": ""не думает"", ""rule_id"": ""ne_verb"", ""source"": ""недумает"", ""start"": 8, ""status"": ""proposed""}], ""error_bearing_span"": [8, 16], ""error_form"": ""недумает"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Nerus Lenta annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""ef19ce0c0b80c16ddabe83ccddf09827ea23f68eeff9a141c26b256b2aa138ed"", ""original_clean_sentence"": ""Команда не думает о задержке. Утром специалист открыл журнал.... позже редактор проверил запись меткащбхеа."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""4400"", ""source_doc_id"": ""372"", ""source_name"": ""nerus_news"", ""source_subcorpus"": ""nerus_lenta"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""syntax_family"": ""ne_with_parts_of_speech"", ""target_family"": ""ne_verb"", ""target_form"": ""не думает"", ""template_id"": ""syntax_training_ne_verb""}",Команда не думает о задержке. Утром специалист открыл журнал.,nerus_news,nerus_lenta,False,False,d29b326df36ba9a84f505756,d29b326df36ba9a84f505756ab476b12679194330d65631f91ec56cf39d5958c,"[""split_join""]",nerus_news,False,True,news,ne_verb,"[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]",rule:ne_verb
"И помнить, что карта никогда нестанет самой территорией.","И помнить, что карта никогда не станет самой территорией.",train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""нестанет"", ""replacement"": ""не станет"", ""edit_type"": ""split_word"", ""start"": 29, ""end"": 37, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""2c6776b15fd1d1a18955e4b2"", ""clean_hash"": ""f913f5e20b63b05851ad4a956327eb2c51471a966d917c74272b3c17ff8e5a7a"", ""error_bearing_span"": [29, 37], ""error_form"": ""нестанет"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""OpenCorpora annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""1dc6c402d2471ec7af28769a05059e5ca94b4163274334e5414541ebc9b85772"", ""original_clean_sentence"": ""И помнить, что карта никогда не станет самой территорией."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""2608"", ""source_doc_id"": """", ""source_name"": ""opencorpora"", ""source_subcorpus"": ""opencorpora"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""synthetic_source_dataset"": ""synthetic_open_corpus_ne_verb"", ""target_family"": ""ne_verb"", ""target_form"": ""не станет""}","И помнить, что карта никогда не станет самой территорией.",opencorpora,opencorpora,False,False,1dc6c402d2471ec7af28769a,1dc6c402d2471ec7af28769a05059e5ca94b4163274334e5414541ebc9b85772,"[""split_join""]",opencorpora,False,True,mixed_nonfiction,ne_verb,"[{""source"": ""нестанет"", ""replacement"": ""не станет"", ""edit_type"": ""split_word"", ""start"": 29, ""end"": 37, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb""}]",rule:ne_verb
Команда недумает о задержке. Позже комиссия открыла протокол.... позже редактор проверил запись меткавгхеа.,Команда не думает о задержке. Позже комиссия открыла протокол.... позже редактор проверил запись меткавгхеа.,train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""24de019b39fa0ad64b71eed5"", ""clean_hash"": ""04b7b620c331c29a0cfec6192ec1d06778811986d3e37b7125e35eb856e2fe84"", ""edit_operations"": [{""confidence"": 0.35, ""edit_type"": ""split_word"", ""end"": 16, ""error_type"": ""split_join"", ""reason"": """", ""replacement"": ""не думает"", ""rule_id"": ""ne_verb"", ""source"": ""недумает"", ""start"": 8, ""status"": ""proposed""}], ""error_bearing_span"": [8, 16], ""error_form"": ""недумает"", ""generation_strategy"": ""fallback_natural_template"", ""license_status"": ""Nerus Lenta annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""d2c4fca771c804c6a7e177e8ecd5b3c7d05de76e1131ea3d412e93ce93969b59"", ""original_clean_sentence"": ""Команда не думает о задержке. Позже комиссия открыла протокол.... позже редактор проверил запись меткавгхеа."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""4463"", ""source_doc_id"": ""377"", ""source_name"": ""nerus_news"", ""source_subcorpus"": ""nerus_lenta"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""syntax_family"": ""ne_with_parts_of_speech"", ""target_family"": ""ne_verb"", ""target_form"": ""не думает"", ""template_id"": ""syntax_training_ne_verb""}",Команда не думает о задержке. Позже комиссия открыла протокол.,nerus_news,nerus_lenta,False,False,9392c3caeaccb5cf7d7a49f7,9392c3caeaccb5cf7d7a49f7b8fb5835b76d91d44ef22d682fe8958179847c88,"[""split_join""]",nerus_news,False,True,news,ne_verb,"[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]",rule:ne_verb
"Танцовщица отметила, что несобирается бросать подработку.","Танцовщица отметила, что не собирается бросать подработку.",train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""несобирается"", ""replacement"": ""не собирается"", ""edit_type"": ""split_word"", ""start"": 25, ""end"": 37, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""0c1352f33d71faa1af76d621"", ""clean_hash"": ""b3b529f3db75afc6b83253a230de2cc0d785fd941ea76b29f5b3557ddc26f3c6"", ""error_bearing_span"": [25, 37], ""error_form"": ""несобирается"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Nerus Lenta annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""03cd7a8296661318df86ba7e1f868e2f468291cd5c92d58c0bb0ad90975aa355"", ""original_clean_sentence"": ""Танцовщица отметила, что не собирается бросать подработку."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""175099"", ""source_doc_id"": ""14739"", ""source_name"": ""nerus_news"", ""source_subcorpus"": ""nerus_lenta"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""synthetic_source_dataset"": ""synthetic_open_corpus_ne_verb"", ""target_family"": ""ne_verb"", ""target_form"": ""не собирается""}","Танцовщица отметила, что не собирается бросать подработку.",nerus_news,nerus_lenta,False,False,03cd7a8296661318df86ba7e,03cd7a8296661318df86ba7e1f868e2f468291cd5c92d58c0bb0ad90975aa355,"[""split_join""]",nerus_news,False,True,news,ne_verb,"[{""source"": ""несобирается"", ""replacement"": ""не собирается"", ""edit_type"": ""split_word"", ""start"": 25, ""end"": 37, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb""}]",rule:ne_verb
Команда недумает о задержке. Позже комиссия вернула письмо..,Команда не думает о задержке. Позже комиссия вернула письмо..,train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""b46d94c804f72104e992a2d0"", ""clean_hash"": ""acac53068a1b9304333f16163f406ddf6bbe2d3e773c2f7e4ae0db34a3211b24"", ""edit_operations"": [{""confidence"": 0.35, ""edit_type"": ""split_word"", ""end"": 16, ""error_type"": ""split_join"", ""reason"": """", ""replacement"": ""не думает"", ""rule_id"": ""ne_verb"", ""source"": ""недумает"", ""start"": 8, ""status"": ""proposed""}], ""error_bearing_span"": [8, 16], ""error_form"": ""недумает"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Nerus Lenta annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""033cea9392a8a7aea609510437b91185569cd93bc40ff5337577c911ea9fcbd0"", ""original_clean_sentence"": ""Команда не думает о задержке. Позже комиссия вернула письмо. ????? ???????? ???????? ???????? ???."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""4166"", ""source_doc_id"": ""352"", ""source_name"": ""nerus_news"", ""source_subcorpus"": ""nerus_lenta"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""syntax_family"": ""ne_with_parts_of_speech"", ""target_family"": ""ne_verb"", ""target_form"": ""не думает"", ""template_id"": ""syntax_training_ne_verb""}",Команда не думает о задержке. Позже комиссия вернула письмо.,nerus_news,nerus_lenta,False,False,033cea9392a8a7aea6095104,033cea9392a8a7aea609510437b91185569cd93bc40ff5337577c911ea9fcbd0,"[""split_join""]",nerus_news,False,True,news,ne_verb,"[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]",rule:ne_verb
