split,rule_id,source_type,error_type,count
test,address_comma,synthetic,punctuation,100
test,clean_identity,clean,clean_identity,250
test,clean_identity_hard_negative,hard_negative,hard_negative,250
test,comma_conjunction,synthetic,punctuation,183
test,comma_subordinate,synthetic,punctuation,233
test,comparative_turnover_comma,synthetic,punctuation,83
test,context_chto_by,synthetic,split_join,46
test,context_nesmotrya,synthetic,split_join,90
test,context_tak_zhe,synthetic,split_join,45
test,context_to_zhe,synthetic,split_join,46
test,context_vsledstvie,synthetic,split_join,45
test,context_za_to,synthetic,split_join,45
test,cy_exception,synthetic,spelling,11
test,detached_adverbial_comma,synthetic,punctuation,108
test,dictionary_fuzzy,synthetic,spelling,69
test,direct_speech_colon,synthetic,punctuation,100
test,direct_speech_dash,synthetic,punctuation,33
test,direct_speech_quotes,synthetic,punctuation,100
test,double_consonant_candidate,synthetic,spelling,69
test,enumeration_colon,synthetic,punctuation,100
test,extra_letter_candidate,synthetic,spelling,69
test,final_punctuation_default,synthetic,final_punctuation,208
test,frequent_error_exact,synthetic,spelling,360
test,frequent_error_exact,synthetic,split_join,167
test,homogeneous_comma,synthetic,punctuation,109
test,hyphen_koe_koy,synthetic,hyphen,83
test,hyphen_particles,synthetic,hyphen,100
test,hyphen_po_adverbs,synthetic,hyphen,83
test,hyphen_whitelist,synthetic,hyphen,172
test,introductory_comma,synthetic,punctuation,125
test,keyboard_typo_candidate,synthetic,spelling,69
test,missing_hard_sign,synthetic,spelling,55
test,missing_letter_candidate,synthetic,spelling,69
test,n_nn_adjective,synthetic,spelling,65
test,n_nn_deverbal_adjective,synthetic,spelling,11
test,n_nn_participle,synthetic,spelling,45
test,n_nn_short_form,synthetic,spelling,17
test,ne_adjective,synthetic,split_join,74
test,ne_adverb,synthetic,split_join,30
test,ne_participle,synthetic,split_join,29
test,ne_verb,synthetic,split_join,133
test,pattern_жо_же,synthetic,spelling,15
test,pattern_жы_жи,synthetic,spelling,32
test,pattern_цы_ци,synthetic,spelling,76
test,pattern_чо_че,synthetic,spelling,17
test,pattern_чю_чу,synthetic,spelling,13
test,pattern_чя_ча,synthetic,spelling,45
test,pattern_шо_ше,synthetic,spelling,43
test,pattern_шы_ши,synthetic,spelling,55
test,pattern_що_ще,synthetic,spelling,8
test,pattern_щю_щу,synthetic,spelling,16
test,pattern_щя_ща,synthetic,spelling,12
test,pol_polu_compounds,synthetic,hyphen,83
test,prefix_pre_pri,synthetic,spelling,69
test,prefix_s_to_z,synthetic,spelling,38
test,prefix_z_to_s,synthetic,spelling,59
test,sdelat_prefix,synthetic,spelling,14
test,soft_to_hard_sign,synthetic,spelling,55
test,subject_predicate_dash,synthetic,punctuation,117
test,swapped_letters_candidate,synthetic,spelling,69
test,tsya_soft_delete,synthetic,spelling,55
test,tsya_soft_insert,synthetic,spelling,27
test,unknown,real,spelling,125
train,address_comma,synthetic,punctuation,1000
train,clean_identity,clean,clean_identity,2500
train,clean_identity_hard_negative,hard_negative,hard_negative,2500
train,comma_conjunction,synthetic,punctuation,1833
train,comma_subordinate,synthetic,punctuation,2334
train,comparative_turnover_comma,synthetic,punctuation,834
train,context_chto_by,synthetic,split_join,453
train,context_nesmotrya,synthetic,split_join,904
train,context_tak_zhe,synthetic,split_join,453
train,context_to_zhe,synthetic,split_join,453
train,context_vsledstvie,synthetic,split_join,452
train,context_za_to,synthetic,split_join,452
train,cy_exception,synthetic,spelling,55
train,detached_adverbial_comma,synthetic,punctuation,1083
train,dictionary_fuzzy,synthetic,spelling,691
train,direct_speech_colon,synthetic,punctuation,1000
train,direct_speech_dash,synthetic,punctuation,333
train,direct_speech_quotes,synthetic,punctuation,1000
train,double_consonant_candidate,synthetic,spelling,691
train,enumeration_colon,synthetic,punctuation,1000
train,extra_letter_candidate,synthetic,spelling,691
train,final_punctuation_default,synthetic,final_punctuation,2084
train,frequent_error_exact,synthetic,spelling,3598
train,frequent_error_exact,synthetic,split_join,1667
train,homogeneous_comma,synthetic,punctuation,1083
train,hyphen_koe_koy,synthetic,hyphen,834
train,hyphen_particles,synthetic,hyphen,1000
train,hyphen_po_adverbs,synthetic,hyphen,834
train,hyphen_whitelist,synthetic,hyphen,1779
train,introductory_comma,synthetic,punctuation,1250
train,keyboard_typo_candidate,synthetic,spelling,691
train,missing_hard_sign,synthetic,spelling,553
train,missing_letter_candidate,synthetic,spelling,691
train,n_nn_adjective,synthetic,spelling,652
train,n_nn_deverbal_adjective,synthetic,spelling,108
train,n_nn_participle,synthetic,spelling,455
train,n_nn_short_form,synthetic,spelling,167
train,ne_adjective,synthetic,split_join,741
train,ne_adverb,synthetic,split_join,296
train,ne_participle,synthetic,split_join,297
train,ne_verb,synthetic,split_join,1333
train,pattern_жо_же,synthetic,spelling,151
train,pattern_жы_жи,synthetic,spelling,315
train,pattern_цы_ци,synthetic,spelling,766
train,pattern_чо_че,synthetic,spelling,164
train,pattern_чю_чу,synthetic,spelling,135
train,pattern_чя_ча,synthetic,spelling,452
train,pattern_шо_ше,synthetic,spelling,433
train,pattern_шы_ши,synthetic,spelling,553
train,pattern_що_ще,synthetic,spelling,82
train,pattern_щю_щу,synthetic,spelling,160
train,pattern_щя_ща,synthetic,spelling,120
train,pol_polu_compounds,synthetic,hyphen,834
train,prefix_pre_pri,synthetic,spelling,691
train,prefix_s_to_z,synthetic,spelling,382
train,prefix_z_to_s,synthetic,spelling,584
train,sdelat_prefix,synthetic,spelling,140
train,soft_to_hard_sign,synthetic,spelling,554
train,subject_predicate_dash,synthetic,punctuation,1167
train,swapped_letters_candidate,synthetic,spelling,691
train,tsya_soft_delete,synthetic,spelling,553
train,tsya_soft_insert,synthetic,spelling,277
train,unknown,real,spelling,1250
val,address_comma,synthetic,punctuation,100
val,clean_identity,clean,clean_identity,250
val,clean_identity_hard_negative,hard_negative,hard_negative,250
val,comma_conjunction,synthetic,punctuation,184
val,comma_subordinate,synthetic,punctuation,233
val,comparative_turnover_comma,synthetic,punctuation,83
val,context_chto_by,synthetic,split_join,45
val,context_nesmotrya,synthetic,split_join,90
val,context_tak_zhe,synthetic,split_join,46
val,context_to_zhe,synthetic,split_join,45
val,context_vsledstvie,synthetic,split_join,45
val,context_za_to,synthetic,split_join,45
val,cy_exception,synthetic,spelling,10
val,detached_adverbial_comma,synthetic,punctuation,109
val,dictionary_fuzzy,synthetic,spelling,69
val,direct_speech_colon,synthetic,punctuation,100
val,direct_speech_dash,synthetic,punctuation,34
val,direct_speech_quotes,synthetic,punctuation,100
val,double_consonant_candidate,synthetic,spelling,69
val,enumeration_colon,synthetic,punctuation,100
val,extra_letter_candidate,synthetic,spelling,69
val,final_punctuation_default,synthetic,final_punctuation,208
val,frequent_error_exact,synthetic,spelling,360
val,frequent_error_exact,synthetic,split_join,166
val,homogeneous_comma,synthetic,punctuation,108
val,hyphen_koe_koy,synthetic,hyphen,83
val,hyphen_particles,synthetic,hyphen,100
val,hyphen_po_adverbs,synthetic,hyphen,83
val,hyphen_whitelist,synthetic,hyphen,182
val,introductory_comma,synthetic,punctuation,125
val,keyboard_typo_candidate,synthetic,spelling,69
val,missing_hard_sign,synthetic,spelling,55
val,missing_letter_candidate,synthetic,spelling,69
val,n_nn_adjective,synthetic,spelling,65
val,n_nn_deverbal_adjective,synthetic,spelling,11
val,n_nn_participle,synthetic,spelling,46
val,n_nn_short_form,synthetic,spelling,17
val,ne_adjective,synthetic,split_join,74
val,ne_adverb,synthetic,split_join,29
val,ne_participle,synthetic,split_join,30
val,ne_verb,synthetic,split_join,134
val,pattern_жо_же,synthetic,spelling,15
val,pattern_жы_жи,synthetic,spelling,31
val,pattern_цы_ци,synthetic,spelling,77
val,pattern_чо_че,synthetic,spelling,16
val,pattern_чю_чу,synthetic,spelling,14
val,pattern_чя_ча,synthetic,spelling,45
val,pattern_шо_ше,synthetic,spelling,43
val,pattern_шы_ши,synthetic,spelling,55
val,pattern_що_ще,synthetic,spelling,8
val,pattern_щю_щу,synthetic,spelling,16
val,pattern_щя_ща,synthetic,spelling,12
val,pol_polu_compounds,synthetic,hyphen,83
val,prefix_pre_pri,synthetic,spelling,69
val,prefix_s_to_z,synthetic,spelling,38
val,prefix_z_to_s,synthetic,spelling,58
val,sdelat_prefix,synthetic,spelling,14
val,soft_to_hard_sign,synthetic,spelling,55
val,subject_predicate_dash,synthetic,punctuation,116
val,swapped_letters_candidate,synthetic,spelling,69
val,tsya_soft_delete,synthetic,spelling,55
val,tsya_soft_insert,synthetic,spelling,28
