source_type,source_corpus,source_subcorpus,count
clean_identity_from_open_clean,lenta_news,Библиотека,32
clean_identity_from_open_clean,lenta_news,Интернет и СМИ,657
clean_identity_from_open_clean,lenta_news,Мир,4262
clean_identity_from_open_clean,lenta_news,Россия,6239
clean_identity_from_open_clean,lenta_news,Экономика,1731
clean_identity_from_open_clean,nerus_news,nerus_lenta,12914
clean_identity_from_open_clean,opencorpora,opencorpora,12801
clean_identity_from_open_clean,taiga_hf_news_rest,Interfax,12996
hard_negative_from_open_clean,bounded_hard_negative,hyphen_po_adverbs,6
hard_negative_from_open_clean,bounded_hard_negative,ne_short_form,6
hard_negative_from_open_clean,lenta_news,Интернет и СМИ,1528
hard_negative_from_open_clean,lenta_news,Мир,2579
hard_negative_from_open_clean,lenta_news,Россия,6935
hard_negative_from_open_clean,lenta_news,Экономика,1864
hard_negative_from_open_clean,nerus_news,nerus_lenta,12905
hard_negative_from_open_clean,opencorpora,opencorpora,12905
hard_negative_from_open_clean,taiga_hf_news_rest,Interfax,12904
real_error_pair,sage_github_typo_ru,,56
real_error_pair,sage_medspellchecker,,96
real_error_pair,sage_multidomain_gold,,1075
real_error_pair,sage_ruspellru,,722
synthetic_augmented_from_open_clean,lenta_news,Библиотека,22
synthetic_augmented_from_open_clean,lenta_news,Из жизни,1194
synthetic_augmented_from_open_clean,lenta_news,Интернет и СМИ,3929
synthetic_augmented_from_open_clean,lenta_news,Культура,2307
synthetic_augmented_from_open_clean,lenta_news,Мир,9978
synthetic_augmented_from_open_clean,lenta_news,Россия,18175
synthetic_augmented_from_open_clean,lenta_news,Спорт,1920
synthetic_augmented_from_open_clean,lenta_news,Экономика,4676
synthetic_augmented_from_open_clean,nerus_news,nerus_lenta,52722
synthetic_augmented_from_open_clean,opencorpora,opencorpora,10531
synthetic_augmented_from_open_clean,taiga_hf_news_rest,Interfax,21737
