taxonomy_key,domain,rule_id,training_decision,training_reason,activation_stage,production_ready,training_candidate,include,include_in_training,activation_exclusion_reason,has_candidate_path,has_synthetic_support,has_hard_negative_support,has_validator_support,requires,validator_probe_status,validator_probe_reason,validator_probe_passed_examples,validator_probe_example_count
orthography_1_1_2_1,orthography,pattern_чя_ча,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_1_2_1,orthography,pattern_щя_ща,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_1_2_1,orthography,pattern_чю_чу,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_1_2_1,orthography,pattern_щю_щу,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_1_2_2,orthography,pattern_жы_жи,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is model training distribution; candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_1_2_2,orthography,pattern_шы_ши,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is model training distribution; candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_1_2_2,orthography,pattern_цы_ци,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is model training distribution; candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_1_2_2,orthography,cy_exception,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is model training distribution; candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_1_2_3,orthography,pattern_жо_же,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_1_2_3,orthography,pattern_шо_ше,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_1_2_3,orthography,pattern_чо_че,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_1_2_3,orthography,pattern_що_ще,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_1_4_1,orthography,soft_to_hard_sign,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_1_4_1,orthography,missing_hard_sign,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_1_4_4,orthography,tsya_soft_insert,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""model"", ""morphology"", ""syntax""]",,,0,0
orthography_1_1_4_4,orthography,tsya_soft_delete,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""model"", ""morphology"", ""syntax""]",,,0,0
orthography_1_2_3_2,orthography,prefix_pre_pri,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary"", ""model""]",,,0,0
orthography_1_2_9_8,orthography,ni_stable_expression,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""model"", ""morphology"", ""syntax""]",,,0,0
orthography_1_3_1_4,orthography,sdelat_prefix,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_3_1_4,orthography,prefix_z_to_s,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_3_1_4,orthography,prefix_s_to_z,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary""]",,,0,0
orthography_1_3_6_5,orthography,n_nn_adjective,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary"", ""model"", ""morphology"", ""syntax""]",,,0,0
orthography_1_3_6_6,orthography,n_nn_participle,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary"", ""model"", ""morphology"", ""syntax""]",,,0,0
orthography_1_3_6_7,orthography,n_nn_deverbal_adjective,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary"", ""model"", ""morphology"", ""syntax""]",,,0,0
orthography_1_3_6_8,orthography,n_nn_short_form,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary"", ""model"", ""morphology"", ""syntax""]",,,0,0
orthography_1_3_6_9,orthography,double_consonant_candidate,INCLUDE_AFTER_VALIDATOR,candidate path verified; validator guards and hard negatives are required before dataset build,validator_dependent,False,True,True,True,runtime_validator_supported,True,True,True,True,"[""dictionary"", ""model""]",,,0,0
orthography_3_1_1_2_9,orthography,pol_polu_compounds,INCLUDE_AFTER_THRESHOLD_CALIBRATION,candidate path verified; current blocker is threshold calibration,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary"", ""model"", ""morphology""]",,,0,0
orthography_3_4_1,orthography,context_to_zhe,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""syntax"", ""morphology"", ""model""]",,,0,0
orthography_3_4_1,orthography,context_chto_by,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""syntax"", ""morphology"", ""model""]",,,0,0
orthography_3_4_2_1,orthography,hyphen_koe_koy,INCLUDE_NOW,"candidate, synthetic, hard-negative, and validator gates are available",production_ready,True,True,True,True,policy_decision_included,True,True,True,True,"[""model""]",,,0,0
orthography_3_4_2_2,orthography,hyphen_particles,INCLUDE_NOW,"candidate, synthetic, hard-negative, and validator gates are available",production_ready,True,True,True,True,policy_decision_included,True,True,True,True,"[""model""]",,,0,0
orthography_3_4_3_2,orthography,context_to_zhe,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""syntax"", ""morphology"", ""model""]",,,0,0
orthography_3_4_3_2,orthography,context_chto_by,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""syntax"", ""morphology"", ""model""]",,,0,0
orthography_3_5_3_2,orthography,hyphen_po_adverbs,INCLUDE_AFTER_VALIDATOR,candidate path verified; validator guards and hard negatives are required before dataset build,validator_dependent,False,True,True,True,runtime_validator_supported,True,True,True,True,"[""model""]",,,0,0
orthography_3_5_4,orthography,ne_adverb,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""syntax"", ""morphology"", ""model""]",,,0,0
orthography_3_5_4,orthography,ne_predicative,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""syntax"", ""morphology"", ""model""]",,,0,0
orthography_3_6_1_1,orthography,context_vsledstvie,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""model"", ""syntax""]",,,0,0
orthography_3_6_1_1,orthography,context_nesmotrya,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""model"", ""syntax""]",,,0,0
orthography_3_6_1_2,orthography,context_chto_by,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""syntax"", ""morphology"", ""model""]",,,0,0
orthography_3_6_1_2,orthography,context_za_to,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified; candidate recall and hard-negative gates pass,threshold_calibration,False,True,True,True,policy_decision_included,True,True,True,True,"[""syntax"", ""morphology"", ""model""]",,,0,0
