frame_id,verb_lemma,subject_classes,object_classes,prep_slots,allow_ne,frame_family
check_document,проверить,person|organization|software_agent,document|report|text|calculation|task,,true,document_work
prepare_document,подготовить,person|organization,document|report|message|file|plan,,true,document_work
buy_goods,купить,person|organization,food|goods|object|property|service,,true,buying
read_text,прочитать,person,book|document|text|message|report,,true,reading
say_fact,сказать,person|organization,fact,,true,communication
subordinate_say,сказать,person|organization,,,true,subordinate_complement
subordinate_report,сообщить,person|organization,,,true,subordinate_complement
subordinate_confirm,подтвердить,person|organization,,,true,subordinate_complement
subordinate_notice,заметить,person|organization,,,true,subordinate_complement
subordinate_decide,решить,person|organization,,,true,subordinate_complement
subordinate_understand,понять,person|organization,,,true,subordinate_complement
subordinate_write,написать,person|organization,,,true,subordinate_complement
subordinate_indicate,указать,person|organization,,,true,subordinate_complement
subordinate_clarify,уточнить,person|organization,,,true,subordinate_complement
subordinate_explain,пояснить,person|organization,,,true,subordinate_complement
subordinate_observe,отследить,person|organization|software_agent,,,true,subordinate_complement
check_showed,показать,event,,,true,subordinate_complement
check_established,установить,event,,,true,subordinate_complement
explain_issue,объяснить,person|organization,question|problem|decision|rule,,true,communication
notice_error,заметить,person|organization,error|fact|problem,,true,perception
solve_task,решить,person|organization,task|problem|question|issue,,true,problem_solving
contain_info,содержать,document|text|report|law,information|error|requirement|fact,,true,content
process_data,обработать,person|organization|software_agent,data|file|request|document,,true,data
send_message,отправить,person|organization|software_agent,message|file|document,to:dat:person,true,communication
approve_decision,утвердить,person|organization,decision|document|plan|report,,true,approval
publish_report,опубликовать,person|organization,report|document|text|decision,,true,publication
stand_place,стоять,building|object|vehicle,,в:loct:place|на:loct:surface|у:gent:place,true,location
lie_place,лежать,document|object|book|file,,в:loct:place|на:loct:surface,true,location
happen_event,произойти,event|meeting|process,,,true,event
regulate_law,регулировать,law|document,process|question|issue|requirement,,true,regulation
include_requirement,включать,document|plan|report,requirement|fact|information,,true,content
store_file,сохранить,person|organization|software_agent,file|document|data,,true,storage
correct_error,исправить,person|organization|software_agent,error|document|text|file,,true,correction
compare_result,сравнить,person|organization|software_agent,document|result|data|report,,true,comparison
review_report,проверить,person|organization|software_agent,report|document|file,,true,document_work
write_text,написать,person,text|message|document,,true,document_work
create_file,создать,person|organization|software_agent,file|document|plan,,true,document_work
update_file,обновить,person|organization|software_agent,file|document|data,,true,file_action
delete_file,удалить,person|organization|software_agent,file|data|message,,true,file_action
receive_message,получить,person|organization|software_agent,message|file|document,от:gent:person|от:gent:organization,true,communication
answer_request,ответить,person|organization,,на:accs:request|на:accs:question,true,communication
ask_question,задать,person,question,,true,communication
discuss_issue,обсудить,person|organization,question|problem|issue|plan,,true,communication
find_error,найти,person|organization|software_agent,error|file|document|data,,true,perception
fix_problem,устранить,person|organization|software_agent,problem|issue|error,,true,correction
analyze_data,проанализировать,person|organization|software_agent,data|report|calculation,,true,data
calculate_result,рассчитать,person|software_agent,calculation|result,,true,calculation
show_result,показать,person|organization|software_agent,result|report|document,,true,communication
save_data,сохранить,person|organization|software_agent,data|file|document,,true,storage
open_file,открыть,person|software_agent,file|document|book,,true,file_action
close_file,закрыть,person|software_agent,file|document,,true,file_action
sign_document,подписать,person|organization,document|plan|report,,true,document_work
reject_request,отклонить,person|organization,request|plan|decision,,true,approval
accept_request,принять,person|organization,request|decision|plan,,true,approval
schedule_meeting,назначить,person|organization,meeting|event,,true,meeting_work
hold_meeting,провести,person|organization,meeting|event,,true,meeting_work
cancel_event,отменить,person|organization,event|meeting,,true,event_work
move_object,переместить,person|organization|software_agent,object|file,,true,movement
place_object,поставить,person,object|book|file,на:acc:surface,true,placement
be_located,находиться,building|object|document|file|book,,в:loct:place|на:loct:surface,true,location
stand_surface,стоять,object|vehicle,,на:loct:surface,true,location
law_contains,содержать,law,information|requirement|rule,,true,content
check_file_repeat,проверять,person|organization|software_agent,document|report|text|file|task|calculation,,true,document_work
analyze_report_detail,анализировать,person|organization|software_agent,data|report|calculation|result|file,,true,data
research_question,исследовать,person|organization,question|problem|issue|fact|process,,true,problem_solving
verify_document_pair,сверить,person|organization|software_agent,document|report|file|data|calculation,,true,comparison
compare_requirements,сопоставить,person|organization|software_agent,document|report|data|result|requirement,,true,comparison
compare_data_flow,сопоставлять,person|organization|software_agent,data|report|result|calculation,,true,comparison
edit_text,редактировать,person|organization|software_agent,text|document|message|file|report,,true,correction
edit_document_done,отредактировать,person|organization|software_agent,text|document|message|file|report,,true,correction
upload_file,загрузить,person|organization|software_agent,file|document|data,,true,file_action
upload_file_repeat,загружать,person|organization|software_agent,file|document|data,,true,file_action
export_data,выгрузить,person|organization|software_agent,data|file|report,,true,file_action
export_data_repeat,выгружать,person|organization|software_agent,data|file|report,,true,file_action
attach_document,прикрепить,person|organization|software_agent,file|document|report,,true,file_action
attach_document_repeat,прикреплять,person|organization|software_agent,file|document|report,,true,file_action
forward_message,переслать,person|organization|software_agent,message|file|document,,true,communication
forward_message_repeat,пересылать,person|organization|software_agent,message|file|document,,true,communication
describe_issue,описать,person|organization|software_agent,problem|issue|rule|process|result|document|text,,true,content
teach_person,обучать,person|organization,person,,true,education
train_person,обучить,person|organization,person,,true,education
observe_process,наблюдать,person|organization|software_agent,process|event|meeting|service,,true,perception
track_status,отслеживать,person|organization|software_agent,result|process|request|file|data|issue,,true,perception
track_event_done,отследить,person|organization|software_agent,event|issue|process|request,,true,perception
test_service,тестировать,person|organization|software_agent,service|file|object|process|data,,true,data
test_service_done,протестировать,person|organization|software_agent,service|file|object|process|data,,true,data
clarify_question,уточнить,person|organization,question|requirement|request|fact,,true,communication
clarify_question_repeat,уточнять,person|organization,question|requirement|request|fact,,true,communication
form_report,сформировать,person|organization|software_agent,report|document|plan|request|result,,true,document_work
form_report_repeat,формировать,person|organization|software_agent,report|document|plan|request|result,,true,document_work
explain_rule_detail,пояснить,person|organization,rule|question|problem|requirement,,true,communication
explain_rule_repeat,пояснять,person|organization,rule|question|problem|requirement,,true,communication
document_describes,описывать,document|report|text,process|problem|decision|fact,,true,content
report_shows,показывать,report,data|result|fact,,true,content
plan_includes,включать,plan,requirement|task|event,,true,content
message_contains,содержать,message,fact|information|request,,true,content
book_contains,содержать,book,text|fact|information,,true,content
data_indicates,показывать,data,fact|result|error,,true,content
software_checks,проверить,software_agent,document|file|data,,true,document_work
system_sends,отправить,software_agent,message|file,to:dat:person,true,communication
animal_eats,съесть,animal,food,,true,biological_action
person_eats,съесть,person,food,,true,biological_action
