rule_id,taxonomy_key,title,decision,activation_bucket,has_candidate_path,has_synthetic_support,has_syntax_support,has_hard_negative_support,has_validator_support,empirical_validator_support,generated_probe_count,verifier_pass_count,candidate_recall,included,reason
abbreviation_case_protection,orthography_5_1_1,Аббревиатуры инициального типа,INCLUDE_AFTER_VALIDATOR,validator_dependent,True,True,True,True,True,False,0,0,0.0,False,below_min_atomic_positive_quota
address_comma,punctuation_6_2_1,Обращение в составе предложения,INCLUDE_NOW,production_ready,True,True,True,True,True,False,0,0,0.0,False,below_min_atomic_positive_quota
apposition_comma,punctuation_5_3,Знаки препинания при приложениях,INCLUDE_AFTER_THRESHOLD_CALIBRATION,threshold_calibration,True,True,True,True,True,False,0,0,1.0,False,below_min_atomic_positive_quota
asyndetic_dash,punctuation_7_3_1,Запятая в бессоюзном сложном предложении,INCLUDE_AFTER_THRESHOLD_CALIBRATION,threshold_calibration,True,True,True,True,True,False,0,0,0.0,False,below_min_atomic_positive_quota
bracket_pair_balance,punctuation_9_5,Разные знаки со скобками,INCLUDE_AFTER_THRESHOLD_CALIBRATION,threshold_calibration,True,True,True,True,True,False,0,0,0.0,False,below_min_atomic_positive_quota
capitalization_ner,orthography_4_1_1,"Личные имена, отчества, фамилии, псевдонимы, прозвища",BLOCK_NEEDS_NER,blocked,True,False,True,False,True,False,0,0,0.0,False,needs_NER
capitalization_sentence_start,orthography_4_12,Прописные буквы после знаков препинания,INCLUDE_AFTER_VALIDATOR,validator_dependent,True,True,True,True,True,False,0,0,1.0,False,below_min_atomic_positive_quota
clarification_comma,punctuation_5_5,Знаки препинания при ограничительно-выделительных оборотах,INCLUDE_AFTER_THRESHOLD_CALIBRATION,threshold_calibration,True,True,True,True,True,False,0,0,1.0,False,below_min_atomic_positive_quota
comma_conjunction,punctuation_7_1_1,Запятая между частями сложносочинённого предложения,INCLUDE_NOW,production_ready,True,True,True,True,True,False,0,0,1.0,False,below_min_atomic_positive_quota
comma_subordinate,punctuation_7_2_1,Постановка запятой между частями сложноподчинённого предложения,INCLUDE_NOW,production_ready,True,True,True,True,True,False,0,0,1.0,False,below_min_atomic_positive_quota
comparative_turnover_comma,punctuation_5_8_1,"Обороты со сравнительными союзами, кроме «как», или частицами",INCLUDE_NOW,production_ready,True,True,True,True,True,False,0,0,0.0,False,below_min_atomic_positive_quota
consequence_dash,punctuation_7_3_1,Запятая в бессоюзном сложном предложении,INCLUDE_AFTER_THRESHOLD_CALIBRATION,threshold_calibration,True,True,True,True,True,False,0,0,0.0,False,below_min_atomic_positive_quota
context_chto_by,orthography_3_4_1,Слитное написание местоименных слов,INCLUDE_AFTER_THRESHOLD_CALIBRATION,threshold_calibration,True,True,True,True,True,False,0,0,0.0,False,below_min_atomic_positive_quota
