rule_id,in_training_candidates,has_any_recipe,recipe_enabled,disabled_reason,covered_by_corpus_miner,covered_by_syntax_miner,covered_by_morphology_miner,covered_by_real_pattern_replay,covered_by_enabled_rule_lab,generation_support_sources,status,main_blocker,recommended_next_action
abbreviation_case_protection,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
address_comma,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
apposition_comma,True,True,False,covered_by_non_rule_lab_sources,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,validate_pattern_replay
asyndetic_dash,True,True,False,candidate_missing,False,True,False,False,False,syntax_mined,blocked_needs_candidate_generator,candidate_missing,fix_candidate_generator_or_rule_mapping
bracket_pair_balance,True,True,True,,False,False,False,False,True,rule_lab,enabled_rule_lab_recipe,,monitor_enabled_rule_lab_recipe
capitalization_sentence_start,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
clarification_comma,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
comma_conjunction,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
comma_subordinate,True,True,False,covered_by_non_rule_lab_sources,False,True,False,True,False,"syntax_mined,real_pattern_replay",covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,validate_non_rule_lab_generation_sources
comparative_turnover_comma,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
consequence_dash,True,True,False,candidate_missing,False,False,False,False,False,,blocked_needs_candidate_generator,candidate_missing,fix_candidate_generator_or_rule_mapping
context_chto_by,True,True,True,,True,False,False,False,True,"corpus_mined,rule_lab",enabled_rule_lab_recipe,,run_corpus_mined_probe
context_nesmotrya,True,True,True,,True,False,False,False,True,"corpus_mined,rule_lab",enabled_rule_lab_recipe,,run_corpus_mined_probe
context_tak_zhe,True,True,True,,True,False,False,False,True,"corpus_mined,rule_lab",enabled_rule_lab_recipe,,run_corpus_mined_probe
context_to_zhe,True,True,True,,True,False,False,False,True,"corpus_mined,rule_lab",enabled_rule_lab_recipe,,run_corpus_mined_probe
context_vsledstvie,True,True,True,,True,False,False,False,True,"corpus_mined,rule_lab",enabled_rule_lab_recipe,,run_corpus_mined_probe
context_za_to,True,True,True,,True,False,False,False,True,"corpus_mined,rule_lab",enabled_rule_lab_recipe,,run_corpus_mined_probe
cy_exception,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
detached_adverbial_comma,True,True,False,covered_by_non_rule_lab_sources,False,True,False,False,False,syntax_mined,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,inspect_syntax_opportunity_detector
detached_participial_comma,True,True,False,candidate_missing,False,True,False,False,False,syntax_mined,blocked_needs_candidate_generator,candidate_missing,fix_candidate_generator_or_rule_mapping
dictionary_fuzzy,True,True,False,covered_by_non_rule_lab_sources,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,validate_pattern_replay
direct_speech_colon,True,True,True,,False,True,False,False,True,"syntax_mined,rule_lab",enabled_rule_lab_recipe,,inspect_syntax_opportunity_detector
direct_speech_dash,True,True,False,candidate_missing,False,True,False,False,False,syntax_mined,blocked_needs_candidate_generator,candidate_missing,fix_candidate_generator_or_rule_mapping
direct_speech_quotes,True,True,False,unsafe_template,False,False,False,False,False,,blocked_unsafe_template,unsafe_template,design_safe_target_first_templates
double_consonant_candidate,True,True,False,covered_by_non_rule_lab_sources,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,validate_pattern_replay
enumeration_colon,True,True,False,validator_missing,False,True,False,False,False,syntax_mined,blocked_needs_validator,validator_missing,fix_strict_validator_or_atomic_verifier_support
enumeration_dash,True,True,False,candidate_missing,False,False,False,False,False,,blocked_needs_candidate_generator,candidate_missing,fix_candidate_generator_or_rule_mapping
explanation_colon,True,True,False,validator_missing,False,True,False,False,False,syntax_mined,blocked_needs_validator,validator_missing,fix_strict_validator_or_atomic_verifier_support
extra_letter_candidate,True,True,False,covered_by_non_rule_lab_sources,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,validate_pattern_replay
final_punctuation_default,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
frequent_error_exact,True,True,False,covered_by_non_rule_lab_sources,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,validate_pattern_replay
homogeneous_comma,True,True,False,covered_by_non_rule_lab_sources,False,True,False,False,False,syntax_mined,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,inspect_syntax_opportunity_detector
hyphen_koe_koy,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
hyphen_particles,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
hyphen_po_adverbs,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
hyphen_whitelist,True,True,False,no_safe_recipe_yet,False,False,False,False,False,,blocked_needs_dedicated_miner,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
introductory_comma,True,True,False,covered_by_non_rule_lab_sources,False,True,False,False,False,syntax_mined,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,inspect_syntax_opportunity_detector
