row_index,rule_id,reason,source,target
325,bracket_pair_balance,target_quality_failed,Проверь документ (рабочий отчет.,Проверь документ (рабочий отчет).
326,bracket_pair_balance,target_quality_failed,Проверь документ (городской архив.,Проверь документ (городской архив).
327,bracket_pair_balance,target_quality_failed,Проверь документ (важный договор.,Проверь документ (важный договор).
328,bracket_pair_balance,target_quality_failed,Проверь документ (итоговая таблица.,Проверь документ (итоговая таблица).
329,bracket_pair_balance,target_quality_failed,Проверь документ (открытая заявка.,Проверь документ (открытая заявка).
330,bracket_pair_balance,target_quality_failed,Проверь документ (районная комиссия.,Проверь документ (районная комиссия).
331,bracket_pair_balance,target_quality_failed,Проверь документ (новая редакция.,Проверь документ (новая редакция).
332,bracket_pair_balance,target_quality_failed,Проверь документ (дежурный редактор.,Проверь документ (дежурный редактор).
333,bracket_pair_balance,target_quality_failed,Проверь документ (плановая встреча.,Проверь документ (плановая встреча).
334,bracket_pair_balance,target_quality_failed,Проверь документ (сводный отчет.,Проверь документ (сводный отчет).
335,bracket_pair_balance,target_quality_failed,Проверь документ (рабочая группа.,Проверь документ (рабочая группа).
336,bracket_pair_balance,target_quality_failed,Проверь документ (новый раздел.,Проверь документ (новый раздел).
337,bracket_pair_balance,target_quality_failed,Проверь документ (вечерний протокол.,Проверь документ (вечерний протокол).
338,bracket_pair_balance,target_quality_failed,Проверь документ (согласованный договор.,Проверь документ (согласованный договор).
339,bracket_pair_balance,target_quality_failed,Проверь документ (закрытая заявка.,Проверь документ (закрытая заявка).
340,bracket_pair_balance,target_quality_failed,Проверь документ (обновленный журнал.,Проверь документ (обновленный журнал).
341,bracket_pair_balance,target_quality_failed,Проверь документ (зимнее расписание.,Проверь документ (зимнее расписание).
342,bracket_pair_balance,target_quality_failed,Проверь документ (районный протокол.,Проверь документ (районный протокол).
343,bracket_pair_balance,target_quality_failed,Проверь документ (старый договор.,Проверь документ (старый договор).
344,bracket_pair_balance,target_quality_failed,Проверь документ (закрытый раздел.,Проверь документ (закрытый раздел).
345,bracket_pair_balance,target_quality_failed,Проверь документ (служебная записка.,Проверь документ (служебная записка).
346,bracket_pair_balance,target_quality_failed,Проверь документ (важное решение.,Проверь документ (важное решение).
347,bracket_pair_balance,target_quality_failed,Проверь документ (рабочий кабинет.,Проверь документ (рабочий кабинет).
348,bracket_pair_balance,target_quality_failed,Проверь документ (открытый вопрос.,Проверь документ (открытый вопрос).
349,bracket_pair_balance,target_quality_failed,Проверь документ (новый маршрут.,Проверь документ (новый маршрут).
350,bracket_pair_balance,target_quality_failed,Проверь документ (срочная заявка.,Проверь документ (срочная заявка).
351,bracket_pair_balance,target_quality_failed,Проверь документ (короткий протокол.,Проверь документ (короткий протокол).
352,bracket_pair_balance,target_quality_failed,Проверь документ (точная дата.,Проверь документ (точная дата).
353,bracket_pair_balance,target_quality_failed,Проверь документ (основной договор.,Проверь документ (основной договор).
