matrix_key,title,status,blocked_reason,requires,recommended_next_action
orthography_group_pravila_upotrebleniya_bukv,Правила употребления букв,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_group_pravila_upotrebleniya_bukv_obschie_pravila,Общие правила,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_group_pravila_upotrebleniya_bukv_obschie_pravila_glasnye_ne_posle_shipyaschih_i_ts,Гласные не после шипящих и «ц»,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_1_1_1_1,"Буквы «а» — «я», «у» — «ю»",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_1_1_2,Буква «о»,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_1_1_3,Буква «ё»,disabled,BLOCK_DISABLED,"[""dictionary"", ""model""]",keep disabled until explicit policy decision
orthography_1_1_1_4,Буквы «э» — «е»,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_1_1_5,Буква «и»,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_1_1_6,Буква «ы»,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_group_pravila_upotrebleniya_bukv_obschie_pravila_glasnye_posle_shipyaschih_i_ts,Гласные после шипящих и «ц»,metadata_only,BLOCK_METADATA_ONLY,[],keep as taxonomy heading only
orthography_1_1_2_4,Буква «о» на месте ударной гласной,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_1_2_5,Буква «ё» на месте ударной гласной,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_1_2_6,"Буквы «о», «е» на месте безударной гласной",dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_1_2_7,Буквы «о» и «е» после «ц»,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_1_2_8,Буква «э» после шипящих и «ц»,dictionary_model_required,BLOCK_NEEDS_DICTIONARY,"[""dictionary"", ""model""]",add dictionary/lexicon candidate support and probes
orthography_1_1_3,Буква «й»,planned,BLOCK_PLANNED,[],implement bounded candidate path before training data
