eligible_now,reason,count,matrix_keys
false,disabled,1,"[""orthography_1_1_1_3""]"
false,metadata_only,87,"[""orthography_group_pravila_upotrebleniya_bukv"", ""orthography_group_pravila_upotrebleniya_bukv_obschie_pravila"", ""orthography_group_pravila_upotrebleniya_bukv_obschie_pravila_glasnye_ne_posle_shipyaschih_i_ts"", ""orthography_group_pravila_upotrebleniya_bukv_obschie_pravila_glasnye_posle_shipyaschih_i_ts"", ""orthography_group_pravila_upotrebleniya_bukv_obschie_pravila_bukvy_i"", ""orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova"", ""orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_napisanie_otdelnyh_korney"", ""orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_napisanie_otdelnyh_korney_korni_s_chereduyuschimisya_glasnymi"", ""orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_bezudarnye_glasnye_v_pristavkah"", ""orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_bezudarnye_glasnye_v_suffiksah"", ""orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_bezudarnye_glasnye_v_suffiksah_osobennosti_napisaniya_otdelnyh_suffiksov"", ""orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_bezudarnye_glasnye_v_padezhnyh_okonchaniyah"", ""orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_bezudarnye_glasnye_v_glagolnyh_formah"", ""orthography_group_pravila_upotrebleniya_bukv_napisanie_znachimyh_chastey_slova_chastitsy_ne_i_ni"", ""orthography_group_pravila_upotrebleniya_bukv_pravopisanie_soglasnyh"", ""orthography_group_pravila_upotrebleniya_bukv_pravopisanie_soglasnyh_gluhie_i_zvonkie_soglasnye"", ""orthography_group_pravila_upotrebleniya_bukv_pravopisanie_soglasnyh_gruppy_soglasnyh_na_styke_znachimyh_chastey_slova"", ""orthography_group_pravila_upotrebleniya_bukv_pravopisanie_soglasnyh_dvoynye_soglasnye"", ""orthography_group_pravila_upotrebleniya_nebukvennyh_znakov"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_suschestvitelnogo"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_suschestvitelnogo_napisanie_naritsatelnyh_imen"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_suschestvitelnogo_napisanie_naritsatelnyh_imen_slitnoe_napisanie_naritsatelnyh_imen"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_suschestvitelnogo_napisanie_naritsatelnyh_imen_napisanie_naritsatelnyh_imen_cherez_defis"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_suschestvitelnogo_napisanie_naritsatelnyh_imen_razdelnoe_napisanie_naritsatelnyh_imen"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_suschestvitelnogo_sobstvennye_imena_i_sostavnye_nazvaniya"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_prilagatelnogo"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_prilagatelnogo_napisanie_prilagatelnogo_cherez_defis"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_prilagatelnogo_slitnoe_napisanie_prilagatelnogo"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_prilagatelnogo_razdelnoe_napisanie_prilagatelnogo"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_mestoimennyh_slov"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_mestoimennyh_slov_napisanie_mestoimennyh_slov_cherez_defis"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_mestoimennyh_slov_razdelnoe_napisanie_mestoimennyh_slov"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_narechiy"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_narechiy_slitnoe_napisanie_narechiy"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_narechiy_razdelnoe_napisanie_narechiy"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_narechiy_napisanie_narechiy_cherez_defis"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_sluzhebnyh_slov_i_mezhdometiy"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_sluzhebnyh_slov_i_mezhdometiy_slitnoe_napisanie_sluzhebnyh_slov_i_mezhdometiy"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_sluzhebnyh_slov_i_mezhdometiy_napisanie_sluzhebnyh_slov_i_mezhdometiy_cherez_defis"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_sluzhebnyh_slov_i_mezhdometiy_razdelnoe_napisanie_sluzhebnyh_slov_i_mezhdometiy"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisanie_sluzhebnyh_slov_i_mezhdometiy_sochetaniya_s_chastitsami"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisaniya_s_otritsaniem_ne"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisaniya_s_otritsaniem_ne_slitnoe_napisanie_ne"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisaniya_s_otritsaniem_ne_slitnoe_napisanie_ne_napisanie_s_nekotorymi_suschestvitelnymi_prilagatelnymi_narechiyami_na_o"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_napisaniya_s_otritsaniem_ne_razdelnoe_napisanie_ne"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_obschie_pravila_slitnogo_napisaniya"", ""orthography_group_pravila_slitnogo_defisnogo_i_razdelnogo_napisaniya_obschie_pravila_napisaniya_cherez_defis"", ""orthography_group_pravila_upotrebleniya_propisnyh_i_strochnyh_bukv"", ""orthography_group_pravila_upotrebleniya_propisnyh_i_strochnyh_bukv_sobstvennye_imena_i_proizvodnye_ot_nih_slova"", ""orthography_group_pravila_upotrebleniya_propisnyh_i_strochnyh_bukv_geograficheskie_i_administrativno_territorialnye_nazvaniya_i_proizvodnye_ot_nih_slova"", ""orthography_group_pravila_upotrebleniya_propisnyh_i_strochnyh_bukv_nazvaniya_svyazannye_s_religiey"", ""orthography_group_pravila_upotrebleniya_propisnyh_i_strochnyh_bukv_nazvaniya_organov_vlasti_uchrezhdeniy_organizatsiy_obschestv_partiy"", ""orthography_group_pravila_upotrebleniya_propisnyh_i_strochnyh_bukv_nazvaniya_dokumentov_pamyatnikov_predmetov_i_proizvedeniy_iskusstva"", ""orthography_group_pravila_upotrebleniya_propisnyh_i_strochnyh_bukv_propisnye_bukvy_v_osobom_stilisticheskom_upotreblenii"", ""orthography_group_pravila_napisaniya_abbreviatur_i_graficheskih_sokrascheniy"", ""orthography_group_pravila_napisaniya_abbreviatur_i_graficheskih_sokrascheniy_abbreviatury_i_proizvodnye_ot_nih_slova"", ""orthography_group_pravila_napisaniya_abbreviatur_i_graficheskih_sokrascheniy_graficheskie_sokrascheniya"", ""orthography_group_pravila_napisaniya_abbreviatur_i_graficheskih_sokrascheniy_graficheskie_sokrascheniya_tochka_posle_sokrascheniy"", ""orthography_group_pravopisanie_inostrannyh_slov"", ""orthography_group_opechatki"", ""orthography_group_tipichnye_oshibki"", ""punctuation_group_znaki_prepinaniya_v_kontse_v_nachale_v_seredine_predlozheniya"", ""punctuation_group_znaki_prepinaniya_v_kontse_v_nachale_v_seredine_predlozheniya_znaki_kontsa_predlozheniya_vnutri_predlozheniya"", ""punctuation_group_tire_mezhdu_chlenami_predlozheniya"", ""punctuation_group_tire_mezhdu_chlenami_predlozheniya_tire_mezhdu_podlezhaschim_i_skazuemym"", ""punctuation_group_znaki_prepinaniya_pri_odnorodnyh_chlenah_predlozheniya"", ""punctuation_group_znaki_prepinaniya_pri_obosoblennyh_chlenah_predlozheniya"", ""punctuation_group_znaki_prepinaniya_pri_obosoblennyh_chlenah_predlozheniya_znaki_prepinaniya_pri_soglasovannyh_opredeleniyah"", ""punctuation_group_znaki_prepinaniya_pri_obosoblennyh_chlenah_predlozheniya_znaki_prepinaniya_pri_soglasovannyh_opredeleniyah_zapyatye_pri_opredelitelnyh_oborotah"", ""punctuation_group_znaki_prepinaniya_pri_obosoblennyh_chlenah_predlozheniya_znaki_prepinaniya_pri_obstoyatelstvah"", ""punctuation_group_znaki_prepinaniya_pri_obosoblennyh_chlenah_predlozheniya_znaki_prepinaniya_pri_utochnyayuschih_poyasnitelnyh_i_prisoedinitelnyh_chlenah_predlozheniya"", ""punctuation_group_znaki_prepinaniya_pri_obosoblennyh_chlenah_predlozheniya_znaki_prepinaniya_v_nerazlozhimyh_sochetaniyah"", ""punctuation_group_znaki_prepinaniya_pri_obosoblennyh_chlenah_predlozheniya_znaki_prepinaniya_pri_sravnitelnom_oborote"", ""punctuation_group_slova_i_sochetaniya_slov_grammaticheski_ne_svyazannye_s_chlenami_predlozheniya"", ""punctuation_group_slova_i_sochetaniya_slov_grammaticheski_ne_svyazannye_s_chlenami_predlozheniya_znaki_prepinaniya_pri_vvodnyh_i_vstavnyh_konstruktsiyah"", ""punctuation_group_slova_i_sochetaniya_slov_grammaticheski_ne_svyazannye_s_chlenami_predlozheniya_znaki_prepinaniya_pri_obrascheniyah"", ""punctuation_group_znaki_prepinaniya_v_slozhnom_predlozhenii"", ""punctuation_group_znaki_prepinaniya_v_slozhnom_predlozhenii_slozhnosochinennoe_predlozhenie"", ""punctuation_group_znaki_prepinaniya_v_slozhnom_predlozhenii_slozhnopodchinennoe_predlozhenie"", ""punctuation_group_znaki_prepinaniya_v_slozhnom_predlozhenii_slozhnopodchinennoe_predlozhenie_zapyataya_pri_slozhnyh_soyuzah"", ""punctuation_group_znaki_prepinaniya_v_slozhnom_predlozhenii_bessoyuznoe_slozhnoe_predlozhenie"", ""punctuation_group_znaki_prepinaniya_pri_pryamoy_rechi_i_tsitatah"", ""punctuation_group_znaki_prepinaniya_pri_pryamoy_rechi_i_tsitatah_znaki_prepinaniya_pri_pryamoy_rechi"", ""punctuation_group_sochetanie_znakov_prepinaniya"", ""punctuation_group_vzaimodeystvie_znakov_prepinaniya_v_slozhnyh_konstruktsiyah"", ""punctuation_group_neyropunktuatsiya""]"
false,needs_NER,12,"[""orthography_4_1_1"", ""orthography_4_2_1"", ""orthography_4_2_4"", ""orthography_4_2_5"", ""orthography_4_2_6"", ""orthography_4_2_7"", ""orthography_4_6_1"", ""orthography_4_6_3"", ""orthography_4_7_1"", ""orthography_4_8"", ""orthography_4_9"", ""orthography_7_9""]"
false,needs_dictionary,77,"[""orthography_1_1_1_1"", ""orthography_1_1_1_2"", ""orthography_1_1_1_4"", ""orthography_1_1_1_5"", ""orthography_1_1_1_6"", ""orthography_1_1_2_4"", ""orthography_1_1_2_5"", ""orthography_1_1_2_6"", ""orthography_1_1_2_7"", ""orthography_1_1_2_8"", ""orthography_1_1_4_2"", ""orthography_1_2_1"", ""orthography_1_2_2_1_1"", ""orthography_1_2_2_1_2"", ""orthography_1_2_2_2"", ""orthography_1_2_3_1"", ""orthography_1_2_3_3"", ""orthography_1_2_3_4"", ""orthography_1_2_4_1"", ""orthography_1_2_4_2"", ""orthography_1_2_4_3"", ""orthography_1_2_4_4_1"", ""orthography_1_2_4_4_2"", ""orthography_1_2_4_4_3"", ""orthography_1_2_4_4_4"", ""orthography_1_2_4_4_5"", ""orthography_1_2_4_4_6"", ""orthography_1_2_4_4_7"", ""orthography_1_2_4_4_8"", ""orthography_1_2_4_4_9"", ""orthography_1_2_4_4_10"", ""orthography_1_2_4_4_11"", ""orthography_1_2_4_4_12"", ""orthography_1_2_4_4_13"", ""orthography_1_2_4_4_14"", ""orthography_1_2_4_4_15"", ""orthography_1_2_4_4_16"", ""orthography_1_2_4_4_17"", ""orthography_1_2_4_4_18"", ""orthography_1_2_4_4_19"", ""orthography_1_2_5"", ""orthography_1_2_6"", ""orthography_1_2_8_1"", ""orthography_1_2_8_2"", ""orthography_1_3_1_1"", ""orthography_1_3_1_2"", ""orthography_1_3_1_3"", ""orthography_1_3_2"", ""orthography_1_3_3_1"", ""orthography_1_3_3_2"", ""orthography_1_3_3_3"", ""orthography_1_3_3_4"", ""orthography_1_3_3_5"", ""orthography_1_3_3_6"", ""orthography_1_3_3_7"", ""orthography_1_3_4"", ""orthography_1_3_5"", ""orthography_1_3_6_1"", ""orthography_1_3_6_3"", ""orthography_1_3_6_10"", ""orthography_1_3_6_11"", ""orthography_1_3_6_12"", ""orthography_1_3_6_13"", ""orthography_3_1_1_1_1"", ""orthography_3_1_1_1_2"", ""orthography_3_1_1_2_6"", ""orthography_3_2_2_2"", ""orthography_3_8_4"", ""orthography_4_1_9"", ""orthography_5_2_1_1"", ""orthography_5_2_1_2"", ""orthography_5_2_1_3"", ""orthography_6_1"", ""orthography_6_2"", ""orthography_6_3"", ""orthography_8_3"", ""orthography_8_4""]"
false,needs_syntax,122,"[""orthography_1_2_7_1"", ""orthography_1_2_7_2"", ""orthography_1_2_7_3"", ""orthography_1_2_7_4"", ""orthography_1_2_7_5"", ""orthography_1_2_7_6"", ""orthography_3_2_3_1"", ""orthography_3_4_1"", ""orthography_3_4_3_2"", ""orthography_3_5_1_1"", ""orthography_3_5_1_2"", ""orthography_3_5_1_3"", ""orthography_3_5_1_4"", ""orthography_3_5_1_5"", ""orthography_3_5_1_6"", ""orthography_3_5_1_7"", ""orthography_3_5_2_1"", ""orthography_3_5_2_2"", ""orthography_3_5_2_3"", ""orthography_3_5_2_4"", ""orthography_3_5_2_5"", ""orthography_3_5_3_1"", ""orthography_3_5_4"", ""orthography_3_6_1_2"", ""orthography_3_6_1_4"", ""orthography_3_6_2_3"", ""orthography_3_6_2_4"", ""orthography_3_6_4_1"", ""orthography_3_6_4_2"", ""orthography_3_7_1_3"", ""orthography_3_7_1_4_2"", ""orthography_3_7_1_4_3"", ""orthography_3_7_1_4_4"", ""orthography_3_7_1_4_5"", ""orthography_3_7_1_5"", ""orthography_3_7_2_2"", ""orthography_3_7_2_3"", ""orthography_3_7_2_4"", ""orthography_3_7_2_5"", ""orthography_3_7_2_6"", ""orthography_3_7_2_8"", ""orthography_3_7_2_9"", ""orthography_3_7_2_10"", ""orthography_4_11_2"", ""punctuation_1_3_5"", ""punctuation_1_4"", ""punctuation_1_5"", ""punctuation_2_1_1"", ""punctuation_2_1_3"", ""punctuation_2_1_4"", ""punctuation_2_1_5"", ""punctuation_2_1_6"", ""punctuation_2_1_7"", ""punctuation_2_1_8"", ""punctuation_2_1_9"", ""punctuation_2_1_10"", ""punctuation_2_1_11"", ""punctuation_2_2"", ""punctuation_4_1"", ""punctuation_4_3"", ""punctuation_4_4"", ""punctuation_4_5"", ""punctuation_4_8"", ""punctuation_4_10"", ""punctuation_4_11"", ""punctuation_4_14"", ""punctuation_5_1_1_1"", ""punctuation_5_1_1_2"", ""punctuation_5_1_2"", ""punctuation_5_1_3"", ""punctuation_5_3"", ""punctuation_5_4_2"", ""punctuation_5_4_3"", ""punctuation_5_4_5"", ""punctuation_5_4_6"", ""punctuation_5_4_7"", ""punctuation_5_4_8"", ""punctuation_5_4_9"", ""punctuation_5_4_10"", ""punctuation_5_5"", ""punctuation_5_6_2"", ""punctuation_5_6_3"", ""punctuation_5_7_1"", ""punctuation_5_7_2"", ""punctuation_5_7_3"", ""punctuation_5_7_4"", ""punctuation_5_7_5"", ""punctuation_5_7_6"", ""punctuation_5_7_7"", ""punctuation_5_7_8"", ""punctuation_5_7_9"", ""punctuation_5_7_10"", ""punctuation_5_8_3"", ""punctuation_5_8_5"", ""punctuation_5_8_6"", ""punctuation_5_8_7"", ""punctuation_5_8_10"", ""punctuation_5_8_11"", ""punctuation_5_8_12"", ""punctuation_6_1_2"", ""punctuation_6_1_3"", ""punctuation_6_1_5"", ""punctuation_6_1_6"", ""punctuation_6_1_7"", ""punctuation_6_3"", ""punctuation_6_4"", ""punctuation_6_5"", ""punctuation_7_2_2"", ""punctuation_7_2_3"", ""punctuation_7_2_4_1"", ""punctuation_7_2_4_2"", ""punctuation_7_3_1"", ""punctuation_8_1_3"", ""punctuation_8_1_4"", ""punctuation_8_1_6"", ""punctuation_8_2"", ""punctuation_9_1"", ""punctuation_9_2"", ""punctuation_9_3"", ""punctuation_9_4"", ""punctuation_9_7"", ""punctuation_9_8""]"
false,no_candidate_path,5,"[""punctuation_11_1"", ""punctuation_11_2"", ""punctuation_11_3"", ""punctuation_11_4"", ""punctuation_11_5""]"
false,planned,58,"[""orthography_1_1_3"", ""orthography_1_1_4_3"", ""orthography_1_2_9_1"", ""orthography_1_2_9_2"", ""orthography_1_2_9_5"", ""orthography_1_2_9_6"", ""orthography_1_2_9_7"", ""orthography_1_2_9_9"", ""orthography_1_2_9_10"", ""orthography_2_1"", ""orthography_2_2"", ""orthography_2_3"", ""orthography_3_1_1_2_1"", ""orthography_3_1_1_2_2"", ""orthography_3_1_1_2_3"", ""orthography_3_1_1_2_4"", ""orthography_3_1_1_2_5"", ""orthography_3_1_1_2_7"", ""orthography_3_1_1_2_8"", ""orthography_3_1_1_2_10"", ""orthography_3_1_1_4_1"", ""orthography_3_1_2_2"", ""orthography_3_2_1_1"", ""orthography_3_2_1_2"", ""orthography_3_2_2_1"", ""orthography_3_2_2_5"", ""orthography_3_8_1"", ""orthography_3_8_2"", ""orthography_3_8_3"", ""orthography_3_9_1"", ""orthography_3_9_3"", ""orthography_3_9_5"", ""orthography_4_1_2"", ""orthography_4_1_3"", ""orthography_4_1_4"", ""orthography_4_1_5"", ""orthography_4_1_7"", ""orthography_4_1_11"", ""orthography_4_3"", ""orthography_4_4"", ""orthography_4_5_1"", ""orthography_4_5_2"", ""orthography_4_5_3"", ""orthography_4_5_5"", ""orthography_4_5_6"", ""orthography_4_5_7"", ""orthography_4_5_8"", ""orthography_4_5_9"", ""orthography_4_5_10"", ""orthography_4_5_11"", ""orthography_4_5_12"", ""orthography_7_2"", ""orthography_7_4"", ""orthography_7_5"", ""orthography_7_6"", ""orthography_7_7"", ""orthography_7_8"", ""orthography_8_2""]"
true,eligible_but_needs_more_training,14,"[""orthography_1_1_2_3"", ""orthography_1_1_4_1"", ""orthography_1_3_6_5"", ""orthography_1_3_6_6"", ""orthography_1_3_6_7"", ""orthography_1_3_6_8"", ""orthography_3_4_2_1"", ""orthography_3_4_2_2"", ""orthography_3_5_3_2"", ""orthography_3_11"", ""orthography_4_12"", ""orthography_5_1_1"", ""orthography_8_1"", ""punctuation_11_6""]"
true,eligible_but_needs_threshold,29,"[""orthography_1_1_4_4"", ""orthography_1_2_3_2"", ""orthography_1_2_9_8"", ""orthography_1_3_6_9"", ""orthography_3_1_1_2_9"", ""orthography_3_6_1_1"", ""orthography_3_6_1_3"", ""orthography_3_6_3_2"", ""orthography_3_7_1_4_1"", ""orthography_3_7_2_1"", ""orthography_3_7_2_11"", ""orthography_7_1"", ""orthography_7_3"", ""punctuation_2_1_2"", ""punctuation_2_3"", ""punctuation_4_2"", ""punctuation_4_7"", ""punctuation_5_4_1"", ""punctuation_5_8_1"", ""punctuation_6_1_1"", ""punctuation_6_2_1"", ""punctuation_7_1_1"", ""punctuation_7_1_2"", ""punctuation_7_2_1"", ""punctuation_8_1_1"", ""punctuation_8_1_2"", ""punctuation_9_5"", ""punctuation_9_6"", ""punctuation_10_1""]"
true,eligible_candidate_backed,4,"[""orthography_1_1_2_1"", ""orthography_1_1_2_2"", ""orthography_1_3_1_4"", ""punctuation_1_1""]"
