row_index,category,rule_hint,source_text,target_text,candidate_source,candidate_replacement,edit_type,rule_id,score,threshold,selected,threshold_passed,validator_status,validator_reason,is_expected,is_expected_v2
1,frequent_spelling_exact,frequent_error_exact,акуратный.,аккуратный.,акуратный,Акуратный,case,capitalization_sentence_start,0.4084727764129638,0.98,False,False,,,False,False
1,frequent_spelling_exact,frequent_error_exact,акуратный.,аккуратный.,акуратный,аккуратный,spelling,double_consonant_candidate,0.3538433313369751,0.84,False,False,,,True,True
1,frequent_spelling_exact,frequent_error_exact,акуратный.,аккуратный.,акуратный,аккуратны,spelling,dictionary_fuzzy,0.1516984403133392,0.95,False,False,,,False,False
2,frequent_spelling_exact,frequent_error_exact,апеляция.,апелляция.,апеляция,апелляция,spelling,double_consonant_candidate,0.7888736724853516,0.84,False,False,,,True,True
2,frequent_spelling_exact,frequent_error_exact,апеляция.,апелляция.,апеляция,Апеляция,case,capitalization_sentence_start,0.7551558017730713,0.98,False,False,,,False,False
2,frequent_spelling_exact,frequent_error_exact,апеляция.,апелляция.,апеляция,апелляции,spelling,dictionary_fuzzy,0.7009750604629517,0.95,False,False,,,False,False
3,frequent_spelling_exact,frequent_error_exact,безконечный.,бесконечный.,безконечный,Безконечный,case,capitalization_sentence_start,0.620542049407959,0.98,False,False,,,False,False
3,frequent_spelling_exact,frequent_error_exact,безконечный.,бесконечный.,безконечный,бесконечный,spelling,dictionary_fuzzy,0.5311335921287537,0.95,False,False,,,True,True
3,frequent_spelling_exact,frequent_error_exact,безконечный.,бесконечный.,безконечный,безоконный,spelling,dictionary_fuzzy,0.520751953125,0.95,False,False,,,False,False
4,frequent_spelling_exact,frequent_error_exact,безплатный.,бесплатный.,безплатный,Безплатный,case,capitalization_sentence_start,0.6360485553741455,0.98,False,False,,,False,False
4,frequent_spelling_exact,frequent_error_exact,безплатный.,бесплатный.,безплатный,бесплатный,spelling,dictionary_fuzzy,0.613753616809845,0.95,False,False,,,True,True
4,frequent_spelling_exact,frequent_error_exact,безплатный.,бесплатный.,безплатный,бесплатны,spelling,dictionary_fuzzy,0.407032310962677,0.95,False,False,,,False,False
5,frequent_spelling_exact,frequent_error_exact,безпокойный.,беспокойный.,безпокойный,беспокойный,spelling,dictionary_fuzzy,0.8957880139350891,0.95,False,False,,,True,True
