rule_id,tier,quota_min,quota_preferred,actual_total,underfilled,reason
address_comma,wave1,500,1000,2341,False,
comma_conjunction,wave1,500,1000,2338,False,
comma_subordinate,wave1,500,1000,2344,False,
comparative_turnover_comma,wave1,500,1000,2340,False,
context_chto_by,stable_v2_core,300,700,2016,False,
context_nesmotrya,stable_v2_core,300,700,1838,False,
context_tak_zhe,stable_v2_core,300,700,1843,False,
context_to_zhe,stable_v2_core,300,700,1846,False,
context_vsledstvie,stable_v2_core,300,700,1842,False,
context_za_to,stable_v2_core,300,700,1847,False,
cy_exception,stable_v2_core,300,700,2039,False,
detached_adverbial_comma,wave1,500,1000,2339,False,
dictionary_fuzzy,stable_v2_core,200,500,1200,False,
direct_speech_colon,stable_v2_core,300,700,2009,False,
direct_speech_dash,wave1,500,1000,2007,False,
direct_speech_quotes,stable_v2_core,300,700,2009,False,
double_consonant_candidate,stable_v2_core,200,500,1200,False,
enumeration_colon,stable_v2_core,300,700,2008,False,
explanation_colon,stable_v2_core,300,700,1837,False,
extra_letter_candidate,stable_v2_core,200,500,1200,False,
homogeneous_comma,wave1,500,1000,2342,False,
hyphen_koe_koy,wave1,500,1000,2343,False,
hyphen_particles,wave1,500,1000,2336,False,
hyphen_po_adverbs,stable_v2_core,300,700,2022,False,
introductory_comma,wave1,500,1000,2337,False,
keyboard_typo_candidate,stable_v2_core,200,500,1200,False,
missing_letter_candidate,stable_v2_core,200,500,1200,False,
n_nn_deverbal_adjective,stable_v2_core,300,700,1683,False,
ne_adjective,stable_v2_core,300,700,2041,False,
ne_adverb,stable_v2_core,300,700,2042,False,
ne_participle,stable_v2_core,300,700,2038,False,
ni_stable_expression,stable_v2_core,300,700,1844,False,
pattern_чю_чу,stable_v2_core,300,700,2082,False,
pattern_щю_щу,stable_v2_core,300,700,2044,False,
pol_polu_compounds,stable_v2_core,300,700,2011,False,
subject_predicate_dash,wave1,500,1000,2346,False,
swapped_letters_candidate,stable_v2_core,200,500,1200,False,
