rule_id,include,reason,operator,error_type,requires
abbreviation_case_protection,True,registered_operator,RuleCorruptionBackedOperator,spelling,
address_comma,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
apposition_comma,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
asyndetic_dash,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
bracket_pair_balance,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
capitalization_ner,False,BLOCK_MISSING_MODULE,,,
capitalization_sentence_start,True,registered_operator,RuleCorruptionBackedOperator,spelling,
clarification_comma,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
comma_conjunction,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
comma_subordinate,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
comparative_turnover_comma,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
consequence_dash,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
context_chto_by,True,registered_operator,ReplacementCorruptionOperator,spelling,
context_nesmotrya,True,registered_operator,ReplacementCorruptionOperator,spelling,
context_tak_zhe,True,registered_operator,ReplacementCorruptionOperator,spelling,
context_to_zhe,True,registered_operator,ReplacementCorruptionOperator,spelling,
context_vsledstvie,True,registered_operator,ReplacementCorruptionOperator,spelling,
context_za_to,True,registered_operator,ReplacementCorruptionOperator,spelling,
cy_exception,True,registered_operator,RuleCorruptionBackedOperator,spelling,
detached_adverbial_comma,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
detached_participial_comma,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
dictionary_fuzzy,True,registered_operator,ReplacementCorruptionOperator,spelling,
direct_speech_colon,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
direct_speech_dash,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
direct_speech_quotes,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
double_consonant_candidate,True,registered_operator,ReplacementCorruptionOperator,spelling,
enumeration_colon,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
enumeration_dash,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
explanation_colon,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
extra_letter_candidate,True,registered_operator,ReplacementCorruptionOperator,spelling,
final_punctuation_default,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
frequent_error_exact,True,registered_operator,RuleCorruptionBackedOperator,spelling,
homogeneous_comma,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
hyphen_koe_koy,True,registered_operator,RuleCorruptionBackedOperator,spelling,
hyphen_particles,True,registered_operator,RuleCorruptionBackedOperator,spelling,
hyphen_po_adverbs,True,registered_operator,RuleCorruptionBackedOperator,spelling,
hyphen_whitelist,True,registered_operator,RuleCorruptionBackedOperator,spelling,
introductory_comma,True,registered_operator,PunctuationCorruptionOperator,punctuation,syntax
