taxonomy_key,domain,entry_type,title,orfogrammka_id,project_rule_ids,implementation_status,requires,executable,training_eligible,training_decision,training_reason,has_candidate_path,has_synthetic_support,has_hard_negative_support,has_validator_support,has_dictionary_support,has_syntax_support,has_morphology_support,has_ner_support,risk_level,production_ready_rule_ids,training_candidate_rule_ids,activation_stages,activation_exclusion_reasons
orthography_group_pravila_upotrebleniya_bukv,orthography,group,Правила употребления букв,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_group_pravila_upotrebleniya_bukv_obschie_pravila,orthography,group,Общие правила,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_group_pravila_upotrebleniya_bukv_obschie_pravila_glasnye_ne_posle_shipyaschih_i_ts,orthography,group,Гласные не после шипящих и «ц»,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
orthography_1_1_1_1,orthography,leaf_rule,"Буквы «а» — «я», «у» — «ю»",1.1.1.1,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_1_1_2,orthography,leaf_rule,Буква «о»,1.1.1.2,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_1_1_3,orthography,leaf_rule,Буква «ё»,1.1.1.3,"[""yo_e_candidate""]",disabled,"[""dictionary"", ""model""]",False,False,BLOCK_DISABLED,rule disabled in taxonomy,True,False,True,True,True,True,True,False,medium,[],[],"[""blocked""]","[""BLOCK_DISABLED""]"
orthography_1_1_1_4,orthography,leaf_rule,Буквы «э» — «е»,1.1.1.4,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_1_1_5,orthography,leaf_rule,Буква «и»,1.1.1.5,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_1_1_1_6,orthography,leaf_rule,Буква «ы»,1.1.1.6,[],dictionary_model_required,"[""dictionary"", ""model""]",False,False,BLOCK_NEEDS_DICTIONARY,requires dictionary-backed candidate path,False,False,False,False,True,True,True,False,medium,[],[],[],[]
orthography_group_pravila_upotrebleniya_bukv_obschie_pravila_glasnye_posle_shipyaschih_i_ts,orthography,group,Гласные после шипящих и «ц»,,[],metadata_only,[],False,False,BLOCK_METADATA_ONLY,metadata_only taxonomy entry,False,False,False,False,True,True,True,False,low,[],[],[],[]
