matrix_key,title,rule_id,syntax_family,candidate_path,synthetic_support,hard_negative_support,candidate_recall,training_eligible_now,decision,reason,source_section,status,entry_type,coverage_bucket,excluded_from_denominator
orthography_1_1_4_4,Буква «ь» не после шипящих в некоторых грамматических формах,tsya_soft_insert,tsya_tsya_context,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_1_1_4_4,Буква «ь» не после шипящих в некоторых грамматических формах,tsya_soft_delete,tsya_tsya_context,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_1_2_9_8,Частица «ни» в устойчивых сочетаниях,ni_stable_expression,ni_context,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_1_3_6_5,Двойное «н» и одно «н» в суффиксах прилагательных и существительных,n_nn_adjective,n_nn_context,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,partial,leaf_rule,syntax_surface,False
orthography_1_3_6_6,Двойное н и одно н в суффиксах страдательных причастий прошедшего времени и соотносительных с ними прилагательных,n_nn_participle,n_nn_context,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,partial,leaf_rule,syntax_surface,False
orthography_1_3_6_7,Двойное н и одно н в суффиксах страдательных причастий прошедшего времени и соотносительных с ними прилагательных,n_nn_deverbal_adjective,n_nn_context,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,partial,leaf_rule,syntax_surface,False
orthography_1_3_6_8,"Двойное н и одно н в словах, образованных от прилагательных и причастий",n_nn_short_form,n_nn_context,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,partial,leaf_rule,syntax_surface,False
orthography_3_4_1,Слитное написание местоименных слов,context_to_zhe,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_4_1,Слитное написание местоименных слов,context_chto_by,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_4_3_2,Сочетания с местоименными словами,context_to_zhe,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_4_3_2,Сочетания с местоименными словами,context_chto_by,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_5_4,Написание отрицательных наречий,ne_adverb,ne_with_parts_of_speech,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_5_4,Написание отрицательных наречий,ne_predicative,ne_with_parts_of_speech,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_6_1_1,Предлоги из предложно-падежных сочетаний,context_vsledstvie,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_6_1_1,Предлоги из предложно-падежных сочетаний,context_nesmotrya,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_6_1_2,Союзы и частицы из сочетаний предлогов и союзов с местоименными словами,context_chto_by,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_6_1_2,Союзы и частицы из сочетаний предлогов и союзов с местоименными словами,context_za_to,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_6_1_2,Союзы и частицы из сочетаний предлогов и союзов с местоименными словами,context_vsledstvie,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_6_1_2,Союзы и частицы из сочетаний предлогов и союзов с местоименными словами,context_nesmotrya,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_6_1_3,"Союзы и частицы «дабы, кабы, также, тоже, чтобы (чтоб)»",context_tak_zhe,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_6_1_3,"Союзы и частицы «дабы, кабы, также, тоже, чтобы (чтоб)»",context_to_zhe,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_6_1_3,"Союзы и частицы «дабы, кабы, также, тоже, чтобы (чтоб)»",context_chto_by,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_6_3_2,"Раздельное написание союзов, частиц, вводных слов",context_za_to,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_6_4_1,Дефисное написание сочетаний с частицами,context_tak_zhe,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_6_4_1,Дефисное написание сочетаний с частицами,context_to_zhe,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_6_4_1,Дефисное написание сочетаний с частицами,context_chto_by,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_6_4_2,Раздельное написание сочетаний с частицами,context_tak_zhe,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
orthography_3_6_4_2,Раздельное написание сочетаний с частицами,context_to_zhe,context_pairs,True,True,True,1.0,True,INCLUDE_AFTER_THRESHOLD_CALIBRATION,syntax eval support verified,orthography,model_required,leaf_rule,syntax_surface,False
