rule_id,enabled,status,reason,disabled_reason,positive_template_count,hard_negative_template_count,has_any_recipe,in_training_candidates,covered_by_non_rule_lab_sources,generation_support_sources,main_blocker,recommended_next_action
abbreviation_case_protection,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
address_comma,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
apposition_comma,False,covered_by_other_miner,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,0,0,True,True,True,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
asyndetic_dash,False,disabled,candidate_missing,candidate_missing,0,0,True,True,True,syntax_mined,candidate_missing,fix_candidate_generator_or_rule_mapping
bracket_pair_balance,True,enabled,,,4,0,True,True,False,rule_lab,,monitor_enabled_rule_lab_recipe
capitalization_sentence_start,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
clarification_comma,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
comma_conjunction,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
comma_subordinate,False,covered_by_other_miner,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,0,0,True,True,True,"syntax_mined,real_pattern_replay",covered_by_non_rule_lab_sources,validate_non_rule_lab_generation_sources
comparative_turnover_comma,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
consequence_dash,False,disabled,candidate_missing,candidate_missing,0,0,True,True,False,,candidate_missing,fix_candidate_generator_or_rule_mapping
context_chto_by,True,enabled,,,4,2,True,True,True,"corpus_mined,rule_lab",,run_corpus_mined_probe
context_nesmotrya,True,enabled,,,4,2,True,True,True,"corpus_mined,rule_lab",,run_corpus_mined_probe
context_tak_zhe,True,enabled,,,4,2,True,True,True,"corpus_mined,rule_lab",,run_corpus_mined_probe
context_to_zhe,True,enabled,,,4,2,True,True,True,"corpus_mined,rule_lab",,run_corpus_mined_probe
context_vsledstvie,True,enabled,,,4,2,True,True,True,"corpus_mined,rule_lab",,run_corpus_mined_probe
context_za_to,True,enabled,,,4,2,True,True,True,"corpus_mined,rule_lab",,run_corpus_mined_probe
cy_exception,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
detached_adverbial_comma,False,covered_by_other_miner,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,0,0,True,True,True,syntax_mined,covered_by_non_rule_lab_sources,inspect_syntax_opportunity_detector
detached_participial_comma,False,disabled,candidate_missing,candidate_missing,0,0,True,True,True,syntax_mined,candidate_missing,fix_candidate_generator_or_rule_mapping
dictionary_fuzzy,False,covered_by_other_miner,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,0,0,True,True,True,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
direct_speech_colon,True,enabled,,,4,0,True,True,True,"syntax_mined,rule_lab",,inspect_syntax_opportunity_detector
direct_speech_dash,False,disabled,candidate_missing,candidate_missing,0,0,True,True,True,syntax_mined,candidate_missing,fix_candidate_generator_or_rule_mapping
direct_speech_quotes,False,disabled,unsafe_template,unsafe_template,0,0,True,True,False,,unsafe_template,design_safe_target_first_templates
double_consonant_candidate,False,covered_by_other_miner,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,0,0,True,True,True,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
enumeration_colon,False,disabled,validator_missing,validator_missing,0,0,True,True,True,syntax_mined,validator_missing,fix_strict_validator_or_atomic_verifier_support
enumeration_dash,False,disabled,candidate_missing,candidate_missing,0,0,True,True,False,,candidate_missing,fix_candidate_generator_or_rule_mapping
explanation_colon,False,disabled,validator_missing,validator_missing,0,0,True,True,True,syntax_mined,validator_missing,fix_strict_validator_or_atomic_verifier_support
extra_letter_candidate,False,covered_by_other_miner,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,0,0,True,True,True,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
final_punctuation_default,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
frequent_error_exact,False,covered_by_other_miner,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,0,0,True,True,True,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
homogeneous_comma,False,covered_by_other_miner,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,0,0,True,True,True,syntax_mined,covered_by_non_rule_lab_sources,inspect_syntax_opportunity_detector
hyphen_koe_koy,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
hyphen_particles,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
hyphen_po_adverbs,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
hyphen_whitelist,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
introductory_comma,False,covered_by_other_miner,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,0,0,True,True,True,syntax_mined,covered_by_non_rule_lab_sources,inspect_syntax_opportunity_detector
keyboard_typo_candidate,False,covered_by_other_miner,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,0,0,True,True,True,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
missing_hard_sign,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
missing_letter_candidate,False,covered_by_other_miner,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,0,0,True,True,True,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
n_nn_adjective,True,enabled,,,4,0,True,True,True,"morphology_mined,rule_lab",,inspect_morphology_miner_or_validator
n_nn_deverbal_adjective,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
n_nn_participle,False,covered_by_other_miner,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,0,0,True,True,True,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
n_nn_short_form,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
ne_adjective,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
ne_adverb,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
ne_participle,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
ne_predicative,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
ne_short_form,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
ne_verb,False,covered_by_other_miner,covered_by_non_rule_lab_sources,covered_by_non_rule_lab_sources,0,0,True,True,True,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
ni_particle_context,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
ni_stable_expression,False,disabled,validator_missing,validator_missing,0,0,True,True,False,,validator_missing,fix_strict_validator_or_atomic_verifier_support
pattern_жо_же,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_жы_жи,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_цы_ци,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_чо_че,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
pattern_чю_чу,False,disabled,no_safe_recipe_yet,no_safe_recipe_yet,0,0,True,True,False,,no_safe_recipe_yet,add_dedicated_miner_or_rule_lab_recipe
