lemma,transitive,semantic_class,allow_object,allow_ne,past_masc,past_fem,past_neut,past_plur,present_3sg,present_3pl,infinitive
пойти,false,motion,false,true,пошёл,пошла,пошло,пошли,пойдёт,пойдут,пойти
идти,false,motion,false,true,шёл,шла,шло,шли,идёт,идут,идти
прийти,false,motion,false,true,пришёл,пришла,пришло,пришли,придёт,придут,прийти
уйти,false,motion,false,true,ушёл,ушла,ушло,ушли,уйдёт,уйдут,уйти
войти,false,motion,false,true,вошёл,вошла,вошло,вошли,войдёт,войдут,войти
выйти,false,motion,false,true,вышел,вышла,вышло,вышли,выйдет,выйдут,выйти
ехать,false,motion,false,true,ехал,ехала,ехало,ехали,едет,едут,ехать
приехать,false,motion,false,true,приехал,приехала,приехало,приехали,приедет,приедут,приехать
вернуться,false,motion,false,true,вернулся,вернулась,вернулось,вернулись,вернётся,вернутся,вернуться
проверить,true,action,true,true,проверил,проверила,проверило,проверили,проверит,проверят,проверить
читать,true,communication,true,true,читал,читала,читало,читали,читает,читают,читать
написать,true,writing,true,true,написал,написала,написало,написали,напишет,напишут,написать
сказать,true,speech,true,true,сказал,сказала,сказало,сказали,скажет,скажут,сказать
ответить,true,speech,true,true,ответил,ответила,ответило,ответили,ответит,ответят,ответить
объяснить,true,speech,true,true,объяснил,объяснила,объяснило,объяснили,объяснит,объяснят,объяснить
спросить,true,speech,true,true,спросил,спросила,спросило,спросили,спросит,спросят,спросить
решить,true,action,true,true,решил,решила,решило,решили,решит,решат,решить
решать,true,action,true,true,решал,решала,решало,решали,решает,решают,решать
подготовить,true,action,true,true,подготовил,подготовила,подготовило,подготовили,подготовит,подготовят,подготовить
готовить,true,action,true,true,готовил,готовила,готовило,готовили,готовит,готовят,готовить
создать,true,action,true,true,создал,создала,создало,создали,создаст,создадут,создать
создавать,true,action,true,true,создавал,создавала,создавало,создавали,создаёт,создают,создавать
изучить,true,cognition,true,true,изучил,изучила,изучило,изучили,изучит,изучат,изучить
изучать,true,cognition,true,true,изучал,изучала,изучало,изучали,изучает,изучают,изучать
обсудить,true,speech,true,true,обсудил,обсудила,обсудило,обсудили,обсудит,обсудят,обсудить
обсуждать,true,speech,true,true,обсуждал,обсуждала,обсуждало,обсуждали,обсуждает,обсуждают,обсуждать
найти,true,action,true,true,нашёл,нашла,нашло,нашли,найдёт,найдут,найти
искать,true,action,true,true,искал,искала,искало,искали,ищет,ищут,искать
увидеть,true,perception,true,true,увидел,увидела,увидело,увидели,увидит,увидят,увидеть
видеть,true,perception,true,true,видел,видела,видело,видели,видит,видят,видеть
услышать,true,perception,true,true,услышал,услышала,услышало,услышали,услышит,услышат,услышать
слушать,true,perception,true,true,слушал,слушала,слушало,слушали,слушает,слушают,слушать
помнить,true,cognition,true,true,помнил,помнила,помнило,помнили,помнит,помнят,помнить
забыть,true,cognition,true,true,забыл,забыла,забыло,забыли,забудет,забудут,забыть
знать,true,cognition,true,true,знал,знала,знало,знали,знает,знают,знать
понять,true,cognition,true,true,понял,поняла,поняло,поняли,поймёт,поймут,понять
понимать,true,cognition,true,true,понимал,понимала,понимало,понимали,понимает,понимают,понимать
любить,true,emotion,true,true,любил,любила,любило,любили,любит,любят,любить
ненавидеть,true,emotion,true,false,ненавидел,ненавидела,ненавидело,ненавидели,ненавидит,ненавидят,ненавидеть
уважать,true,emotion,true,true,уважал,уважала,уважало,уважали,уважает,уважают,уважать
ждать,true,action,true,true,ждал,ждала,ждало,ждали,ждёт,ждут,ждать
встретить,true,action,true,true,встретил,встретила,встретило,встретили,встретит,встретят,встретить
встречать,true,action,true,true,встречал,встречала,встречало,встречали,встречает,встречают,встречать
построить,true,action,true,true,построил,построила,построило,построили,построит,построят,построить
строить,true,action,true,true,строил,строила,строило,строили,строит,строят,строить
открыть,true,action,true,true,открыл,открыла,открыло,открыли,откроет,откроют,открыть
закрыть,true,action,true,true,закрыл,закрыла,закрыло,закрыли,закроет,закроют,закрыть
получить,true,action,true,true,получил,получила,получило,получили,получит,получат,получить
получать,true,action,true,true,получал,получала,получало,получали,получает,получают,получать
передать,true,action,true,true,передал,передала,передало,передали,передаст,передадут,передать
передавать,true,action,true,true,передавал,передавала,передавало,передавали,передаёт,передают,передавать
выбрать,true,action,true,true,выбрал,выбрала,выбрало,выбрали,выберет,выберут,выбрать
выбирать,true,action,true,true,выбирал,выбирала,выбирало,выбирали,выбирает,выбирают,выбирать
исправить,true,correction,true,true,исправил,исправила,исправило,исправили,исправит,исправят,исправить
исправлять,true,correction,true,true,исправлял,исправляла,исправляло,исправляли,исправляет,исправляют,исправлять
заметить,true,perception,true,true,заметил,заметила,заметило,заметили,заметит,заметят,заметить
замечать,true,perception,true,true,замечал,замечала,замечало,замечали,замечает,замечают,замечать
подписать,true,action,true,true,подписал,подписала,подписало,подписали,подпишет,подпишут,подписать
подписывать,true,action,true,true,подписывал,подписывала,подписывало,подписывали,подписывает,подписывают,подписывать
отправить,true,action,true,true,отправил,отправила,отправило,отправили,отправит,отправят,отправить
отправлять,true,action,true,true,отправлял,отправляла,отправляло,отправляли,отправляет,отправляют,отправлять
принять,true,action,true,true,принял,приняла,приняло,приняли,примет,примут,принять
принимать,true,action,true,true,принимал,принимала,принимало,принимали,принимает,принимают,принимать
провести,true,action,true,true,провёл,провела,провело,провели,проведёт,проведут,провести
проводить,true,action,true,true,проводил,проводила,проводило,проводили,проводит,проводят,проводить
показать,true,speech,true,true,показал,показала,показало,показали,покажет,покажут,показать
показывать,true,speech,true,true,показывал,показывала,показывало,показывали,показывает,показывают,показывать
рассказать,true,speech,true,true,рассказал,рассказала,рассказало,рассказали,расскажет,расскажут,рассказать
рассказывать,true,speech,true,true,рассказывал,рассказывала,рассказывало,рассказывали,рассказывает,рассказывают,рассказывать
сообщить,true,speech,true,true,сообщил,сообщила,сообщило,сообщили,сообщит,сообщат,сообщить
сообщать,true,speech,true,true,сообщал,сообщала,сообщало,сообщали,сообщает,сообщают,сообщать
подтвердить,true,speech,true,true,подтвердил,подтвердила,подтвердило,подтвердили,подтвердит,подтвердят,подтвердить
указать,true,speech,true,true,указал,указала,указало,указали,укажет,укажут,указать
установить,true,cognition,true,true,установил,установила,установило,установили,установит,установят,установить
добавить,true,action,true,true,добавил,добавила,добавило,добавили,добавит,добавят,добавить
добавлять,true,action,true,true,добавлял,добавляла,добавляло,добавляли,добавляет,добавляют,добавлять
удалить,true,action,true,true,удалил,удалила,удалило,удалили,удалит,удалят,удалить
