rule_id,status,target_min_total,preferred_total,max_total,accepted_count,attempted_clean_targets,opportunities_seen,rejected_count,reason
abbreviation_case_protection,underfilled,2500,2500,2500,0,547607,0,0,below_min_atomic_positive_quota
address_comma,underfilled,2500,2500,2500,5,383814,698662,698657,below_min_atomic_positive_quota
apposition_comma,ready,2500,2500,2500,2500,311287,563345,560343,
asyndetic_dash,underfilled,2500,2500,2500,0,22560,25255,25255,below_min_atomic_positive_quota
bracket_pair_balance,ready,2500,2500,2500,2500,5425,12730,9730,
capitalization_sentence_start,underfilled,2500,2500,2500,0,547607,0,0,below_min_atomic_positive_quota
clarification_comma,underfilled,2500,2500,2500,1480,383814,698662,697182,below_min_atomic_positive_quota
comma_conjunction,ready,2500,2500,2500,2500,36527,65737,62737,
comma_subordinate,ready,2500,2500,2500,2500,9340,17144,14144,
comparative_turnover_comma,underfilled,2500,2500,2500,209,383814,698662,698453,below_min_atomic_positive_quota
consequence_dash,underfilled,2500,2500,2500,0,22560,25255,25255,below_min_atomic_positive_quota
context_chto_by,underfilled,2500,2500,2500,0,547607,9878,9878,below_min_atomic_positive_quota
context_nesmotrya,underfilled,2500,2500,2500,0,547607,1997,1997,below_min_atomic_positive_quota
context_tak_zhe,underfilled,2500,2500,2500,0,547607,23913,23913,below_min_atomic_positive_quota
context_to_zhe,underfilled,2500,2500,2500,0,547607,3020,3020,below_min_atomic_positive_quota
context_vsledstvie,underfilled,2500,2500,2500,0,547607,186,186,below_min_atomic_positive_quota
context_za_to,underfilled,2500,2500,2500,0,547607,791,791,below_min_atomic_positive_quota
cy_exception,underfilled,2500,2500,2500,87,547607,190,103,below_min_atomic_positive_quota
detached_adverbial_comma,underfilled,2500,2500,2500,359,383814,698662,698303,below_min_atomic_positive_quota
detached_participial_comma,ready,2500,2500,2500,2500,242974,429687,426685,
dictionary_fuzzy,underfilled,2500,2500,2500,50,547607,223,173,below_min_atomic_positive_quota
direct_speech_colon,underfilled,2500,2500,2500,42,18338,19523,19481,below_min_atomic_positive_quota
direct_speech_dash,underfilled,2500,2500,2500,0,22560,25255,25255,below_min_atomic_positive_quota
direct_speech_quotes,underfilled,2500,2500,2500,0,156087,326710,326710,below_min_atomic_positive_quota
double_consonant_candidate,underfilled,2500,2500,2500,1046,547607,1158,112,below_min_atomic_positive_quota
enumeration_colon,underfilled,2500,2500,2500,5,18338,19523,19518,below_min_atomic_positive_quota
enumeration_dash,underfilled,2500,2500,2500,0,22560,25255,25255,below_min_atomic_positive_quota
explanation_colon,underfilled,2500,2500,2500,0,18338,19523,19523,below_min_atomic_positive_quota
extra_letter_candidate,underfilled,2500,2500,2500,288,547607,304,16,below_min_atomic_positive_quota
final_punctuation_default,ready,2500,2500,2500,2500,3039,3039,39,
frequent_error_exact,underfilled,2500,2500,2500,0,547607,0,0,below_min_atomic_positive_quota
homogeneous_comma,underfilled,2500,2500,2500,1892,383814,698662,696770,below_min_atomic_positive_quota
hyphen_koe_koy,underfilled,2500,2500,2500,82,547607,102,20,below_min_atomic_positive_quota
hyphen_particles,ready,2500,2500,2500,2500,446441,3021,21,
hyphen_po_adverbs,underfilled,2500,2500,2500,23,547607,1394,1371,below_min_atomic_positive_quota
hyphen_whitelist,underfilled,2500,2500,2500,0,547607,0,0,below_min_atomic_positive_quota
introductory_comma,ready,2500,2500,2500,2500,383814,698662,696068,
keyboard_typo_candidate,underfilled,2500,2500,2500,173,547607,247,74,below_min_atomic_positive_quota
missing_hard_sign,ready,2500,2500,2500,2500,326757,14692,11692,
missing_letter_candidate,underfilled,2500,2500,2500,268,547607,304,36,below_min_atomic_positive_quota
n_nn_adjective,ready,2500,2500,2500,2500,157871,249272,246271,
n_nn_deverbal_adjective,underfilled,2500,2500,2500,2057,547607,3980,1923,below_min_atomic_positive_quota
n_nn_participle,ready,2500,2500,2500,2500,63286,14986,11985,
n_nn_short_form,ready,2500,2500,2500,2500,62397,32763,29763,
ne_adjective,ready,2500,2500,2500,2500,73467,3328,328,
ne_adverb,ready,2500,2500,2500,2500,129295,3882,882,
ne_participle,ready,2500,2500,2500,2500,308549,4525,1525,
ne_predicative,ready,2500,2500,2500,2500,262192,3365,365,
ne_short_form,underfilled,2500,2500,2500,2067,547607,10093,8026,below_min_atomic_positive_quota
ne_verb,ready,2500,2500,2500,2500,28823,3054,54,
ni_particle_context,underfilled,2500,2500,2500,0,547607,0,0,below_min_atomic_positive_quota
ni_stable_expression,underfilled,2500,2500,2500,0,547607,263,263,below_min_atomic_positive_quota
pattern_жо_же,ready,2500,2500,2500,2500,59136,17779,14779,
pattern_жы_жи,ready,2500,2500,2500,2500,180608,22879,19879,
pattern_цы_ци,underfilled,2500,2500,2500,248,547607,158037,157789,below_min_atomic_positive_quota
pattern_чо_че,ready,2500,2500,2500,2500,43532,18401,15400,
pattern_чю_чу,ready,2500,2500,2500,2500,504642,7476,4475,
pattern_чя_ча,ready,2500,2500,2500,2500,93707,18849,15849,
pattern_шо_ше,ready,2500,2500,2500,2500,180547,35638,32638,
pattern_шы_ши,ready,2500,2500,2500,2500,381534,47583,44583,
pattern_що_ще,ready,2500,2500,2500,2500,99460,15174,12174,
pattern_щю_щу,underfilled,2500,2500,2500,754,547607,3077,2323,below_min_atomic_positive_quota
pattern_щя_ща,underfilled,2500,2500,2500,1148,547607,42633,41485,below_min_atomic_positive_quota
pol_polu_compounds,ready,2500,2500,2500,2500,151646,3003,3,
prefix_pre_pri,underfilled,2500,2500,2500,0,547607,198290,198290,below_min_atomic_positive_quota
prefix_s_to_z,ready,2500,2500,2500,2500,98521,24070,21070,
prefix_z_to_s,ready,2500,2500,2500,2500,337637,61345,58345,
punctuation_delete_replace,underfilled,2500,2500,2500,0,0,0,0,below_min_atomic_positive_quota
quote_pair_balance,ready,2500,2500,2500,2500,60664,136858,133858,
sdelat_prefix,ready,2500,2500,2500,2500,319268,5108,2108,
semicolon,underfilled,2500,2500,2500,0,18338,95,95,below_min_atomic_positive_quota
soft_to_hard_sign,ready,2500,2500,2500,2500,547607,23640,20882,
subject_predicate_dash,underfilled,2500,2500,2500,0,22560,25255,25255,below_min_atomic_positive_quota
swapped_letters_candidate,underfilled,2500,2500,2500,288,547607,304,16,below_min_atomic_positive_quota
tsya_soft_delete,underfilled,2500,2500,2500,0,547607,77753,77753,below_min_atomic_positive_quota
tsya_soft_insert,underfilled,2500,2500,2500,0,547607,24226,24226,below_min_atomic_positive_quota
