rule_id,canonical_rule_id,source_module,mapped_matrix_key,mapped_orfogrammka_id,mapped_title,mapping_confidence,mapping_reason,action
abbreviation_case_protection,abbreviation_case_protection,src.rules.orthography,orthography_5_1_1,5.1.1,Аббревиатуры инициального типа,high,Case candidate for known initial abbreviations.,mapped
address_comma,address_comma,src.rules.punctuation,punctuation_6_2_1,6.2.1,Обращение в составе предложения,high,Bounded address comma candidate.,mapped
asyndetic_dash,asyndetic_dash,src.rules.punctuation,punctuation_2_3,2.3,Тире в функции соединения,low,Asyndetic dash maps to broad connecting dash function.,needs_manual_review
bracket_pair_balance,bracket_pair_balance,src.rules.punctuation,punctuation_9_5,9.5,Разные знаки со скобками,medium,One-sided bracket balance candidate maps to punctuation with brackets.,needs_manual_review
capitalization_ner,capitalization_ner,src.rules.orthography,orthography_4_1_1,4.1.1,"Личные имена, отчества, фамилии, псевдонимы, прозвища",medium,NER-backed capitalization maps to personal names but also covers other entity types.,needs_manual_review
capitalization_sentence_start,capitalization_sentence_start,src.rules.orthography,orthography_4_12,4.12,Прописные буквы после знаков препинания,high,Bounded sentence-start capitalization candidate maps to capitals after punctuation.,mapped
comma_conjunction,comma_conjunction,src.rules.punctuation,punctuation_7_1_1,7.1.1,Запятая между частями сложносочинённого предложения,medium,Adversative conjunction comma maps to closest compound-sentence point.,needs_manual_review
comma_subordinate,comma_subordinate,src.rules.punctuation,punctuation_7_2_1,7.2.1,Постановка запятой между частями сложноподчинённого предложения,high,Bounded subordinate comma candidate.,mapped
comparative_turnover_comma,comparative_turnover_comma,src.rules.punctuation,punctuation_5_8_1,5.8.1,"Обороты со сравнительными союзами, кроме «как», или частицами",high,Bounded comparative marker comma candidate.,mapped
consequence_dash,consequence_dash,src.rules.punctuation,punctuation_2_3,2.3,Тире в функции соединения,low,Consequence dash maps to broad connecting dash function.,needs_manual_review
context_chto_by,context_chto_by,src.rules.orthography,orthography_3_6_1_3,3.6.1.3,"Союзы и частицы «дабы, кабы, также, тоже, чтобы (чтоб)»",medium,Context pair maps to service-word split/join rules.,needs_manual_review
context_nesmotrya,context_nesmotrya,src.rules.orthography,orthography_3_6_1_1,3.6.1.1,Предлоги из предложно-падежных сочетаний,low,Context split/join candidate is broader than taxonomy leaf.,needs_manual_review
context_tak_zhe,context_tak_zhe,src.rules.orthography,orthography_3_6_1_3,3.6.1.3,"Союзы и частицы «дабы, кабы, также, тоже, чтобы (чтоб)»",medium,Context pair maps to service-word split/join rules.,needs_manual_review
context_to_zhe,context_to_zhe,src.rules.orthography,orthography_3_6_1_3,3.6.1.3,"Союзы и частицы «дабы, кабы, также, тоже, чтобы (чтоб)»",medium,Context pair maps to service-word split/join rules.,needs_manual_review
context_vsledstvie,context_vsledstvie,src.rules.orthography,orthography_3_6_1_1,3.6.1.1,Предлоги из предложно-падежных сочетаний,medium,Context split/join candidate maps to derived preposition spelling.,needs_manual_review
context_za_to,context_za_to,src.rules.orthography,orthography_3_6_3_2,3.6.3.2,"Раздельное написание союзов, частиц, вводных слов",low,Context pair is related to separate service-word spelling but needs review.,needs_manual_review
cy_exception,cy_exception,src.rules.orthography,orthography_1_1_2_2,1.1.2.2,"Буквы «и», «ы»",medium,Bounded цы exception candidate maps to the nearest и/ы taxonomy point.,mapped
detached_adverbial_comma,detached_adverbial_comma,src.rules.punctuation,punctuation_5_4_1,5.4.1,Обособление деепричастного оборота,high,Bounded initial gerundial-turnover comma candidate.,mapped
dictionary_fuzzy,dictionary_fuzzy,src.rules.orthography,orthography_8_1,8.1,Орфографические ошибки в словарных словах,medium,Generic lexicon fuzzy spelling candidate maps to dictionary-word errors.,needs_manual_review
direct_speech_colon,direct_speech_colon,src.rules.punctuation,punctuation_8_1_1,8.1.1,Прямая речь после слов автора,medium,Bounded colon before quoted direct speech maps to author words before speech.,needs_manual_review
direct_speech_dash,direct_speech_dash,src.rules.punctuation,punctuation_8_1_2,8.1.2,Прямая речь перед словами автора,medium,Bounded dash candidate maps to direct speech before author words.,needs_manual_review
direct_speech_quotes,direct_speech_quotes,src.rules.punctuation,punctuation_8_1_1,8.1.1,Прямая речь после слов автора,medium,Bounded quote normalization maps to author words before speech.,needs_manual_review
double_consonant_candidate,double_consonant_candidate,src.rules.orthography,orthography_1_3_6_9,1.3.6.9,Двойные согласные в русских корнях,medium,Generic double-consonant candidate maps to closest double-consonant point.,needs_manual_review
enumeration_colon,enumeration_colon,src.rules.punctuation,punctuation_4_7,4.7,"Двоеточие после обобщающего слова, предшествующего ряду однородных членов",high,Bounded generalizing-word colon candidate.,mapped
explanation_colon,explanation_colon,src.rules.punctuation,punctuation_10_1,10.1,"Два двоеточия, двоеточие и тире",low,Explanatory colon has no exact BSp leaf on page; mapped to complex mark interaction.,needs_manual_review
extra_letter_candidate,extra_letter_candidate,src.rules.orthography,orthography_7_1,7.1,"Пропуск, вставка, изменение или перестановка буквы",high,Extra-letter candidate maps to letter operation typos.,mapped
final_punctuation_default,final_punctuation_default,src.rules.punctuation,punctuation_1_1,1.1,Знаки препинания в конце предложения,high,Bounded final full-stop candidate maps to sentence-final punctuation.,mapped
frequent_error_exact,frequent_error_exact,src.rules.orthography,orthography_8_1,8.1,Орфографические ошибки в словарных словах,high,Exact frequent-error whitelist maps to dictionary-word errors.,mapped
homogeneous_comma,homogeneous_comma,src.rules.punctuation,punctuation_4_2,4.2,"Запятые при однородных членах предложения, соединенных повторяющимися союзами",high,Bounded repeated-conjunction homogeneous comma candidate.,mapped
hyphen_koe_koy,hyphen_koe_koy,src.rules.orthography,orthography_3_4_2_1,3.4.2.1,Местоименные слова с приставкой «кое- (кой-)»,high,Exact candidate for кое-/кой- pronoun words.,mapped
hyphen_particles,hyphen_particles,src.rules.orthography,orthography_3_4_2_2,3.4.2.2,"Местоименные слова с постфиксами «-либо, -нибудь, -то»",high,"Exact candidate for -либо, -нибудь, -то pronoun postfixes.",mapped
hyphen_po_adverbs,hyphen_po_adverbs,src.rules.orthography,orthography_3_5_3_2,3.5.3.2,"Наречия с приставкой «по-», оканчивающиеся на «-ому, -ему, -ски, -цки, -ьи»",high,Exact bounded candidate for по- adverbs.,mapped
hyphen_whitelist,hyphen_whitelist,src.rules.orthography,orthography_3_11,3.11,Написание согласно словарю,low,Legacy hyphen whitelist has no one exact leaf; dictionary spelling is safest bucket.,needs_manual_review
introductory_comma,introductory_comma,src.rules.punctuation,punctuation_6_1_1,6.1.1,Запятые при вводных словах,high,Bounded introductory-word comma candidate.,mapped
keyboard_typo_candidate,keyboard_typo_candidate,src.rules.orthography,orthography_7_3,7.3,Некорректная буква,high,Keyboard-neighbor typo candidate maps to incorrect-letter typos.,mapped
missing_hard_sign,missing_hard_sign,src.rules.orthography,orthography_1_1_4_1,1.1.4.1,Разделительные «ъ» и «ь»,high,Executable candidate for missing hard sign after prefix.,mapped
missing_letter_candidate,missing_letter_candidate,src.rules.orthography,orthography_7_1,7.1,"Пропуск, вставка, изменение или перестановка буквы",high,Missing-letter candidate maps to letter operation typos.,mapped
n_nn_adjective,n_nn_adjective,src.rules.orthography,orthography_1_3_6_5,1.3.6.5,Двойное «н» и одно «н» в суффиксах прилагательных и существительных,medium,Dictionary-backed Н/НН adjective candidate covers a bounded part of this point.,needs_manual_review
n_nn_deverbal_adjective,n_nn_deverbal_adjective,src.rules.orthography,orthography_1_3_6_7,1.3.6.7,Двойное н и одно н в суффиксах страдательных причастий прошедшего времени и соотносительных с ними прилагательных,medium,Н/НН deverbal adjective candidate maps to nearest participle/adjective point.,needs_manual_review
n_nn_participle,n_nn_participle,src.rules.orthography,orthography_1_3_6_6,1.3.6.6,Двойное н и одно н в суффиксах страдательных причастий прошедшего времени и соотносительных с ними прилагательных,medium,Dictionary-backed Н/НН participle candidate covers a bounded part of this point.,needs_manual_review
n_nn_short_form,n_nn_short_form,src.rules.orthography,orthography_1_3_6_8,1.3.6.8,"Двойное н и одно н в словах, образованных от прилагательных и причастий",medium,Н/НН short-form candidate maps to derivative-word taxonomy point.,needs_manual_review
ne_adjective,ne_adjective,src.rules.orthography,orthography_3_7_1_4_1,3.7.1.4.1,Замена слова с «не» на близкое по значению слово без «не»,medium,Bounded не + adjective split/join candidate maps to closest joined spelling leaf.,needs_manual_review
ne_adverb,ne_adverb,src.rules.orthography,orthography_3_7_1_4_1,3.7.1.4.1,Замена слова с «не» на близкое по значению слово без «не»,medium,Bounded не + adverb split/join candidate maps to closest joined spelling leaf.,needs_manual_review
ne_participle,ne_participle,src.rules.orthography,orthography_3_7_2_11,3.7.2.11,Раздельное написание с полными формами причастий,medium,Bounded не + participle candidate maps to separate full participle spelling.,needs_manual_review
ne_verb,ne_verb,src.rules.orthography,orthography_3_7_2_1,3.7.2.1,Написание со всеми формами глаголов (кроме полных причастий),high,Bounded не + verb split candidate maps to exact verb rule.,mapped
ni_stable_expression,ni_stable_expression,src.rules.orthography,orthography_1_2_9_8,1.2.9.8,Частица «ни» в устойчивых сочетаниях,high,Bounded не/ни stable expression candidate maps to stable ни combinations.,mapped
pattern_жо_же,pattern_жо_же,src.rules.orthography,orthography_1_1_2_3,1.1.2.3,Буква «е» на месте ударной гласной,medium,Bounded о/е after hissing candidate; taxonomy is broader.,mapped
pattern_жы_жи,pattern_жы_жи,src.rules.orthography,orthography_1_1_2_2,1.1.2.2,"Буквы «и», «ы»",high,Exact bounded candidate for и/ы after hissing consonants and ц.,mapped
pattern_цы_ци,pattern_цы_ци,src.rules.orthography,orthography_1_1_2_2,1.1.2.2,"Буквы «и», «ы»",medium,Bounded ци/цы candidate maps to the nearest и/ы taxonomy point.,mapped
pattern_чо_че,pattern_чо_че,src.rules.orthography,orthography_1_1_2_3,1.1.2.3,Буква «е» на месте ударной гласной,medium,Bounded о/е after hissing candidate; taxonomy is broader.,mapped
pattern_чю_чу,pattern_чю_чу,src.rules.orthography,orthography_1_1_2_1,1.1.2.1,"Буквы «а», «у»",high,Exact bounded candidate for а/у after hissing consonants.,mapped
pattern_чя_ча,pattern_чя_ча,src.rules.orthography,orthography_1_1_2_1,1.1.2.1,"Буквы «а», «у»",high,Exact bounded candidate for а/у after hissing consonants.,mapped
pattern_шо_ше,pattern_шо_ше,src.rules.orthography,orthography_1_1_2_3,1.1.2.3,Буква «е» на месте ударной гласной,medium,Bounded о/е after hissing candidate; taxonomy is broader.,mapped
pattern_шы_ши,pattern_шы_ши,src.rules.orthography,orthography_1_1_2_2,1.1.2.2,"Буквы «и», «ы»",high,Exact bounded candidate for и/ы after hissing consonants and ц.,mapped
pattern_що_ще,pattern_що_ще,src.rules.orthography,orthography_1_1_2_3,1.1.2.3,Буква «е» на месте ударной гласной,medium,Bounded о/е after hissing candidate; taxonomy is broader.,mapped
