rule_id,tier,include_in_dataset_v3,reason,quota_min,quota_preferred,quota_final,candidate_recall,safety_status,source
abbreviation_case_protection,excluded,False,no_candidate_path,0,0,0,0.0,NEEDS_RULE_IMPLEMENTATION,wave1
address_comma,wave1,True,verified_wave1_candidate_backed,500,1000,2341,1.0,READY_NEXT_DATASET,v2/wave1
asyndetic_dash,excluded,False,no_candidate_path,0,0,0,0.0,NEEDS_RULE_IMPLEMENTATION,wave1
bracket_pair_balance,excluded,False,no_candidate_path,0,0,0,0.0,NEEDS_RULE_IMPLEMENTATION,wave1
capitalization_ner,excluded,False,no_candidate_path,0,0,0,0.0,NEEDS_RULE_IMPLEMENTATION,wave1
capitalization_sentence_start,excluded,False,no_candidate_path,0,0,0,0.0,NEEDS_RULE_IMPLEMENTATION,wave1
comma_conjunction,wave1,True,verified_wave1_candidate_backed,500,1000,2338,1.0,READY_NEXT_DATASET,v2/wave1
comma_subordinate,wave1,True,verified_wave1_candidate_backed,500,1000,2344,1.0,READY_NEXT_DATASET,v2/wave1
comparative_turnover_comma,wave1,True,verified_wave1_candidate_backed,500,1000,2340,1.0,READY_NEXT_DATASET,v2/wave1
consequence_dash,excluded,False,no_candidate_path,0,0,0,0.0,NEEDS_RULE_IMPLEMENTATION,wave1
context_chto_by,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,2016,1.0,stable_v2_ready,v2
context_nesmotrya,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,1838,1.0,stable_v2_ready,v2
context_tak_zhe,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,1843,1.0,stable_v2_ready,v2
context_to_zhe,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,1846,1.0,stable_v2_ready,v2
context_vsledstvie,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,1842,1.0,stable_v2_ready,v2
context_za_to,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,1847,1.0,stable_v2_ready,v2
cy_exception,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,2039,1.0,stable_v2_ready,v2
detached_adverbial_comma,wave1,True,verified_wave1_candidate_backed,500,1000,2339,1.0,READY_NEXT_DATASET,v2/wave1
dictionary_fuzzy,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,200,500,1200,1.0,stable_v2_ready,v2
direct_speech_colon,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,2009,1.0,stable_v2_ready,v2
direct_speech_dash,wave1,True,verified_wave1_candidate_backed,500,1000,2007,1.0,READY_NEXT_DATASET,v2/wave1
direct_speech_quotes,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,2009,1.0,stable_v2_ready,v2
double_consonant_candidate,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,200,500,1200,1.0,stable_v2_ready,v2
enumeration_colon,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,2008,1.0,stable_v2_ready,v2
explanation_colon,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,1837,1.0,stable_v2_ready,v2
extra_letter_candidate,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,200,500,1200,1.0,stable_v2_ready,v2
final_punctuation_default,excluded,False,needs_validator,0,0,0,1.0,NEEDS_VALIDATOR,wave1
frequent_error_exact,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
homogeneous_comma,wave1,True,verified_wave1_candidate_backed,500,1000,2342,1.0,READY_NEXT_DATASET,v2/wave1
hyphen_koe_koy,wave1,True,verified_wave1_candidate_backed,500,1000,2343,1.0,READY_NEXT_DATASET,v2/wave1
hyphen_particles,wave1,True,verified_wave1_candidate_backed,500,1000,2336,1.0,READY_NEXT_DATASET,v2/wave1
hyphen_po_adverbs,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,2022,1.0,stable_v2_ready,v2
hyphen_whitelist,excluded,False,under_quota_nonblocking,0,0,0,1.0,READY_NEXT_DATASET,wave1
introductory_comma,wave1,True,verified_wave1_candidate_backed,500,1000,2337,1.0,READY_NEXT_DATASET,v2/wave1
keyboard_typo_candidate,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,200,500,1200,1.0,stable_v2_ready,v2
missing_hard_sign,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
missing_letter_candidate,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,200,500,1200,1.0,stable_v2_ready,v2
n_nn_adjective,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
n_nn_deverbal_adjective,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,1683,1.0,stable_v2_ready,v2
n_nn_participle,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
n_nn_short_form,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
ne_adjective,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,2041,1.0,stable_v2_ready,v2
ne_adverb,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,2042,1.0,stable_v2_ready,v2
ne_participle,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,2038,1.0,stable_v2_ready,v2
ne_verb,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
ni_stable_expression,stable_v2_core,True,stable_v2_candidate_recall_ge_0_85,300,700,1844,1.0,stable_v2_ready,v2
pattern_жо_же,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
pattern_жы_жи,excluded,False,metadata_only,0,0,0,1.0,NEEDS_THRESHOLD,wave1
