rule_id,threshold_key,current_threshold,recommended_threshold,positive_score_p10,positive_score_p50,positive_score_p90,negative_score_mean,negative_score_p90,clean_false_positives_at_threshold,synthetic_true_positives_at_threshold,real_true_positives_at_threshold,dirty_worse_impact,recommendation,reason
subject_predicate_dash,subject_predicate_dash_threshold,0.99,0.99,0.0,0.0,0.0,0.231588,0.495743,0,0,0,0.0,keep,candidate violates safety caps
direct_speech_colon,direct_speech_colon_threshold,0.995,0.995,0.0,0.0,0.0,0.00472,0.005734,0,0,0,0.0,keep,candidate violates safety caps
hyphen_particles,hyphen_particles_threshold,0.5,0.5,0.497718,0.592575,0.610687,0.0,0.0,0,0,0,0.0,keep,candidate violates safety caps
hyphen_koe_koy,hyphen_koe_koy_threshold,0.45,0.45,0.520227,0.535721,0.550672,0.0,0.0,0,0,0,0.0,keep,candidate violates safety caps
context_to_zhe,context_to_zhe_threshold,0.95,0.95,0.684544,0.745007,0.758062,0.0,0.0,0,0,0,0.0,keep,candidate violates safety caps
ne_adverb,ne_adverb_threshold,0.99995,0.99995,0.962495,0.96832,0.97762,0.463392,0.463392,0,0,0,0.0,keep,candidate violates safety caps
ne_participle,ne_participle_threshold,0.99995,0.99995,0.88775,0.941345,0.96297,0.284204,0.284204,0,0,0,0.0,keep,candidate violates safety caps
ne_adjective,ne_adjective_threshold,0.99995,0.99995,0.806255,0.90442,0.956805,0.514199,0.756871,0,0,0,0.0,keep,candidate violates safety caps
dictionary_fuzzy,dictionary_fuzzy_threshold,0.95,0.95,0.45873,0.496488,0.640293,0.504065,0.761195,0,0,0,0.0,keep,candidate violates safety caps
cy_exception,cy_exception_threshold,0.58,0.58,0.497338,0.544718,0.63639,0.0,0.0,0,0,0,0.0,keep,candidate violates safety caps
swapped_letters_candidate,swapped_letters_candidate_threshold,0.84,0.84,0.426904,0.631523,0.66769,0.587063,0.587063,0,0,0,0.0,keep,candidate violates safety caps
context_za_to,context_za_to_threshold,0.95,0.95,0.282868,0.549876,0.563723,0.0,0.0,0,0,0,0.0,keep,candidate violates safety caps
direct_speech_quotes,direct_speech_quotes_threshold,0.995,0.995,0.0,0.0,0.0,0.001397,0.002671,0,0,0,0.0,keep,candidate violates safety caps
double_consonant_candidate,double_consonant_candidate_threshold,0.84,0.84,0.493842,0.706802,0.741803,0.502271,0.670912,0,0,0,0.0,keep,candidate violates safety caps
enumeration_colon,enumeration_colon_threshold,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,keep,candidate violates safety caps
explanation_colon,explanation_colon_threshold,0.92,0.92,0.0,0.0,0.0,0.008189,0.008189,0,0,0,0.0,keep,candidate violates safety caps
hyphen_po_adverbs,hyphen_po_adverbs_threshold,0.88,0.88,0.505525,0.574499,0.597384,0.910067,0.98408,0,0,0,0.0,keep,candidate violates safety caps
n_nn_deverbal_adjective,n_nn_deverbal_adjective_threshold,0.92,0.92,0.720965,0.745278,0.763641,0.0,0.0,0,0,0,0.0,keep,candidate violates safety caps
