rule_id,source,include,reason,risk_level,needs_validator,needs_threshold_calibration,candidate_path_exists,synthetic_support_exists,hard_negative_support_exists,target_min_examples,target_preferred_examples,final_count
abbreviation_case_protection,legacy_stable,False,excluded_after_quality_audit_underfilled,high,True,False,True,True,True,1000,1500,78
address_comma,syntax_supported,True,syntax_supported_candidate_backed,high,False,False,True,True,True,1500,2500,3250
apposition_comma,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
asyndetic_dash,syntax_supported,False,excluded_after_quality_audit_underfilled,high,False,True,True,True,True,1500,2500,74
bracket_pair_balance,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,1738
capitalization_ner,excluded,False,needs_NER:BLOCK_NEEDS_NER:no_safe_current_candidate_path,low,False,False,False,False,False,0,0,0
capitalization_sentence_start,legacy_stable,True,legacy_candidate_backed_current_capability,high,True,False,True,True,True,1000,3000,2035
clarification_comma,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3171
comma_conjunction,syntax_supported,True,syntax_supported_candidate_backed,high,False,False,True,True,True,1500,2500,3250
comma_subordinate,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
comparative_turnover_comma,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
consequence_dash,syntax_supported,False,excluded_after_quality_audit_underfilled,high,False,True,True,True,True,1500,2500,0
context_chto_by,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
context_nesmotrya,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
context_tak_zhe,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
context_to_zhe,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
context_vsledstvie,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
context_za_to,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
cy_exception,legacy_stable,True,legacy_candidate_backed_current_capability,medium,False,True,True,True,True,1000,2500,2820
detached_adverbial_comma,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
detached_participial_comma,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,2386
dictionary_fuzzy,legacy_stable,True,legacy_candidate_backed_current_capability,high,True,False,True,True,True,1000,1800,2008
direct_speech_colon,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,1185
direct_speech_dash,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
direct_speech_quotes,syntax_supported,True,syntax_supported_candidate_backed,high,False,True,True,True,True,1500,2500,3250
double_consonant_candidate,legacy_stable,True,legacy_candidate_backed_current_capability,high,True,False,True,True,True,1000,1800,2046
