reason,count
candidate_missing,17
char_edit_distance_too_high,30
code_or_social_marker,39
forbidden_domain_noise,924
literary_or_dialogue_fragment,258
low_cyrillic_ratio,329
markup_or_code_fragment,540
protected_or_invalid_edit_span,73
source_equals_target,154
source_share_cap,85
strict_validator_rejected:abbreviation_sentence_start_capitalization,4
"strict_validator_rejected:abbreviation_sentence_start_capitalization,known_source_lexical_guard",3
"strict_validator_rejected:abbreviation_sentence_start_capitalization,known_source_lexical_guard,morphology_agreement_guard",2
"strict_validator_rejected:abbreviation_sentence_start_capitalization,known_source_lexical_guard,unsafe_double_consonant_candidate",2
"strict_validator_rejected:abbreviation_sentence_start_capitalization,known_source_lexical_guard,unsafe_fuzzy_spelling_candidate",3
"strict_validator_rejected:abbreviation_sentence_start_capitalization,morphology_agreement_guard",2
"strict_validator_rejected:abbreviation_sentence_start_capitalization,ne_ni_unsafe,unsafe_fuzzy_spelling_candidate",1
"strict_validator_rejected:abbreviation_sentence_start_capitalization,tsya_unsafe",1
"strict_validator_rejected:abbreviation_sentence_start_capitalization,unsafe_fuzzy_spelling_candidate",1
strict_validator_rejected:context-dependent pair requires trusted model confidence,3
"strict_validator_rejected:context-dependent pair requires trusted model confidence,known_source_lexical_guard,unsafe_fuzzy_spelling_candidate",1
"strict_validator_rejected:context-dependent pair requires trusted model confidence,morphology_agreement_guard",2
"strict_validator_rejected:context-dependent pair requires trusted model confidence,outside strict spelling/punctuation scope",1
"strict_validator_rejected:context-dependent pair requires trusted model confidence,unsafe_fuzzy_spelling_candidate",2
strict_validator_rejected:known_source_lexical_guard,479
"strict_validator_rejected:known_source_lexical_guard,morph_incompatible",1
"strict_validator_rejected:known_source_lexical_guard,morph_incompatible,tsya_unsafe",1
"strict_validator_rejected:known_source_lexical_guard,morphology_agreement_guard",162
"strict_validator_rejected:known_source_lexical_guard,morphology_agreement_guard,ne_ni_unsafe",11
"strict_validator_rejected:known_source_lexical_guard,morphology_agreement_guard,protected_lexical_guard",8
"strict_validator_rejected:known_source_lexical_guard,morphology_agreement_guard,requires_trusted_candidate",1
"strict_validator_rejected:known_source_lexical_guard,morphology_agreement_guard,tsya_unsafe",4
"strict_validator_rejected:known_source_lexical_guard,morphology_agreement_guard,unsafe_double_consonant_candidate",3
"strict_validator_rejected:known_source_lexical_guard,morphology_agreement_guard,unsafe_fuzzy_spelling_candidate",15
"strict_validator_rejected:known_source_lexical_guard,morphology_agreement_guard,unsafe_hyphen_po_adverb",1
"strict_validator_rejected:known_source_lexical_guard,ne_ni_unsafe",16
"strict_validator_rejected:known_source_lexical_guard,ne_ni_unsafe,tsya_unsafe",1
"strict_validator_rejected:known_source_lexical_guard,ne_ni_unsafe,unsafe_double_consonant_candidate",3
"strict_validator_rejected:known_source_lexical_guard,ne_ni_unsafe,unsafe_fuzzy_spelling_candidate",15
"strict_validator_rejected:known_source_lexical_guard,outside strict spelling/punctuation scope",7
"strict_validator_rejected:known_source_lexical_guard,outside strict spelling/punctuation scope,protected_lexical_guard",1
"strict_validator_rejected:known_source_lexical_guard,outside strict spelling/punctuation scope,unsafe_fuzzy_spelling_candidate",1
"strict_validator_rejected:known_source_lexical_guard,protected_lexical_guard",21
"strict_validator_rejected:known_source_lexical_guard,protected_lexical_guard,unsafe_double_consonant_candidate",4
"strict_validator_rejected:known_source_lexical_guard,protected_lexical_guard,unsafe_fuzzy_spelling_candidate",2
"strict_validator_rejected:known_source_lexical_guard,requires_trusted_candidate",14
"strict_validator_rejected:known_source_lexical_guard,requires_trusted_candidate,unsafe_fuzzy_spelling_candidate",2
"strict_validator_rejected:known_source_lexical_guard,requires_trusted_candidate,unsafe_hyphen_po_adverb",1
"strict_validator_rejected:known_source_lexical_guard,tsya_unsafe",6
"strict_validator_rejected:known_source_lexical_guard,tsya_unsafe,unsafe_fuzzy_spelling_candidate",1
"strict_validator_rejected:known_source_lexical_guard,unsafe_colon_candidate",1
"strict_validator_rejected:known_source_lexical_guard,unsafe_direct_speech_span,unsafe_double_consonant_candidate",1
"strict_validator_rejected:known_source_lexical_guard,unsafe_direct_speech_span,unsafe_fuzzy_spelling_candidate",1
"strict_validator_rejected:known_source_lexical_guard,unsafe_double_consonant_candidate",9
"strict_validator_rejected:known_source_lexical_guard,unsafe_double_consonant_candidate,unsafe_fuzzy_spelling_candidate",1
"strict_validator_rejected:known_source_lexical_guard,unsafe_fuzzy_spelling_candidate",177
"strict_validator_rejected:known_source_lexical_guard,unsafe_hyphen_po_adverb",4
strict_validator_rejected:morphology_agreement_guard,258
"strict_validator_rejected:morphology_agreement_guard,ne_ni_unsafe",7
"strict_validator_rejected:morphology_agreement_guard,ne_ni_unsafe,unsafe_double_consonant_candidate",2
"strict_validator_rejected:morphology_agreement_guard,ne_ni_unsafe,unsafe_hyphen_po_adverb",2
"strict_validator_rejected:morphology_agreement_guard,outside strict spelling/punctuation scope,protected_lexical_guard",1
"strict_validator_rejected:morphology_agreement_guard,outside strict spelling/punctuation scope,unsafe_fuzzy_spelling_candidate",1
"strict_validator_rejected:morphology_agreement_guard,protected_lexical_guard",21
"strict_validator_rejected:morphology_agreement_guard,protected_lexical_guard,requires_trusted_candidate",1
"strict_validator_rejected:morphology_agreement_guard,protected_lexical_guard,unsafe_fuzzy_spelling_candidate",1
"strict_validator_rejected:morphology_agreement_guard,requires_trusted_candidate",2
"strict_validator_rejected:morphology_agreement_guard,tsya_unsafe",1
"strict_validator_rejected:morphology_agreement_guard,tsya_unsafe,unsafe_direct_speech_span",1
"strict_validator_rejected:morphology_agreement_guard,unsafe_colon_candidate",2
"strict_validator_rejected:morphology_agreement_guard,unsafe_direct_speech_span",1
"strict_validator_rejected:morphology_agreement_guard,unsafe_double_consonant_candidate",36
"strict_validator_rejected:morphology_agreement_guard,unsafe_double_consonant_candidate,unsafe_fuzzy_spelling_candidate",2
"strict_validator_rejected:morphology_agreement_guard,unsafe_fuzzy_spelling_candidate",7
strict_validator_rejected:ne_ni_unsafe,30
"strict_validator_rejected:ne_ni_unsafe,protected_lexical_guard",2
"strict_validator_rejected:ne_ni_unsafe,tsya_unsafe",3
"strict_validator_rejected:ne_ni_unsafe,unsafe_colon_candidate",1
"strict_validator_rejected:ne_ni_unsafe,unsafe_direct_speech_span,unsafe_fuzzy_spelling_candidate",2
"strict_validator_rejected:ne_ni_unsafe,unsafe_double_consonant_candidate",2
"strict_validator_rejected:ne_ni_unsafe,unsafe_fuzzy_spelling_candidate",10
"strict_validator_rejected:ne_ni_unsafe,unsafe_hyphen_po_adverb",1
strict_validator_rejected:outside strict spelling/punctuation scope,2
"strict_validator_rejected:outside strict spelling/punctuation scope,protected_lexical_guard",1
"strict_validator_rejected:outside strict spelling/punctuation scope,requires_trusted_candidate,unsafe_fuzzy_spelling_candidate",1
strict_validator_rejected:protected_lexical_guard,82
"strict_validator_rejected:protected_lexical_guard,requires_trusted_candidate",1
"strict_validator_rejected:protected_lexical_guard,requires_trusted_candidate,unsafe_fuzzy_spelling_candidate",2
"strict_validator_rejected:protected_lexical_guard,tsya_unsafe",4
"strict_validator_rejected:protected_lexical_guard,tsya_unsafe,unsafe_fuzzy_spelling_candidate",1
"strict_validator_rejected:protected_lexical_guard,unsafe_colon_candidate",1
"strict_validator_rejected:protected_lexical_guard,unsafe_colon_candidate,unsafe_double_consonant_candidate",2
"strict_validator_rejected:protected_lexical_guard,unsafe_direct_speech_span",3
"strict_validator_rejected:protected_lexical_guard,unsafe_double_consonant_candidate",1
"strict_validator_rejected:protected_lexical_guard,unsafe_double_consonant_candidate,unsafe_fuzzy_spelling_candidate",1
"strict_validator_rejected:protected_lexical_guard,unsafe_fuzzy_spelling_candidate",4
strict_validator_rejected:requires_trusted_candidate,11
"strict_validator_rejected:requires_trusted_candidate,tsya_unsafe",1
"strict_validator_rejected:requires_trusted_candidate,unsafe_colon_candidate,unsafe_discourse_dash",1
"strict_validator_rejected:requires_trusted_candidate,unsafe_double_consonant_candidate",2
"strict_validator_rejected:requires_trusted_candidate,unsafe_double_consonant_candidate,unsafe_fuzzy_spelling_candidate",1
strict_validator_rejected:tsya_unsafe,15
"strict_validator_rejected:tsya_unsafe,unsafe_fuzzy_spelling_candidate",6
"strict_validator_rejected:tsya_unsafe,unsafe_fuzzy_spelling_candidate,unsafe_hyphen_po_adverb",1
strict_validator_rejected:unsafe_colon_candidate,4
"strict_validator_rejected:unsafe_colon_candidate,unsafe_fuzzy_spelling_candidate",1
strict_validator_rejected:unsafe_direct_speech_span,2
"strict_validator_rejected:unsafe_direct_speech_span,unsafe_hyphen_po_adverb",1
strict_validator_rejected:unsafe_double_consonant_candidate,69
"strict_validator_rejected:unsafe_double_consonant_candidate,unsafe_fuzzy_spelling_candidate",52
strict_validator_rejected:unsafe_fuzzy_spelling_candidate,177
strict_validator_rejected:unsafe_hyphen_po_adverb,7
subtitles_or_dialogue_fragment,4
token_edit_distance_too_high,639
too_few_tokens,1868
too_many_tokens,2823
unsupported_edit_type,31
