source,target,prediction,error_types,source_dataset,is_clean,is_synthetic,split,domain
А потом … возможно будет всго лишь … Латвия.,"А потом... возможно, будет всего лишь... Латвия.",А потом … Возможно будет всго лишь … Латвия.,"[""punctuation""]",spellcheck_punctuation_benchmark,False,False,val,web
А потом … возможно будет всго лишь … Латвия.,"А потом … возможно, будет всего лишь … Латвия.",А потом … Возможно будет всго лишь … Латвия.,"[""punctuation""]",sage_multidomain_gold,False,False,val,web
«Команда справилась» сказала Мария. Вечером автор проверил таблицу.,«Команда справилась» — сказала Мария. Вечером автор проверил таблицу.,«Команда справилась —» сказала Мария. Вечером автор проверил таблицу.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. Утром комиссия открыла журнал.,«Команда справилась» — сказала Мария. Утром комиссия открыла журнал.,«Команда справилась —» сказала Мария. Утром комиссия открыла журнал.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. После обеда редактор принял письмо.,«Команда справилась» — сказала Мария. После обеда редактор принял письмо.,«Команда справилась —» сказала Мария. После обеда редактор принял письмо.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. После обеда комиссия уточнила вывод.,«Команда справилась» — сказала Мария. После обеда комиссия уточнила вывод.,«Команда справилась —» сказала Мария. После обеда комиссия уточнила вывод.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. Утром служба приняла заявку.,«Команда справилась» — сказала Мария. Утром служба приняла заявку.,«Команда справилась —» сказала Мария. Утром служба приняла заявку.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. После проверки аналитик принял сводку.,«Команда справилась» — сказала Мария. После проверки аналитик принял сводку.,«Команда справилась —» сказала Мария. После проверки аналитик принял сводку.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. Вечером комиссия сохранила таблицу.,«Команда справилась» — сказала Мария. Вечером комиссия сохранила таблицу.,«Команда справилась —» сказала Мария. Вечером комиссия сохранила таблицу.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. После проверки руководитель подписал лист.,«Команда справилась» — сказала Мария. После проверки руководитель подписал лист.,«Команда справилась —» сказала Мария. После проверки руководитель подписал лист.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. Утром аналитик сохранил отчет.,«Команда справилась» — сказала Мария. Утром аналитик сохранил отчет.,«Команда справилась —» сказала Мария. Утром аналитик сохранил отчет.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. После обеда редактор принял письмо.,«Команда справилась» — сказала Мария. После обеда редактор принял письмо.,«Команда справилась —» сказала Мария. После обеда редактор принял письмо.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. Утром служба приняла заявку.,«Команда справилась» — сказала Мария. Утром служба приняла заявку.,«Команда справилась —» сказала Мария. Утром служба приняла заявку.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. Вечером комиссия сохранила таблицу.,«Команда справилась» — сказала Мария. Вечером комиссия сохранила таблицу.,«Команда справилась —» сказала Мария. Вечером комиссия сохранила таблицу.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. После обеда комиссия уточнила вывод.,«Команда справилась» — сказала Мария. После обеда комиссия уточнила вывод.,«Команда справилась —» сказала Мария. После обеда комиссия уточнила вывод.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. Утром служба уточнила график.,«Команда справилась» — сказала Мария. Утром служба уточнила график.,«Команда справилась —» сказала Мария. Утром служба уточнила график.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. Позже аналитик проверил договор.,«Команда справилась» — сказала Мария. Позже аналитик проверил договор.,«Команда справилась —» сказала Мария. Позже аналитик проверил договор.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. Вечером автор проверил таблицу.,«Команда справилась» — сказала Мария. Вечером автор проверил таблицу.,«Команда справилась —» сказала Мария. Вечером автор проверил таблицу.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. Утром эксперт обновил протокол.,«Команда справилась» — сказала Мария. Утром эксперт обновил протокол.,«Команда справилась —» сказала Мария. Утром эксперт обновил протокол.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. Утром аналитик сохранил отчет.,«Команда справилась» — сказала Мария. Утром аналитик сохранил отчет.,«Команда справилась —» сказала Мария. Утром аналитик сохранил отчет.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. После обеда редактор принял письмо.,«Команда справилась» — сказала Мария. После обеда редактор принял письмо.,«Команда справилась —» сказала Мария. После обеда редактор принял письмо.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. Вечером комиссия сохранила таблицу.,«Команда справилась» — сказала Мария. Вечером комиссия сохранила таблицу.,«Команда справилась —» сказала Мария. Вечером комиссия сохранила таблицу.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. Утром служба уточнила график.,«Команда справилась» — сказала Мария. Утром служба уточнила график.,«Команда справилась —» сказала Мария. Утром служба уточнила график.,"[""punctuation""]",lenta_news,False,True,val,news
«Команда справилась» сказала Мария. После проверки руководитель подписал лист.,«Команда справилась» — сказала Мария. После проверки руководитель подписал лист.,«Команда справилась —» сказала Мария. После проверки руководитель подписал лист.,"[""punctuation""]",lenta_news,False,True,val,news
