rule_id,activation_stage,production_ready,source,included,reason
abbreviation_case_protection,validator_dependent,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
address_comma,production_ready,True,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
apposition_comma,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
asyndetic_dash,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
bracket_pair_balance,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
capitalization_ner,blocked,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,rule_registry",False,needs_NER
capitalization_sentence_start,validator_dependent,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
clarification_comma,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
comma_conjunction,production_ready,True,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
comma_subordinate,production_ready,True,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
comparative_turnover_comma,production_ready,True,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
consequence_dash,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
context_chto_by,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
context_nesmotrya,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
context_tak_zhe,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
context_to_zhe,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
context_vsledstvie,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
context_za_to,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
cy_exception,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
detached_adverbial_comma,production_ready,True,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
detached_participial_comma,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
dictionary_fuzzy,validator_dependent,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
direct_speech_colon,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
direct_speech_dash,production_ready,True,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
direct_speech_quotes,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
double_consonant_candidate,validator_dependent,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
enumeration_colon,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
enumeration_dash,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
explanation_colon,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
extra_letter_candidate,validator_dependent,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
final_punctuation_default,validator_dependent,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
frequent_error_exact,validator_dependent,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,known_rule_ids,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
homogeneous_comma,production_ready,True,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
hyphen_koe_koy,production_ready,True,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
hyphen_particles,production_ready,True,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
hyphen_po_adverbs,validator_dependent,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
hyphen_whitelist,production_ready,True,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
introductory_comma,production_ready,True,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
keyboard_typo_candidate,validator_dependent,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
missing_hard_sign,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
missing_letter_candidate,validator_dependent,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,legacy_candidate_backed,rule_registry",False,below_min_atomic_positive_quota
n_nn_adjective,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
n_nn_deverbal_adjective,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
n_nn_participle,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
n_nn_short_form,threshold_calibration,False,"candidate_generator_registry,capability_matrix,configs_rules_yaml,corruption_operator_registry,rule_registry,syntax_module",False,below_min_atomic_positive_quota
