rule_id,taxonomy_key,title,blocker,reason,missing_component
abbreviation_case_protection,orthography_5_1_1,Аббревиатуры инициального типа,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
address_comma,punctuation_6_2_1,Обращение в составе предложения,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
apposition_comma,punctuation_5_3,Знаки препинания при приложениях,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
asyndetic_dash,punctuation_7_3_1,Запятая в бессоюзном сложном предложении,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
bracket_pair_balance,punctuation_9_5,Разные знаки со скобками,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
capitalization_ner,orthography_4_1_1,"Личные имена, отчества, фамилии, псевдонимы, прозвища",needs_NER,needs_NER,ner
capitalization_sentence_start,orthography_4_12,Прописные буквы после знаков препинания,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
clarification_comma,punctuation_5_5,Знаки препинания при ограничительно-выделительных оборотах,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
comma_conjunction,punctuation_7_1_1,Запятая между частями сложносочинённого предложения,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
comma_subordinate,punctuation_7_2_1,Постановка запятой между частями сложноподчинённого предложения,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
comparative_turnover_comma,punctuation_5_8_1,"Обороты со сравнительными союзами, кроме «как», или частицами",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
consequence_dash,punctuation_7_3_1,Запятая в бессоюзном сложном предложении,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
context_chto_by,orthography_3_4_1,Слитное написание местоименных слов,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
context_nesmotrya,orthography_3_6_1_1,Предлоги из предложно-падежных сочетаний,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
context_tak_zhe,orthography_3_6_1_3,"Союзы и частицы «дабы, кабы, также, тоже, чтобы (чтоб)»",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
context_to_zhe,orthography_3_4_1,Слитное написание местоименных слов,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
context_vsledstvie,orthography_3_6_1_1,Предлоги из предложно-падежных сочетаний,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
context_za_to,orthography_3_6_1_2,Союзы и частицы из сочетаний предлогов и союзов с местоименными словами,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
cy_exception,orthography_1_1_2_2,"Буквы «и», «ы»",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
detached_adverbial_comma,punctuation_5_4_1,Обособление деепричастного оборота,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
detached_participial_comma,punctuation_5_1_1_1,Оборот после определяемого существительного,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
dictionary_fuzzy,orthography_8_1,Орфографические ошибки в словарных словах,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
direct_speech_colon,punctuation_8_1_1,Прямая речь после слов автора,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
direct_speech_dash,punctuation_8_1_2,Прямая речь перед словами автора,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
direct_speech_quotes,punctuation_8_1_1,Прямая речь после слов автора,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
double_consonant_candidate,orthography_1_3_6_9,Двойные согласные в русских корнях,below_min_atomic_positive_quota,below_min_atomic_positive_quota,
enumeration_colon,punctuation_4_1,"Запятые при однородных членах предложения, не соединенных союзами",below_min_atomic_positive_quota,below_min_atomic_positive_quota,
