source_dataset,source,target,reason,edit_summary,detected_error_types,candidate_present
spellcheck_punctuation_benchmark,а так хочеться что-то мочь менять в этом мире не обезательно менять но обязательно быть способным это зделать,"А так хочется что-то мочь менять в этом мире: не обязательно менять, но обязательно быть способным это сделать.",disallowed_error_type,"final_punctuation:->.:unknown; spelling_replace:хочеться->хочется:frequent_error_exact; spelling_replace:зделать->сделать:frequent_error_exact; case_change:а->А:unknown; punctuation_insert:->::unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation"", ""spelling""]",True
spellcheck_punctuation_benchmark,давольно милый и летом и зимой обогреваемый теплым солнушком,"Довольно милый, и летом, и зимой обогреваемый тёплым солнышком.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:д->Д:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,бывают такие моменты когда хочеться зделать что-то сумасшедшее,"Бывают такие моменты, когда хочется сделать что-то сумасшедшее.",disallowed_error_type,"final_punctuation:->.:unknown; spelling_replace:хочеться->хочется:frequent_error_exact; spelling_replace:зделать->сделать:frequent_error_exact; case_change:б->Б:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation"", ""spelling""]",True
spellcheck_punctuation_benchmark,вот в инете откапал такую интеерсную статейку предлагаю вашему внимани,"Вот в инете откопал такую интересную статейку, предлагаю вашему вниманию.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:в->В:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,я на всю жизнь запомню свое первое купание в зимнем ледяном енисее,Я на всю жизнь запомню своё первое купание в зимнем ледяном Енисее.,disallowed_error_type,final_punctuation:->.:unknown; case_change:я->Я:unknown,"[""case"", ""final_punctuation""]",True
spellcheck_punctuation_benchmark,думаем что не ошибемся если скажем что выставка лучшие фотографии россии 2012 станет одним из самых значимых событий в культурной жизни перми и ее жителей,"Думаем, что не ошибёмся, если скажем, что выставка ""Лучшие фотографии России — 2012"" станет одним из самых значимых событий в культурной жизни Перми и её жителей.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:д->Д:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown; punctuation_insert:->"":unknown; punctuation_insert:->"":unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,судьба человека может складываться очень разнообразно в жизни много прекрасных светлых радостных моментов,"Судьба человека может складываться очень разнообразно: в жизни много прекрасных, светлых, радостных моментов.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:с->С:unknown; punctuation_insert:->::unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,а я думаю вот если бы хозяин этой лодки тебе ее подарил и ты бы собрал знакомых и устроил на этой лодке большие катание с размахом,"А я думаю, вот если бы хозяин этой лодки тебе её подарил и ты бы собрал знакомых и устроил на этой лодке большое катание с размахом.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:а->А:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,например парадный портрет николая ii при орденах и регалиях освященный как икона и снабженный 5-рублевой монетой и роскошным текстом снизу,"Например, парадный портрет Николая II при орденах и регалиях, освящённый как икона и снабжённый 5-рублёвой монетой и роскошным текстом снизу.",disallowed_error_type,"final_punctuation:->.:unknown; case_change:н->Н:unknown; punctuation_insert:->,:unknown; punctuation_insert:->,:unknown","[""case"", ""final_punctuation"", ""punctuation""]",True
spellcheck_punctuation_benchmark,двубортное кашемировое пальто песочного цвета классическог фасона,Двубортное кашемировое пальто песочного цвета классического фасона.,disallowed_error_type,final_punctuation:->.:unknown; case_change:д->Д:unknown,"[""case"", ""final_punctuation""]",True
