rule_id,group,gold_count,candidate_present_count,candidate_recall,missing_count,missing_examples
address_comma,addresses_interjections_particles,94,94,1.0,0,[]
comma_conjunction,homogeneous_commas,99,99,1.0,0,[]
comma_subordinate,complex_sentence_subordinate,79,79,1.0,0,[]
comparative_turnover_comma,comparative_turnovers,125,125,1.0,0,[]
context_chto_by,solid_hyphen_separate_service_words,257,257,1.0,0,[]
context_nesmotrya,solid_hyphen_separate_service_words,440,440,1.0,0,[]
context_tak_zhe,solid_hyphen_separate_service_words,92,92,1.0,0,[]
context_to_zhe,solid_hyphen_separate_service_words,105,105,1.0,0,[]
context_vsledstvie,solid_hyphen_separate_service_words,277,277,1.0,0,[]
context_za_to,solid_hyphen_separate_service_words,246,246,1.0,0,[]
cy_exception,letter_basic_hissing_vowel_patterns,117,117,1.0,0,[]
detached_adverbial_comma,detached_adverbials,102,102,1.0,0,[]
dictionary_fuzzy,typos_letter_operations,63,63,1.0,0,[]
direct_speech_colon,direct_speech_quotes,96,96,1.0,0,[]
direct_speech_dash,direct_speech_quotes,95,95,1.0,0,[]
direct_speech_quotes,direct_speech_quotes,96,96,1.0,0,[]
double_consonant_candidate,consonants_double,54,54,1.0,0,[]
enumeration_colon,homogeneous_generalizing_word,64,64,1.0,0,[]
explanation_colon,complex_sentence_asyndetic,96,96,1.0,0,[]
extra_letter_candidate,typos_letter_operations,63,63,1.0,0,[]
frequent_error_exact,typical_dictionary_words,66,31,0.4696969696969697,35,"[{""source"": ""Вот и получаеться теперь что женщина действительно неделимое целое с мужчиной."", ""target"": ""Вот и получается теперь, что женщина — действительно неделимое целое с мужчиной."", ""edit_type"": ""punctuation_insert"", ""start"": 37, ""end"": 37, ""source_fragment"": """", ""replacement"": ""—""}, {""source"": ""Порой мне хочеться тебя убить..."", ""target"": ""Порой мне хочется тебя убить."", ""edit_type"": ""punctuation_delete"", ""start"": 30, ""end"": 31, ""source_fragment"": ""."", ""replacement"": """"}, {""source"": ""Порой мне хочеться тебя убить..."", ""target"": ""Порой мне хочется тебя убить."", ""edit_type"": ""punctuation_delete"", ""start"": 31, ""end"": 32, ""source_fragment"": ""."", ""replacement"": """"}, {""source"": ""- А столько женщин в джинсах а-ля \"" заниженная талия \"" так и хочеться подойти и подтянуть."", ""target"": ""А столько женщин в джинсах а-ля заниженная талия, так и хочется подойти и подтянуть."", ""edit_type"": ""punctuation_delete"", ""start"": 34, ""end"": 35, ""source_fragment"": ""\"""", ""replacement"": """"}, {""source"": ""- А столько женщин в джинсах а-ля \"" заниженная талия \"" так и хочеться подойти и подтянуть."", ""target"": ""А столько женщин в джинсах а-ля заниженная талия, так и хочется подойти и подтянуть."", ""edit_type"": ""punctuation_replace"", ""start"": 53, ""end"": 54, ""source_fragment"": ""\"""", ""replacement"": "",""}, {""source"": ""Я просто решила пояснить, так как добавляю переодически друзей..."", ""target"": ""Я просто решила пояснить, так как добавляю периодически друзей."", ""edit_type"": ""punctuation_delete"", ""start"": 63, ""end"": 64, ""source_fragment"": ""."", ""replacement"": """"}, {""source"": ""Я просто решила пояснить, так как добавляю переодически друзей..."", ""target"": ""Я просто решила пояснить, так как добавляю периодически друзей."", ""edit_type"": ""punctuation_delete"", ""start"": 64, ""end"": 65, ""source_fragment"": ""."", ""replacement"": """"}, {""source"": ""Неважно, новичок ты, или состоявшийся крекер, так как сегодня сдесь не будет ни дизассемблированных листингов, ни способов взлома программного обеспечения, так что читай то, что есть."", ""target"": ""Неважно, новичок ты или состоявшийся крекер, так как сегодня здесь не будет ни дизассемблированных листингов, ни способов взлома программного обеспечения, так что читай то, что есть."", ""edit_type"": ""punctuation_delete"", ""start"": 19, ""end"": 20, ""source_fragment"": "","", ""replacement"": """"}, {""source"": ""Когда что-то не получаеться, падает самооценка, разрушаеться идеальный образ."", ""target"": ""Когда что-то не получается падает самооценка разрушается идеальный образ"", ""edit_type"": ""punctuation_delete"", ""start"": 27, ""end"": 28, ""source_fragment"": "","", ""replacement"": """"}, {""source"": ""Когда что-то не получаеться, падает самооценка, разрушаеться идеальный образ."", ""target"": ""Когда что-то не получается падает самооценка разрушается идеальный образ"", ""edit_type"": ""punctuation_delete"", ""start"": 76, ""end"": 77, ""source_fragment"": ""."", ""replacement"": """"}, {""source"": ""Только мне даже себе самой это признавать не хочеться."", ""target"": ""Только мне даже себе самой это признавать не хочется"", ""edit_type"": ""punctuation_delete"", ""start"": 53, ""end"": 54, ""source_fragment"": ""."", ""replacement"": """"}, {""source"": ""Наступила зима, хочеться играть в снежки."", ""target"": ""Наступила зима хочется играть в снежки"", ""edit_type"": ""punctuation_delete"", ""start"": 14, ""end"": 15, ""source_fragment"": "","", ""replacement"": """"}, {""source"": ""Наступила зима, хочеться играть в снежки."", ""target"": ""Наступила зима хочется играть в снежки"", ""edit_type"": ""punctuation_delete"", ""start"": 40, ""end"": 41, ""source_fragment"": ""."", ""replacement"": """"}, {""source"": ""Так уж получаеться что Эти люди встают между тобой и твоей Смертью."", ""target"": ""Так уж получается что эти люди встают между тобой и твоей смертью"", ""edit_type"": ""punctuation_delete"", ""start"": 66, ""end"": 67, ""source_fragment"": ""."", ""replacement"": """"}, {""source"": ""Вот и получаеться теперь что женщина действительно неделимое целое с мужчиной."", ""target"": ""Вот и получается теперь что женщина действительно неделимое целое с мужчиной"", ""edit_type"": ""punctuation_delete"", ""start"": 77, ""end"": 78, ""source_fragment"": ""."", ""replacement"": """"}, {""source"": ""Обязательно хочу миссию с дирижаблями, обажаю эти летательные аппараты."", ""target"": ""Обязательно хочу миссию с дирижаблями обожаю эти летательные аппараты"", ""edit_type"": ""punctuation_delete"", ""start"": 37, ""end"": 38, ""source_fragment"": "","", ""replacement"": """"}, {""source"": ""Обязательно хочу миссию с дирижаблями, обажаю эти летательные аппараты."", ""target"": ""Обязательно хочу миссию с дирижаблями обожаю эти летательные аппараты"", ""edit_type"": ""punctuation_delete"", ""start"": 70, ""end"": 71, ""source_fragment"": ""."", ""replacement"": """"}, {""source"": ""а так хочеться что-то мочь менять в этом мире, не обезательно менять, но обязательно быть способным это зделать..."", ""target"": ""а так хочется что-то мочь менять в этом мире не обязательно менять но обязательно быть способным это сделать"", ""edit_type"": ""punctuation_delete"", ""start"": 45, ""end"": 46, ""source_fragment"": "","", ""replacement"": """"}, {""source"": ""а так хочеться что-то мочь менять в этом мире, не обезательно менять, но обязательно быть способным это зделать..."", ""target"": ""а так хочется что-то мочь менять в этом мире не обязательно менять но обязательно быть способным это сделать"", ""edit_type"": ""punctuation_delete"", ""start"": 68, ""end"": 69, ""source_fragment"": "","", ""replacement"": """"}, {""source"": ""а так хочеться что-то мочь менять в этом мире, не обезательно менять, но обязательно быть способным это зделать..."", ""target"": ""а так хочется что-то мочь менять в этом мире не обязательно менять но обязательно быть способным это сделать"", ""edit_type"": ""punctuation_delete"", ""start"": 111, ""end"": 112, ""source_fragment"": ""."", ""replacement"": """"}]"
