profile,row_id,rule_id,error_type,source,target,prediction,exact,improved,worse,clean_overcorrected,accepted_rules
baseline,0,address_comma,punctuation,Иван открой городская служба. Позже редактор сверил список.,"Иван, открой городская служба. Позже редактор сверил список.","Иван, открой городская служба. Позже редактор сверил список.",True,True,False,False,address_comma
baseline,1,address_comma,punctuation,Иван открой городская служба. Позже редактор сверил список.,"Иван, открой городская служба. Позже редактор сверил список.","Иван, открой городская служба. Позже редактор сверил список.",True,True,False,False,address_comma
baseline,2,address_comma,punctuation,Иван открой городская служба. Позже редактор сверил список.,"Иван, открой городская служба. Позже редактор сверил список.","Иван, открой городская служба. Позже редактор сверил список.",True,True,False,False,address_comma
baseline,3,address_comma,punctuation,Иван открой городская служба. Позже редактор сверил список.,"Иван, открой городская служба. Позже редактор сверил список.","Иван, открой городская служба. Позже редактор сверил список.",True,True,False,False,address_comma
baseline,4,address_comma,punctuation,Иван открой городская служба. Позже редактор сверил список.,"Иван, открой городская служба. Позже редактор сверил список.","Иван, открой городская служба. Позже редактор сверил список.",True,True,False,False,address_comma
baseline,5,address_comma,punctuation,Иван открой городская служба. Позже редактор сверил список.,"Иван, открой городская служба. Позже редактор сверил список.","Иван, открой городская служба. Позже редактор сверил список.",True,True,False,False,address_comma
baseline,6,address_comma,punctuation,Иван открой длинная запись. Вечером секретарь отправил письмо.,"Иван, открой длинная запись. Вечером секретарь отправил письмо.","Иван, открой длинная запись. Вечером секретарь отправил письмо.",True,True,False,False,address_comma
baseline,7,address_comma,punctuation,Иван открой длинная запись. Вечером секретарь отправил письмо.,"Иван, открой длинная запись. Вечером секретарь отправил письмо.","Иван, открой длинная запись. Вечером секретарь отправил письмо.",True,True,False,False,address_comma
baseline,8,address_comma,punctuation,Иван открой длинная запись. Вечером секретарь отправил письмо.,"Иван, открой длинная запись. Вечером секретарь отправил письмо.","Иван, открой длинная запись. Вечером секретарь отправил письмо.",True,True,False,False,address_comma
baseline,9,address_comma,punctuation,Иван открой длинная запись. Вечером секретарь отправил письмо.,"Иван, открой длинная запись. Вечером секретарь отправил письмо.","Иван, открой длинная запись. Вечером секретарь отправил письмо.",True,True,False,False,address_comma
baseline,10,address_comma,punctuation,Иван открой длинная запись. Вечером секретарь отправил письмо.,"Иван, открой длинная запись. Вечером секретарь отправил письмо.","Иван, открой длинная запись. Вечером секретарь отправил письмо.",True,True,False,False,address_comma
baseline,11,address_comma,punctuation,Иван открой подробная справка. Позже служба проверила запись.,"Иван, открой подробная справка. Позже служба проверила запись.","Иван, открой подробная справка. Позже служба проверила запись.",True,True,False,False,address_comma
baseline,12,address_comma,punctuation,Иван открой подробная справка. Позже служба проверила запись.,"Иван, открой подробная справка. Позже служба проверила запись.","Иван, открой подробная справка. Позже служба проверила запись.",True,True,False,False,address_comma
baseline,13,address_comma,punctuation,Иван открой подробная справка. Позже служба проверила запись.,"Иван, открой подробная справка. Позже служба проверила запись.","Иван, открой подробная справка. Позже служба проверила запись.",True,True,False,False,address_comma
baseline,14,address_comma,punctuation,Иван открой подробная справка. Позже служба проверила запись.,"Иван, открой подробная справка. Позже служба проверила запись.","Иван, открой подробная справка. Позже служба проверила запись.",True,True,False,False,address_comma
baseline,15,address_comma,punctuation,Иван открой подробная справка. Позже служба проверила запись.,"Иван, открой подробная справка. Позже служба проверила запись.","Иван, открой подробная справка. Позже служба проверила запись.",True,True,False,False,address_comma
baseline,16,address_comma,punctuation,Иван открой подробная справка. Позже служба проверила запись.,"Иван, открой подробная справка. Позже служба проверила запись.","Иван, открой подробная справка. Позже служба проверила запись.",True,True,False,False,address_comma
baseline,17,address_comma,punctuation,Иван отправь важный договор. Утром редактор принял отчет.,"Иван, отправь важный договор. Утром редактор принял отчет.","Иван, отправь важный договор. Утром редактор принял отчет.",True,True,False,False,address_comma
baseline,18,address_comma,punctuation,Иван отправь важный договор. Утром редактор принял отчет.,"Иван, отправь важный договор. Утром редактор принял отчет.","Иван, отправь важный договор. Утром редактор принял отчет.",True,True,False,False,address_comma
baseline,19,address_comma,punctuation,Иван отправь важный договор. Утром редактор принял отчет.,"Иван, отправь важный договор. Утром редактор принял отчет.","Иван, отправь важный договор. Утром редактор принял отчет.",True,True,False,False,address_comma
baseline,20,address_comma,punctuation,Иван отправь важный договор. Утром редактор принял отчет.,"Иван, отправь важный договор. Утром редактор принял отчет.","Иван, отправь важный договор. Утром редактор принял отчет.",True,True,False,False,address_comma
baseline,21,address_comma,punctuation,Иван отправь важный договор. Утром редактор принял отчет.,"Иван, отправь важный договор. Утром редактор принял отчет.","Иван, отправь важный договор. Утром редактор принял отчет.",True,True,False,False,address_comma
baseline,22,address_comma,punctuation,Иван отправь важный договор. Утром редактор принял отчет.,"Иван, отправь важный договор. Утром редактор принял отчет.","Иван, отправь важный договор. Утром редактор принял отчет.",True,True,False,False,address_comma
baseline,23,address_comma,punctuation,Иван отправь важный договор. Утром редактор принял отчет.,"Иван, отправь важный договор. Утром редактор принял отчет.","Иван, отправь важный договор. Утром редактор принял отчет.",True,True,False,False,address_comma
baseline,24,address_comma,punctuation,Иван отправь открытая заявка. Позже комиссия сохранила решение.,"Иван, отправь открытая заявка. Позже комиссия сохранила решение.","Иван, отправь открытая заявка. Позже комиссия сохранила решение.",True,True,False,False,address_comma
baseline,25,address_comma,punctuation,Иван отправь открытая заявка. Позже комиссия сохранила решение.,"Иван, отправь открытая заявка. Позже комиссия сохранила решение.","Иван, отправь открытая заявка. Позже комиссия сохранила решение.",True,True,False,False,address_comma
baseline,26,address_comma,punctuation,Иван отправь открытая заявка. Позже комиссия сохранила решение.,"Иван, отправь открытая заявка. Позже комиссия сохранила решение.","Иван, отправь открытая заявка. Позже комиссия сохранила решение.",True,True,False,False,address_comma
baseline,27,address_comma,punctuation,Иван отправь открытая заявка. Позже комиссия сохранила решение.,"Иван, отправь открытая заявка. Позже комиссия сохранила решение.","Иван, отправь открытая заявка. Позже комиссия сохранила решение.",True,True,False,False,address_comma
baseline,28,address_comma,punctuation,Иван отправь открытая заявка. Позже комиссия сохранила решение.,"Иван, отправь открытая заявка. Позже комиссия сохранила решение.","Иван, отправь открытая заявка. Позже комиссия сохранила решение.",True,True,False,False,address_comma
