rule_id,tier,include_in_dataset,reason,quota_min,quota_preferred,quota_final,candidate_recall,safety_status,source
abbreviation_case_protection,legacy_stable,False,excluded_after_quota_underfilled,1000,1500,135,1.0,excluded_after_dataset_quality_audit,legacy_stable
address_comma,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3204,1.0,included,syntax_supported
apposition_comma,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,0,1.0,excluded_after_dataset_quality_audit,syntax_supported
asyndetic_dash,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,1966,1.0,included,syntax_supported
bracket_pair_balance,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3176,1.0,included,syntax_supported
capitalization_ner,excluded,False,needs_NER:BLOCK_NEEDS_NER:no_safe_current_candidate_path,0,0,0,0.0,excluded,excluded
capitalization_sentence_start,legacy_stable,True,legacy_candidate_backed_current_capability,1000,3000,3700,1.0,included,legacy_stable
clarification_comma,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,1085,1.0,excluded_after_dataset_quality_audit,syntax_supported
comma_conjunction,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,2949,1.0,included,syntax_supported
comma_subordinate,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3139,1.0,included,syntax_supported
comparative_turnover_comma,syntax_supported,False,excluded_by_core_builder,1500,2500,1538,1.0,excluded_after_dataset_quality_audit,syntax_supported
consequence_dash,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,365,1.0,excluded_after_dataset_quality_audit,syntax_supported
context_chto_by,syntax_supported,False,excluded_by_core_builder,1500,2500,2731,1.0,excluded_after_dataset_quality_audit,syntax_supported
context_nesmotrya,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,1139,1.0,excluded_after_dataset_quality_audit,syntax_supported
context_tak_zhe,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3186,1.0,included,syntax_supported
context_to_zhe,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,1347,1.0,excluded_after_dataset_quality_audit,syntax_supported
context_vsledstvie,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,752,1.0,excluded_after_dataset_quality_audit,syntax_supported
context_za_to,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,877,1.0,excluded_after_dataset_quality_audit,syntax_supported
cy_exception,legacy_stable,False,excluded_after_quota_underfilled,1000,2500,732,1.0,excluded_after_dataset_quality_audit,legacy_stable
detached_adverbial_comma,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,504,1.0,excluded_after_dataset_quality_audit,syntax_supported
detached_participial_comma,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,2931,1.0,included,syntax_supported
dictionary_fuzzy,legacy_stable,False,excluded_by_core_builder,1000,1800,1010,1.0,excluded_after_dataset_quality_audit,legacy_stable
direct_speech_colon,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,715,1.0,excluded_after_dataset_quality_audit,syntax_supported
direct_speech_dash,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,700,1.0,excluded_after_dataset_quality_audit,syntax_supported
direct_speech_quotes,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3185,1.0,included,syntax_supported
double_consonant_candidate,legacy_stable,False,excluded_after_quota_underfilled,1000,1800,824,1.0,excluded_after_dataset_quality_audit,legacy_stable
enumeration_colon,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,693,1.0,excluded_after_dataset_quality_audit,syntax_supported
enumeration_dash,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,50,1.0,excluded_after_dataset_quality_audit,syntax_supported
explanation_colon,syntax_supported,False,excluded_by_core_builder,1500,2500,1589,1.0,excluded_after_dataset_quality_audit,syntax_supported
extra_letter_candidate,legacy_stable,False,excluded_after_quota_underfilled,1000,1800,734,1.0,excluded_after_dataset_quality_audit,legacy_stable
final_punctuation_default,legacy_stable,True,legacy_candidate_backed_current_capability,1000,3000,3719,1.0,included,legacy_stable
frequent_error_exact,legacy_stable,False,excluded_by_core_builder,1000,3000,1745,1.0,excluded_after_dataset_quality_audit,legacy_stable
homogeneous_comma,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,1316,1.0,excluded_after_dataset_quality_audit,syntax_supported
hyphen_koe_koy,legacy_stable,False,excluded_after_quota_underfilled,1000,3000,708,1.0,excluded_after_dataset_quality_audit,legacy_stable
hyphen_particles,legacy_stable,False,excluded_by_core_builder,1000,3000,1591,1.0,excluded_after_dataset_quality_audit,legacy_stable
hyphen_po_adverbs,legacy_stable,False,excluded_by_core_builder,1000,3000,1025,1.0,excluded_after_dataset_quality_audit,legacy_stable
hyphen_whitelist,legacy_stable,False,excluded_after_quota_underfilled,1000,3000,108,1.0,excluded_after_dataset_quality_audit,legacy_stable
introductory_comma,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3184,1.0,included,syntax_supported
keyboard_typo_candidate,legacy_stable,False,excluded_after_quota_underfilled,1000,1800,853,1.0,excluded_after_dataset_quality_audit,legacy_stable
missing_hard_sign,legacy_stable,True,legacy_candidate_backed_current_capability,1000,2500,3183,1.0,included,legacy_stable
missing_letter_candidate,legacy_stable,False,excluded_by_core_builder,1000,1800,1233,1.0,excluded_after_dataset_quality_audit,legacy_stable
n_nn_adjective,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3250,1.0,included,syntax_supported
n_nn_deverbal_adjective,syntax_supported,False,excluded_after_quota_underfilled,1500,2500,1272,1.0,excluded_after_dataset_quality_audit,syntax_supported
n_nn_participle,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3203,1.0,included,syntax_supported
n_nn_short_form,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3250,1.0,included,syntax_supported
ne_adjective,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3183,1.0,included,syntax_supported
ne_adverb,syntax_supported,True,syntax_supported_candidate_backed,1500,2500,3132,1.0,included,syntax_supported
ne_participle,syntax_supported,False,excluded_by_core_builder,1500,2500,2001,1.0,excluded_after_dataset_quality_audit,syntax_supported
ne_predicative,syntax_supported,False,excluded_by_core_builder,1500,2500,1896,1.0,excluded_after_dataset_quality_audit,syntax_supported
