row_index,category,rule_hint,source_text,target_text,candidate_source,candidate_replacement,edit_type,rule_id,score,threshold,selected,threshold_passed,validator_status,validator_reason,is_expected
1,frequent_spelling_exact,frequent_error_exact,акуратный.,аккуратный.,акуратный,Акуратный,case,capitalization_sentence_start,0.40847277641296387,0.98,False,False,,,False
1,frequent_spelling_exact,frequent_error_exact,акуратный.,аккуратный.,акуратный,аккуратный,spelling,double_consonant_candidate,0.3538433313369751,0.84,False,False,,,True
1,frequent_spelling_exact,frequent_error_exact,акуратный.,аккуратный.,акуратный,аккуратны,spelling,dictionary_fuzzy,0.15169844031333923,0.95,False,False,,,False
2,frequent_spelling_exact,frequent_error_exact,апеляция.,апелляция.,апеляция,апелляция,spelling,double_consonant_candidate,0.7888736724853516,0.84,False,False,,,True
2,frequent_spelling_exact,frequent_error_exact,апеляция.,апелляция.,апеляция,Апеляция,case,capitalization_sentence_start,0.7551558017730713,0.98,False,False,,,False
2,frequent_spelling_exact,frequent_error_exact,апеляция.,апелляция.,апеляция,апелляции,spelling,dictionary_fuzzy,0.7009750604629517,0.95,False,False,,,False
3,frequent_spelling_exact,frequent_error_exact,безконечный.,бесконечный.,безконечный,Безконечный,case,capitalization_sentence_start,0.620542049407959,0.98,False,False,,,False
3,frequent_spelling_exact,frequent_error_exact,безконечный.,бесконечный.,безконечный,бесконечный,spelling,dictionary_fuzzy,0.5311335921287537,0.95,False,False,,,True
3,frequent_spelling_exact,frequent_error_exact,безконечный.,бесконечный.,безконечный,безоконный,spelling,dictionary_fuzzy,0.520751953125,0.95,False,False,,,False
4,frequent_spelling_exact,frequent_error_exact,безплатный.,бесплатный.,безплатный,Безплатный,case,capitalization_sentence_start,0.6360485553741455,0.98,False,False,,,False
4,frequent_spelling_exact,frequent_error_exact,безплатный.,бесплатный.,безплатный,бесплатный,spelling,dictionary_fuzzy,0.613753616809845,0.95,False,False,,,True
4,frequent_spelling_exact,frequent_error_exact,безплатный.,бесплатный.,безплатный,бесплатны,spelling,dictionary_fuzzy,0.407032310962677,0.95,False,False,,,False
5,frequent_spelling_exact,frequent_error_exact,безпокойный.,беспокойный.,безпокойный,беспокойный,spelling,dictionary_fuzzy,0.8957880139350891,0.95,False,False,,,True
5,frequent_spelling_exact,frequent_error_exact,безпокойный.,беспокойный.,безпокойный,Безпокойный,case,capitalization_sentence_start,0.850565493106842,0.98,False,False,,,False
5,frequent_spelling_exact,frequent_error_exact,безпокойный.,беспокойный.,безпокойный,безоконный,spelling,dictionary_fuzzy,0.8223466873168945,0.95,False,False,,,False
6,frequent_spelling_exact,frequent_error_exact,безполезный.,бесполезный.,безполезный,бесполезный,spelling,dictionary_fuzzy,0.8766242861747742,0.95,False,False,,,True
6,frequent_spelling_exact,frequent_error_exact,безполезный.,бесполезный.,безполезный,Безполезный,case,capitalization_sentence_start,0.8477018475532532,0.98,False,False,,,False
6,frequent_spelling_exact,frequent_error_exact,безполезный.,бесполезный.,безполезный,бесполезны,spelling,dictionary_fuzzy,0.6988211274147034,0.95,False,False,,,False
7,frequent_spelling_exact,frequent_error_exact,безшумный.,бесшумный.,безшумный,безумный,spelling,extra_letter_candidate,0.6838878393173218,0.95,False,False,,,False
7,frequent_spelling_exact,frequent_error_exact,безшумный.,бесшумный.,безшумный,бездумный,spelling,keyboard_typo_candidate,0.6503364443778992,0.95,False,False,,,False
7,frequent_spelling_exact,frequent_error_exact,безшумный.,бесшумный.,безшумный,бесшумный,spelling,frequent_error_exact,0.5790483951568604,0.95,False,False,,,True
7,frequent_spelling_exact,frequent_error_exact,безшумный.,бесшумный.,безшумный,Безшумный,case,capitalization_sentence_start,0.5186693668365479,0.98,False,False,,,False
8,frequent_spelling_exact,frequent_error_exact,бесвкусный.,безвкусный.,бесвкусный,безвкусный,spelling,dictionary_fuzzy,0.7932679653167725,0.95,False,False,,,True
