rule_id,covered_by_corpus_miner,covered_by_syntax_miner,covered_by_morphology_miner,covered_by_real_pattern_replay,covered_by_enabled_rule_lab,generation_support_sources,status,recommended_next_action
abbreviation_case_protection,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
address_comma,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
apposition_comma,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
asyndetic_dash,False,True,False,False,False,syntax_mined,blocked_needs_candidate_generator,fix_candidate_generator_or_rule_mapping
bracket_pair_balance,False,False,False,False,True,rule_lab,enabled_rule_lab_recipe,monitor_enabled_rule_lab_recipe
capitalization_sentence_start,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
clarification_comma,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
comma_conjunction,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
comma_subordinate,False,True,False,True,False,"syntax_mined,real_pattern_replay",covered_by_non_rule_lab_sources,validate_non_rule_lab_generation_sources
comparative_turnover_comma,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
consequence_dash,False,False,False,False,False,,blocked_needs_candidate_generator,fix_candidate_generator_or_rule_mapping
context_chto_by,True,False,False,False,True,"corpus_mined,rule_lab",enabled_rule_lab_recipe,run_corpus_mined_probe
context_nesmotrya,True,False,False,False,True,"corpus_mined,rule_lab",enabled_rule_lab_recipe,run_corpus_mined_probe
context_tak_zhe,True,False,False,False,True,"corpus_mined,rule_lab",enabled_rule_lab_recipe,run_corpus_mined_probe
context_to_zhe,True,False,False,False,True,"corpus_mined,rule_lab",enabled_rule_lab_recipe,run_corpus_mined_probe
context_vsledstvie,True,False,False,False,True,"corpus_mined,rule_lab",enabled_rule_lab_recipe,run_corpus_mined_probe
context_za_to,True,False,False,False,True,"corpus_mined,rule_lab",enabled_rule_lab_recipe,run_corpus_mined_probe
cy_exception,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
detached_adverbial_comma,False,True,False,False,False,syntax_mined,covered_by_non_rule_lab_sources,inspect_syntax_opportunity_detector
detached_participial_comma,False,True,False,False,False,syntax_mined,blocked_needs_candidate_generator,fix_candidate_generator_or_rule_mapping
dictionary_fuzzy,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
direct_speech_colon,False,True,False,False,True,"syntax_mined,rule_lab",enabled_rule_lab_recipe,inspect_syntax_opportunity_detector
direct_speech_dash,False,True,False,False,False,syntax_mined,blocked_needs_candidate_generator,fix_candidate_generator_or_rule_mapping
direct_speech_quotes,False,False,False,False,False,,blocked_unsafe_template,design_safe_target_first_templates
double_consonant_candidate,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
enumeration_colon,False,True,False,False,False,syntax_mined,blocked_needs_validator,fix_strict_validator_or_atomic_verifier_support
enumeration_dash,False,False,False,False,False,,blocked_needs_candidate_generator,fix_candidate_generator_or_rule_mapping
explanation_colon,False,True,False,False,False,syntax_mined,blocked_needs_validator,fix_strict_validator_or_atomic_verifier_support
extra_letter_candidate,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
final_punctuation_default,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
frequent_error_exact,False,False,False,True,False,real_pattern_replay,covered_by_non_rule_lab_sources,validate_pattern_replay
homogeneous_comma,False,True,False,False,False,syntax_mined,covered_by_non_rule_lab_sources,inspect_syntax_opportunity_detector
hyphen_koe_koy,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
hyphen_particles,False,False,False,False,False,,blocked_needs_dedicated_miner,add_dedicated_miner_or_rule_lab_recipe
