profile,split,rule_id,rows,dirty_rows,clean_rows,exact_match_rate,dirty_exact_rate,dirty_improved_rate,dirty_worse_rate,clean_overcorrection_rate,mean_distance_delta,accepted_edits_per_row
baseline,val,address_comma,94,94,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,val,clean_identity,650,0,650,1.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,clean_identity_hard_negative,650,0,650,1.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,comma_conjunction,99,99,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,val,comma_subordinate,79,79,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,val,comparative_turnover_comma,125,125,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,val,context_chto_by,129,129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,context_nesmotrya,97,97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,context_tak_zhe,92,92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,context_to_zhe,105,105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,context_vsledstvie,102,102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,context_za_to,85,85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,cy_exception,117,117,0,0.7264957264957265,0.7264957264957265,0.7264957264957265,0.0,0.0,0.7264957264957265,0.7264957264957265
baseline,val,detached_adverbial_comma,102,102,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,val,dictionary_fuzzy,63,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,direct_speech_colon,96,96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,direct_speech_dash,95,95,0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
baseline,val,double_consonant_candidate,54,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,enumeration_colon,64,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,explanation_colon,96,96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,extra_letter_candidate,63,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,frequent_error_exact,27,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,homogeneous_comma,105,105,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,val,hyphen_koe_koy,78,78,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,val,hyphen_particles,80,80,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,val,hyphen_po_adverbs,100,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,introductory_comma,134,134,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
baseline,val,keyboard_typo_candidate,142,142,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,missing_letter_candidate,69,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,n_nn_adjective,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,val,n_nn_deverbal_adjective,221,221,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
