rule_id,gold_count,candidate_present_count,candidate_recall,min_required_recall,status,missing_examples
apposition_comma,2,2,1.0,0.95,not_applicable,[]
capitalization_sentence_start,175,175,1.0,0.95,not_applicable,[]
clarification_comma,1,1,1.0,0.95,not_applicable,[]
comma_conjunction,23,23,1.0,0.95,not_applicable,[]
comma_subordinate,31,31,1.0,0.95,not_applicable,[]
context_nesmotrya,1,1,1.0,0.95,not_applicable,[]
context_pair,1,1,1.0,0.95,not_applicable,[]
dictionary_fuzzy,119,119,1.0,0.95,not_applicable,[]
double_consonant_candidate,61,61,1.0,0.95,not_applicable,[]
extra_letter_candidate,22,22,1.0,0.95,not_applicable,[]
final_punctuation_default,281,281,1.0,0.95,not_applicable,[]
frequent_error_exact,20,20,1.0,0.95,not_applicable,[]
homogeneous_comma,1,1,1.0,0.95,not_applicable,[]
hyphen_particles,3,3,1.0,0.95,not_applicable,[]
hyphen_whitelist,1,1,1.0,0.95,not_applicable,[]
introductory_comma,1,1,1.0,0.95,not_applicable,[]
keyboard_typo_candidate,85,85,1.0,0.95,not_applicable,[]
missing_letter_candidate,295,295,1.0,0.95,not_applicable,[]
n_nn_participle,1,1,1.0,0.95,not_applicable,[]
ne_adjective,1,1,1.0,0.95,not_applicable,[]
ne_verb,14,14,1.0,0.95,not_applicable,[]
punctuation_delete_replace,1,1,1.0,0.95,not_applicable,[]
soft_to_hard_sign,4,4,1.0,0.95,not_applicable,[]
subject_predicate_dash,1,1,1.0,0.95,not_applicable,[]
swapped_letters_candidate,49,49,1.0,0.95,not_applicable,[]
