matrix_key,title,rule_id,syntax_family,candidate_path,synthetic_support,hard_negative_support,candidate_recall,training_eligible_now,decision,reason,source_section,status,entry_type,coverage_bucket,excluded_from_denominator
orthography_1_2_7_1,Написание букв в окончаниях по формам слов с тем же окончанием,,grammatical_endings_context,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_1_2_7_2,"Написание в форме им. п. ед. ч. муж. рода прилагательных / слов, склоняющихся как прилагательные",,grammatical_endings_context,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_1_2_7_3,"Окончания, содержащие гласные, не проверяемые ударной позицией",,grammatical_endings_context,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_1_2_7_4,Безударные окончания у существительных с некоторыми суффиксами,,grammatical_endings_context,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_1_2_7_5,"Падежные формы существительных на -ий, -ие, -ия",,grammatical_endings_context,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_1_2_7_6,"Предлоги «в», «на», «по» с существительными на -ие, -ии",,grammatical_endings_context,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_3_2_3_1,Наречия и прилагательные или причастия,,context_pairs,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_3_5_1_1,"Наречия, образованные с помощью приставок от наречий",,context_pairs,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_3_5_1_2,"Наречия, образованные от имён прилагательных",,context_pairs,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_3_5_1_3,"Наречия, образованные от местоименных слов",,context_pairs,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_3_5_1_4,"Наречия, образованные с помощью приставок «в», «на» от собирательных числительных",,context_pairs,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_3_5_1_5,Наречия с первой частью «впол-»,,context_pairs,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_3_5_1_6,Наречия с пространственным и временным значениями,,context_pairs,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_3_5_1_7,Слитное написание сочетаний с предлогами-приставками,,context_pairs,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_3_5_2_1,Раздельное написание сочетаний с предлогами-приставками,,context_pairs,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_3_5_2_2,Наречные сочетания из предлога-приставки «с» и формы род. п. существительного на «-у (-а)»,,context_pairs,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_3_5_2_3,"Наречные сочетания предлогов-приставок «в», «с» со второй частью, начинающейся с гласных",,context_pairs,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_3_5_2_4,"Наречные сочетания, образованные повторением существительных или числительных с предлогом",,context_pairs,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_3_5_2_5,Наречные сочетания с существительным в разных падежах с предлогами,,context_pairs,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
orthography_3_5_3_1,Дефисное написание наречий,,context_pairs,False,False,False,,False,BLOCK_NEEDS_DICTIONARY,needs_dictionary,orthography,syntax_required,leaf_rule,syntax_surface,False
