row_index,split,source_type,rule_id,source,target,unbalanced_guillemet,unbalanced_ascii_quote,unbalanced_parentheses,unbalanced_square_bracket,unbalanced_curly_bracket,action,reason
17444,train,hard_negative_from_open_clean,clean_identity_hard_negative,Проверь документ свежая сводка).,Проверь документ свежая сводка).,False,False,True,False,False,kept,unbalanced_parentheses
38533,train,hard_negative_from_open_clean,clean_identity_hard_negative,Редактор сказал: «открытая заявка готов.,Редактор сказал: «открытая заявка готов.,True,False,False,False,False,kept,unbalanced_guillemets
50714,train,hard_negative_from_open_clean,clean_identity_hard_negative,Редактор сказал: новый документ готов».,Редактор сказал: новый документ готов».,True,False,False,False,False,kept,unbalanced_guillemets
57664,train,hard_negative_from_open_clean,clean_identity_hard_negative,Редактор сказал: «районная комиссия готов.,Редактор сказал: «районная комиссия готов.,True,False,False,False,False,kept,unbalanced_guillemets
67101,train,hard_negative_from_open_clean,clean_identity_hard_negative,Проверь документ новый документ).,Проверь документ новый документ).,False,False,True,False,False,kept,unbalanced_parentheses
111774,train,hard_negative_from_open_clean,clean_identity_hard_negative,Проверь документ (районная комиссия.,Проверь документ (районная комиссия.,False,False,True,False,False,kept,unbalanced_parentheses
116311,train,hard_negative_from_open_clean,clean_identity_hard_negative,Проверь документ утренний выпуск).,Проверь документ утренний выпуск).,False,False,True,False,False,kept,unbalanced_parentheses
141762,train,hard_negative_from_open_clean,clean_identity_hard_negative,Редактор сказал: «новая редакция готов.,Редактор сказал: «новая редакция готов.,True,False,False,False,False,kept,unbalanced_guillemets
142822,train,hard_negative_from_open_clean,clean_identity_hard_negative,Редактор сказал: короткая заметка готов».,Редактор сказал: короткая заметка готов».,True,False,False,False,False,kept,unbalanced_guillemets
149609,train,hard_negative_from_open_clean,clean_identity_hard_negative,Проверь документ финальный список).,Проверь документ финальный список).,False,False,True,False,False,kept,unbalanced_parentheses
157377,train,hard_negative_from_open_clean,clean_identity_hard_negative,Проверь документ короткая заметка).,Проверь документ короткая заметка).,False,False,True,False,False,kept,unbalanced_parentheses
162256,train,hard_negative_from_open_clean,clean_identity_hard_negative,Редактор сказал: «городской архив готов.,Редактор сказал: «городской архив готов.,True,False,False,False,False,kept,unbalanced_guillemets
165443,train,hard_negative_from_open_clean,clean_identity_hard_negative,Проверь документ (важный договор.,Проверь документ (важный договор.,False,False,True,False,False,kept,unbalanced_parentheses
178687,train,hard_negative_from_open_clean,clean_identity_hard_negative,Проверь документ (итоговая таблица.,Проверь документ (итоговая таблица.,False,False,True,False,False,kept,unbalanced_parentheses
191111,train,hard_negative_from_open_clean,clean_identity_hard_negative,Редактор сказал: «рабочий отчет готов.,Редактор сказал: «рабочий отчет готов.,True,False,False,False,False,kept,unbalanced_guillemets
201015,train,hard_negative_from_open_clean,clean_identity_hard_negative,Редактор сказал: «важный договор готов.,Редактор сказал: «важный договор готов.,True,False,False,False,False,kept,unbalanced_guillemets
213505,train,hard_negative_from_open_clean,clean_identity_hard_negative,Проверь документ (рабочий отчет.,Проверь документ (рабочий отчет.,False,False,True,False,False,kept,unbalanced_parentheses
216327,train,hard_negative_from_open_clean,clean_identity_hard_negative,Редактор сказал: утренний выпуск готов».,Редактор сказал: утренний выпуск готов».,True,False,False,False,False,kept,unbalanced_guillemets
219026,train,hard_negative_from_open_clean,clean_identity_hard_negative,Проверь документ (открытая заявка.,Проверь документ (открытая заявка.,False,False,True,False,False,kept,unbalanced_parentheses
244177,train,hard_negative_from_open_clean,clean_identity_hard_negative,"И я готов этого добиватся в своей дальнейшей политической деятельности"".","И я готов этого добиватся в своей дальнейшей политической деятельности"".",False,True,False,False,False,kept,unbalanced_ascii_quotes
259905,val,hard_negative_from_open_clean,clean_identity_hard_negative,Проверь документ (городской архив.,Проверь документ (городской архив.,False,False,True,False,False,kept,unbalanced_parentheses
276394,val,hard_negative_from_open_clean,clean_identity_hard_negative,Редактор сказал: письменный ответ готов».,Редактор сказал: письменный ответ готов».,True,False,False,False,False,kept,unbalanced_guillemets
277801,val,hard_negative_from_open_clean,clean_identity_hard_negative,Редактор сказал: «итоговая таблица готов.,Редактор сказал: «итоговая таблица готов.,True,False,False,False,False,kept,unbalanced_guillemets
284688,val,hard_negative_from_open_clean,clean_identity_hard_negative,Редактор сказал: свежая сводка готов».,Редактор сказал: свежая сводка готов».,True,False,False,False,False,kept,unbalanced_guillemets
284950,val,hard_negative_from_open_clean,clean_identity_hard_negative,Редактор сказал: финальный список готов».,Редактор сказал: финальный список готов».,True,False,False,False,False,kept,unbalanced_guillemets
303118,test,hard_negative_from_open_clean,clean_identity_hard_negative,Проверь документ письменный ответ).,Проверь документ письменный ответ).,False,False,True,False,False,kept,unbalanced_parentheses
