rule_id,group,gold_count,candidate_present_count,candidate_recall,missing_count,missing_examples
address_comma,addresses_interjections_particles,1200,1200,1.0,0,[]
comma_conjunction,homogeneous_commas,2200,2200,1.0,0,[]
comma_subordinate,complex_sentence_subordinate,2800,2800,1.0,0,[]
comparative_turnover_comma,comparative_turnovers,1000,1000,1.0,0,[]
context_chto_by,solid_hyphen_separate_service_words,544,544,1.0,0,[]
context_nesmotrya,solid_hyphen_separate_service_words,1084,1084,1.0,0,[]
context_tak_zhe,solid_hyphen_separate_service_words,544,544,1.0,0,[]
context_to_zhe,solid_hyphen_separate_service_words,544,544,1.0,0,[]
context_vsledstvie,solid_hyphen_separate_service_words,542,542,1.0,0,[]
context_za_to,solid_hyphen_separate_service_words,542,542,1.0,0,[]
cy_exception,letter_basic_hissing_vowel_patterns,76,76,1.0,0,[]
detached_adverbial_comma,detached_adverbials,1300,1300,1.0,0,[]
dictionary_fuzzy,unstressed_root_vowels,829,829,1.0,0,[]
direct_speech_colon,direct_speech_quotes,1200,1200,1.0,0,[]
direct_speech_dash,direct_speech_quotes,400,400,1.0,0,[]
direct_speech_quotes,direct_speech_quotes,2400,2400,1.0,0,[]
double_consonant_candidate,consonants_double,829,829,1.0,0,[]
enumeration_colon,homogeneous_generalizing_word,1200,1200,1.0,0,[]
extra_letter_candidate,typos_letter_operations,829,829,1.0,0,[]
final_punctuation_default,sentence_final_default_dot,2500,2500,1.0,0,[]
frequent_error_exact,typical_dictionary_words,6318,6318,1.0,0,[]
homogeneous_comma,homogeneous_commas,1300,1300,1.0,0,[]
hyphen_koe_koy,solid_hyphen_separate_pronouns_adverbs_particles,1000,1000,1.0,0,[]
hyphen_particles,solid_hyphen_separate_pronouns_adverbs_particles,1200,1200,1.0,0,[]
hyphen_po_adverbs,solid_hyphen_separate_pronouns_adverbs_particles,1000,1000,1.0,0,[]
hyphen_whitelist,solid_hyphen_separate_pronouns_adverbs_particles,2133,2133,1.0,0,[]
introductory_comma,introductory_words,1500,1500,1.0,0,[]
keyboard_typo_candidate,typos_letter_operations,829,829,1.0,0,[]
