source,target,split,source_type,error_type,rule_ids,edits,metadata,original_clean_source,source_corpus,source_subcorpus,is_hard_negative,is_real_pair,template_id,normalized_pair_hash,error_types,source_dataset,is_clean,is_synthetic,domain,rule_id,edit_operations,calib_bucket
"Только одна пара из двадцати несмогла одолеть подъем, тем не менее они все равно поженились, но не на вершине, а на середине горы.","Только одна пара из двадцати не смогла одолеть подъем, тем не менее они все равно поженились, но не на вершине, а на середине горы.",train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""несмогла"", ""replacement"": ""не смогла"", ""edit_type"": ""split_word"", ""start"": 29, ""end"": 37, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""d4d96dccc48bda425cff8830"", ""clean_hash"": ""c3fa460902048d6ee3658ec212828c1651c1d15c5f5ef29accc8962d07e6fa74"", ""error_bearing_span"": [29, 37], ""error_form"": ""несмогла"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Open Lenta.ru news dataset; verify terms before production."", ""normalized_pair_hash"": ""41f044d01b2f46754b94f3b31587c70c64d66dc4abd829f01251c0f85ebcad75"", ""original_clean_sentence"": ""Только одна пара из двадцати не смогла одолеть подъем, тем не менее они все равно поженились, но не на вершине, а на середине горы."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""16418:9"", ""source_doc_id"": ""https://lenta.ru/news/2000/11/14/marriage/"", ""source_name"": ""lenta_news"", ""source_subcorpus"": ""Из жизни"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""synthetic_source_dataset"": ""synthetic_open_corpus_ne_verb"", ""target_family"": ""ne_verb"", ""target_form"": ""не смогла""}","Только одна пара из двадцати не смогла одолеть подъем, тем не менее они все равно поженились, но не на вершине, а на середине горы.",lenta_news,Из жизни,False,False,41f044d01b2f46754b94f3b3,41f044d01b2f46754b94f3b31587c70c64d66dc4abd829f01251c0f85ebcad75,"[""split_join""]",lenta_news,False,True,news,ne_verb,"[{""source"": ""несмогла"", ""replacement"": ""не смогла"", ""edit_type"": ""split_word"", ""start"": 29, ""end"": 37, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb""}]",rule:ne_verb
Команда недумает о задержке. Позже комиссия вернула письмо..,Команда не думает о задержке. Позже комиссия вернула письмо..,train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""b46d94c804f72104e992a2d0"", ""clean_hash"": ""acac53068a1b9304333f16163f406ddf6bbe2d3e773c2f7e4ae0db34a3211b24"", ""edit_operations"": [{""confidence"": 0.35, ""edit_type"": ""split_word"", ""end"": 16, ""error_type"": ""split_join"", ""reason"": """", ""replacement"": ""не думает"", ""rule_id"": ""ne_verb"", ""source"": ""недумает"", ""start"": 8, ""status"": ""proposed""}], ""error_bearing_span"": [8, 16], ""error_form"": ""недумает"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Nerus Lenta annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""033cea9392a8a7aea609510437b91185569cd93bc40ff5337577c911ea9fcbd0"", ""original_clean_sentence"": ""Команда не думает о задержке. Позже комиссия вернула письмо. ????? ???????? ???????? ???????? ???."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""4166"", ""source_doc_id"": ""352"", ""source_name"": ""nerus_news"", ""source_subcorpus"": ""nerus_lenta"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""syntax_family"": ""ne_with_parts_of_speech"", ""target_family"": ""ne_verb"", ""target_form"": ""не думает"", ""template_id"": ""syntax_training_ne_verb""}",Команда не думает о задержке. Позже комиссия вернула письмо.,nerus_news,nerus_lenta,False,False,033cea9392a8a7aea6095104,033cea9392a8a7aea609510437b91185569cd93bc40ff5337577c911ea9fcbd0,"[""split_join""]",nerus_news,False,True,news,ne_verb,"[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]",rule:ne_verb
Редактор незнает детали дела. Вечером автор уточнил срок.... позже редактор проверил запись меткаовхеа.,Редактор не знает детали дела. Вечером автор уточнил срок.... позже редактор проверил запись меткаовхеа.,train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""незнает"", ""replacement"": ""не знает"", ""edit_type"": ""split_word"", ""start"": 9, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""63ed2178795d5d057ffcb457"", ""clean_hash"": ""4ca786a0d77b11d237c73a56dc239cd2fc16ab705d2139fda8ed1b4d6a157fef"", ""edit_operations"": [{""confidence"": 0.35, ""edit_type"": ""split_word"", ""end"": 16, ""error_type"": ""split_join"", ""reason"": """", ""replacement"": ""не знает"", ""rule_id"": ""ne_verb"", ""source"": ""незнает"", ""start"": 9, ""status"": ""proposed""}], ""error_bearing_span"": [9, 16], ""error_form"": ""незнает"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Nerus Lenta annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""d31ef279f5d51d8de3b6acf6da9f983997211f6ab6ac6fef9eadc5d891d24d29"", ""original_clean_sentence"": ""Редактор не знает детали дела. Вечером автор уточнил срок.... позже редактор проверил запись меткаовхеа."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""4435"", ""source_doc_id"": ""374"", ""source_name"": ""nerus_news"", ""source_subcorpus"": ""nerus_lenta"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""syntax_family"": ""ne_with_parts_of_speech"", ""target_family"": ""ne_verb"", ""target_form"": ""не знает"", ""template_id"": ""syntax_training_ne_verb""}",Редактор не знает детали дела. Вечером автор уточнил срок.,nerus_news,nerus_lenta,False,False,a2414cb067365be2c8f5bf99,a2414cb067365be2c8f5bf99113189ec70215e3d063e5ad3c5d0fa6467e96f0d,"[""split_join""]",nerus_news,False,True,news,ne_verb,"[{""source"": ""незнает"", ""replacement"": ""не знает"", ""edit_type"": ""split_word"", ""start"": 9, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]",rule:ne_verb
Редактор незнает детали дела. Утром дежурный проверил подписи.... позже редактор проверил запись меткагохеа.,Редактор не знает детали дела. Утром дежурный проверил подписи.... позже редактор проверил запись меткагохеа.,train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""незнает"", ""replacement"": ""не знает"", ""edit_type"": ""split_word"", ""start"": 9, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""eaa8e2f2e9c0e5608804314e"", ""clean_hash"": ""ce25d5a276aa0cd8464c22732d52ea7d682fa5a59875e71ea74d90c8166e5415"", ""edit_operations"": [{""confidence"": 0.35, ""edit_type"": ""split_word"", ""end"": 16, ""error_type"": ""split_join"", ""reason"": """", ""replacement"": ""не знает"", ""rule_id"": ""ne_verb"", ""source"": ""незнает"", ""start"": 9, ""status"": ""proposed""}], ""error_bearing_span"": [9, 16], ""error_form"": ""незнает"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Nerus Lenta annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""a689fd3394533724b1f39be67539e3e9c68cf9910270d7adfe611ce38da81999"", ""original_clean_sentence"": ""Редактор не знает детали дела. Утром дежурный проверил подписи.... позже редактор проверил запись меткагохеа."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""4917"", ""source_doc_id"": ""414"", ""source_name"": ""nerus_news"", ""source_subcorpus"": ""nerus_lenta"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""syntax_family"": ""ne_with_parts_of_speech"", ""target_family"": ""ne_verb"", ""target_form"": ""не знает"", ""template_id"": ""syntax_training_ne_verb""}",Редактор не знает детали дела. Утром дежурный проверил подписи.,nerus_news,nerus_lenta,False,False,d2fb5ea13e15183e31689564,d2fb5ea13e15183e31689564de4464223cc1fab4e8c01f954165ec0f1aba642a,"[""split_join""]",nerus_news,False,True,news,ne_verb,"[{""source"": ""незнает"", ""replacement"": ""не знает"", ""edit_type"": ""split_word"", ""start"": 9, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]",rule:ne_verb
Команда недумает о задержке. Вечером секретарь закрыл журнал.... позже редактор проверил запись меткаутхеа.,Команда не думает о задержке. Вечером секретарь закрыл журнал.... позже редактор проверил запись меткаутхеа.,train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""c633d50169221fb88ea1c3b2"", ""clean_hash"": ""bf8e37f4f2e3fd638cbc318163342d00c79dac1fa6b27935d05913f380708989"", ""edit_operations"": [{""confidence"": 0.35, ""edit_type"": ""split_word"", ""end"": 16, ""error_type"": ""split_join"", ""reason"": """", ""replacement"": ""не думает"", ""rule_id"": ""ne_verb"", ""source"": ""недумает"", ""start"": 8, ""status"": ""proposed""}], ""error_bearing_span"": [8, 16], ""error_form"": ""недумает"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Nerus Lenta annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""f0acbe6244a0ac0795858d0f824fa0ba3c5b7667fa7be591511b3f0c013737f7"", ""original_clean_sentence"": ""Команда не думает о задержке. Вечером секретарь закрыл журнал.... позже редактор проверил запись меткаутхеа."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""5103"", ""source_doc_id"": ""432"", ""source_name"": ""nerus_news"", ""source_subcorpus"": ""nerus_lenta"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""syntax_family"": ""ne_with_parts_of_speech"", ""target_family"": ""ne_verb"", ""target_form"": ""не думает"", ""template_id"": ""syntax_training_ne_verb""}",Команда не думает о задержке. Вечером секретарь закрыл журнал.,nerus_news,nerus_lenta,False,False,7ad390dcc10d8413471b49ba,7ad390dcc10d8413471b49ba25de1efbb96a5ebc8d899b7def1dd0a10cc1b2fd,"[""split_join""]",nerus_news,False,True,news,ne_verb,"[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]",rule:ne_verb
Редактор незнает детали дела. Утром курьер принес копию.... позже редактор проверил запись меткаэфхеа.,Редактор не знает детали дела. Утром курьер принес копию.... позже редактор проверил запись меткаэфхеа.,train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""незнает"", ""replacement"": ""не знает"", ""edit_type"": ""split_word"", ""start"": 9, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""48f0d178f2a85d779d233c6e"", ""clean_hash"": ""de1c90870395c7d0ad9d332cd90b634875c8e97ee09694f2e15e353f9a4e0643"", ""edit_operations"": [{""confidence"": 0.35, ""edit_type"": ""split_word"", ""end"": 16, ""error_type"": ""split_join"", ""reason"": """", ""replacement"": ""не знает"", ""rule_id"": ""ne_verb"", ""source"": ""незнает"", ""start"": 9, ""status"": ""proposed""}], ""error_bearing_span"": [9, 16], ""error_form"": ""незнает"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Nerus Lenta annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""ca8ac7e428ee4e6a9ed8a4de32b524eaf65dc13f9aee7fa6d7d41d8e5911bffe"", ""original_clean_sentence"": ""Редактор не знает детали дела. Утром курьер принес копию.... позже редактор проверил запись меткаэфхеа."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""5208"", ""source_doc_id"": ""441"", ""source_name"": ""nerus_news"", ""source_subcorpus"": ""nerus_lenta"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""syntax_family"": ""ne_with_parts_of_speech"", ""target_family"": ""ne_verb"", ""target_form"": ""не знает"", ""template_id"": ""syntax_training_ne_verb""}",Редактор не знает детали дела. Утром курьер принес копию.,nerus_news,nerus_lenta,False,False,9e7ab4b4760335a2ff3164ee,9e7ab4b4760335a2ff3164ee4f6666561aa893d94ab5132b944f0f07cea06559,"[""split_join""]",nerus_news,False,True,news,ne_verb,"[{""source"": ""незнает"", ""replacement"": ""не знает"", ""edit_type"": ""split_word"", ""start"": 9, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]",rule:ne_verb
Команда недумает о задержке. После встречи файл остался в архиве.... позже редактор проверил запись меткауехеа.,Команда не думает о задержке. После встречи файл остался в архиве.... позже редактор проверил запись меткауехеа.,train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""51b87c009cd4eaf5dcc27282"", ""clean_hash"": ""72bed9ea865b8bd6705ba41a2850ed3807e848573f4563350b85149d49e825f1"", ""edit_operations"": [{""confidence"": 0.35, ""edit_type"": ""split_word"", ""end"": 16, ""error_type"": ""split_join"", ""reason"": """", ""replacement"": ""не думает"", ""rule_id"": ""ne_verb"", ""source"": ""недумает"", ""start"": 8, ""status"": ""proposed""}], ""error_bearing_span"": [8, 16], ""error_form"": ""недумает"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Nerus Lenta annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""52599044e5a0d204136f62c5375e5fc7ef4c19e93c64d32dee4718910cbde36a"", ""original_clean_sentence"": ""Команда не думает о задержке. После встречи файл остался в архиве.... позже редактор проверил запись меткауехеа."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""4605"", ""source_doc_id"": ""388"", ""source_name"": ""nerus_news"", ""source_subcorpus"": ""nerus_lenta"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""syntax_family"": ""ne_with_parts_of_speech"", ""target_family"": ""ne_verb"", ""target_form"": ""не думает"", ""template_id"": ""syntax_training_ne_verb""}",Команда не думает о задержке. После встречи файл остался в архиве.,nerus_news,nerus_lenta,False,False,afbc0fdb6ab8f167340621d2,afbc0fdb6ab8f167340621d227427e05a16810db57870b4449b2a4b788e79a09,"[""split_join""]",nerus_news,False,True,news,ne_verb,"[{""source"": ""недумает"", ""replacement"": ""не думает"", ""edit_type"": ""split_word"", ""start"": 8, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]",rule:ne_verb
Редактор незнает детали дела. Затем специалист отправил ответ.... позже редактор проверил запись меткатмхеа.,Редактор не знает детали дела. Затем специалист отправил ответ.... позже редактор проверил запись меткатмхеа.,train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""незнает"", ""replacement"": ""не знает"", ""edit_type"": ""split_word"", ""start"": 9, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""fbfb9bf2e2dfc339743eca55"", ""clean_hash"": ""f4850c5e5aff7bad3c477678bfddc0def28271e0be68ae03dcc5e9f8ad27ed9e"", ""edit_operations"": [{""confidence"": 0.35, ""edit_type"": ""split_word"", ""end"": 16, ""error_type"": ""split_join"", ""reason"": """", ""replacement"": ""не знает"", ""rule_id"": ""ne_verb"", ""source"": ""незнает"", ""start"": 9, ""status"": ""proposed""}], ""error_bearing_span"": [9, 16], ""error_form"": ""незнает"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Nerus Lenta annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""9aee958371af69c7d23c38872c785f1d6e089a3ae77e2fa62bb1a92c99e2f80b"", ""original_clean_sentence"": ""Редактор не знает детали дела. Затем специалист отправил ответ.... позже редактор проверил запись меткатмхеа."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""4859"", ""source_doc_id"": ""409"", ""source_name"": ""nerus_news"", ""source_subcorpus"": ""nerus_lenta"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""syntax_family"": ""ne_with_parts_of_speech"", ""target_family"": ""ne_verb"", ""target_form"": ""не знает"", ""template_id"": ""syntax_training_ne_verb""}",Редактор не знает детали дела. Затем специалист отправил ответ.,nerus_news,nerus_lenta,False,False,23fcc18f22fc1257945ae5eb,23fcc18f22fc1257945ae5eb7a63b24063699305e74824c3e6572eddb39be3a3,"[""split_join""]",nerus_news,False,True,news,ne_verb,"[{""source"": ""незнает"", ""replacement"": ""не знает"", ""edit_type"": ""split_word"", ""start"": 9, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]",rule:ne_verb
Редактор незнает детали дела. Затем комиссия перенесла встречу.... позже редактор проверил запись меткаэнцеа.,Редактор не знает детали дела. Затем комиссия перенесла встречу.... позже редактор проверил запись меткаэнцеа.,train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""незнает"", ""replacement"": ""не знает"", ""edit_type"": ""split_word"", ""start"": 9, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""c739eb119cf384998f0e195d"", ""clean_hash"": ""457c4af30474051ef41e35f669908fc9990685871c33c7c4a5c18eb99aa8d6e8"", ""edit_operations"": [{""confidence"": 0.35, ""edit_type"": ""split_word"", ""end"": 16, ""error_type"": ""split_join"", ""reason"": """", ""replacement"": ""не знает"", ""rule_id"": ""ne_verb"", ""source"": ""незнает"", ""start"": 9, ""status"": ""proposed""}], ""error_bearing_span"": [9, 16], ""error_form"": ""незнает"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Nerus Lenta annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""22321634e6baebf424d79db3bce30f9dfa5a5934ecf2dbe930627c0f3bac0334"", ""original_clean_sentence"": ""Редактор не знает детали дела. Затем комиссия перенесла встречу.... позже редактор проверил запись меткаэнцеа."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""6137"", ""source_doc_id"": ""525"", ""source_name"": ""nerus_news"", ""source_subcorpus"": ""nerus_lenta"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""syntax_family"": ""ne_with_parts_of_speech"", ""target_family"": ""ne_verb"", ""target_form"": ""не знает"", ""template_id"": ""syntax_training_ne_verb""}",Редактор не знает детали дела. Затем комиссия перенесла встречу.,nerus_news,nerus_lenta,False,False,8421bd9de6d185b03dd096ef,8421bd9de6d185b03dd096efe886de14b9506bdbb3a08cc036ca1a9bb5604dac,"[""split_join""]",nerus_news,False,True,news,ne_verb,"[{""source"": ""незнает"", ""replacement"": ""не знает"", ""edit_type"": ""split_word"", ""start"": 9, ""end"": 16, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb"", ""error_type"": ""split_join""}]",rule:ne_verb
"Прошу неискать какой-то политической подоплеки в этом моменте», — добавил футболист.","Прошу не искать какой-то политической подоплеки в этом моменте», — добавил футболист.",train,synthetic_augmented_from_open_clean,split_join,"[""ne_verb""]","[{""source"": ""неискать"", ""replacement"": ""не искать"", ""edit_type"": ""split_word"", ""start"": 6, ""end"": 14, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb""}]","{""candidate_present"": true, ""candidate_rule_ids"": [""ne_verb""], ""carrier_sentence_hash"": ""b0b5ea58da200aa986ef6a4c"", ""clean_hash"": ""efc67ffde323585878e1955c5c686f8756c6e08ef64d926d8d57693544c24f6c"", ""error_bearing_span"": [6, 14], ""error_form"": ""неискать"", ""generation_strategy"": ""corpus_opportunity"", ""license_status"": ""Nerus Lenta annotated corpus; verify terms before production."", ""normalized_pair_hash"": ""e2a4655ec33484876674052ce0b8c65d654114669a4c87f9c439f41bb33ecafb"", ""original_clean_sentence"": ""Прошу не искать какой-то политической подоплеки в этом моменте», — добавил футболист."", ""rule_ids"": [""ne_verb""], ""sentence_id"": ""178033"", ""source_doc_id"": ""14996"", ""source_name"": ""nerus_news"", ""source_subcorpus"": ""nerus_lenta"", ""source_type"": ""synthetic_augmented_from_open_clean"", ""synthetic_source_dataset"": ""synthetic_open_corpus_ne_verb"", ""target_family"": ""ne_verb"", ""target_form"": ""не искать""}","Прошу не искать какой-то политической подоплеки в этом моменте», — добавил футболист.",nerus_news,nerus_lenta,False,False,e2a4655ec33484876674052c,e2a4655ec33484876674052ce0b8c65d654114669a4c87f9c439f41bb33ecafb,"[""split_join""]",nerus_news,False,True,news,ne_verb,"[{""source"": ""неискать"", ""replacement"": ""не искать"", ""edit_type"": ""split_word"", ""start"": 6, ""end"": 14, ""status"": ""proposed"", ""reason"": """", ""confidence"": 0.35, ""rule_id"": ""ne_verb""}]",rule:ne_verb
