row_id,source,target,split,rule_id,error_type,source_dataset,is_clean,is_hard_negative
0,Иван открой городская служба. Позже редактор сверил список.,"Иван, открой городская служба. Позже редактор сверил список.",test,address_comma,punctuation,lenta_news,False,False
1,Иван открой городская служба. Позже редактор сверил список.,"Иван, открой городская служба. Позже редактор сверил список.",test,address_comma,punctuation,lenta_news,False,False
2,Иван открой городская служба. Позже редактор сверил список.,"Иван, открой городская служба. Позже редактор сверил список.",test,address_comma,punctuation,lenta_news,False,False
3,Иван открой городская служба. Позже редактор сверил список.,"Иван, открой городская служба. Позже редактор сверил список.",test,address_comma,punctuation,lenta_news,False,False
4,Иван открой городская служба. Позже редактор сверил список.,"Иван, открой городская служба. Позже редактор сверил список.",test,address_comma,punctuation,lenta_news,False,False
5,Иван открой городская служба. Позже редактор сверил список.,"Иван, открой городская служба. Позже редактор сверил список.",test,address_comma,punctuation,lenta_news,False,False
6,Иван открой длинная запись. Вечером секретарь отправил письмо.,"Иван, открой длинная запись. Вечером секретарь отправил письмо.",test,address_comma,punctuation,lenta_news,False,False
7,Иван открой длинная запись. Вечером секретарь отправил письмо.,"Иван, открой длинная запись. Вечером секретарь отправил письмо.",test,address_comma,punctuation,lenta_news,False,False
8,Иван открой длинная запись. Вечером секретарь отправил письмо.,"Иван, открой длинная запись. Вечером секретарь отправил письмо.",test,address_comma,punctuation,lenta_news,False,False
9,Иван открой длинная запись. Вечером секретарь отправил письмо.,"Иван, открой длинная запись. Вечером секретарь отправил письмо.",test,address_comma,punctuation,lenta_news,False,False
10,Иван открой длинная запись. Вечером секретарь отправил письмо.,"Иван, открой длинная запись. Вечером секретарь отправил письмо.",test,address_comma,punctuation,lenta_news,False,False
11,Иван открой подробная справка. Позже служба проверила запись.,"Иван, открой подробная справка. Позже служба проверила запись.",test,address_comma,punctuation,lenta_news,False,False
12,Иван открой подробная справка. Позже служба проверила запись.,"Иван, открой подробная справка. Позже служба проверила запись.",test,address_comma,punctuation,lenta_news,False,False
13,Иван открой подробная справка. Позже служба проверила запись.,"Иван, открой подробная справка. Позже служба проверила запись.",test,address_comma,punctuation,lenta_news,False,False
14,Иван открой подробная справка. Позже служба проверила запись.,"Иван, открой подробная справка. Позже служба проверила запись.",test,address_comma,punctuation,lenta_news,False,False
15,Иван открой подробная справка. Позже служба проверила запись.,"Иван, открой подробная справка. Позже служба проверила запись.",test,address_comma,punctuation,lenta_news,False,False
16,Иван открой подробная справка. Позже служба проверила запись.,"Иван, открой подробная справка. Позже служба проверила запись.",test,address_comma,punctuation,lenta_news,False,False
17,Иван отправь важный договор. Утром редактор принял отчет.,"Иван, отправь важный договор. Утром редактор принял отчет.",test,address_comma,punctuation,lenta_news,False,False
18,Иван отправь важный договор. Утром редактор принял отчет.,"Иван, отправь важный договор. Утром редактор принял отчет.",test,address_comma,punctuation,lenta_news,False,False
19,Иван отправь важный договор. Утром редактор принял отчет.,"Иван, отправь важный договор. Утром редактор принял отчет.",test,address_comma,punctuation,lenta_news,False,False
20,Иван отправь важный договор. Утром редактор принял отчет.,"Иван, отправь важный договор. Утром редактор принял отчет.",test,address_comma,punctuation,lenta_news,False,False
21,Иван отправь важный договор. Утром редактор принял отчет.,"Иван, отправь важный договор. Утром редактор принял отчет.",test,address_comma,punctuation,lenta_news,False,False
22,Иван отправь важный договор. Утром редактор принял отчет.,"Иван, отправь важный договор. Утром редактор принял отчет.",test,address_comma,punctuation,lenta_news,False,False
23,Иван отправь важный договор. Утром редактор принял отчет.,"Иван, отправь важный договор. Утром редактор принял отчет.",test,address_comma,punctuation,lenta_news,False,False
24,Иван отправь открытая заявка. Позже комиссия сохранила решение.,"Иван, отправь открытая заявка. Позже комиссия сохранила решение.",test,address_comma,punctuation,lenta_news,False,False
25,Иван отправь открытая заявка. Позже комиссия сохранила решение.,"Иван, отправь открытая заявка. Позже комиссия сохранила решение.",test,address_comma,punctuation,lenta_news,False,False
26,Иван отправь открытая заявка. Позже комиссия сохранила решение.,"Иван, отправь открытая заявка. Позже комиссия сохранила решение.",test,address_comma,punctuation,lenta_news,False,False
27,Иван отправь открытая заявка. Позже комиссия сохранила решение.,"Иван, отправь открытая заявка. Позже комиссия сохранила решение.",test,address_comma,punctuation,lenta_news,False,False
28,Иван отправь открытая заявка. Позже комиссия сохранила решение.,"Иван, отправь открытая заявка. Позже комиссия сохранила решение.",test,address_comma,punctuation,lenta_news,False,False
29,Иван отправь открытая заявка. Позже комиссия сохранила решение.,"Иван, отправь открытая заявка. Позже комиссия сохранила решение.",test,address_comma,punctuation,lenta_news,False,False
30,Иван отправь утренний приказ. Вечером редактор открыл протокол.,"Иван, отправь утренний приказ. Вечером редактор открыл протокол.",test,address_comma,punctuation,lenta_news,False,False
31,Иван отправь утренний приказ. Вечером редактор открыл протокол.,"Иван, отправь утренний приказ. Вечером редактор открыл протокол.",test,address_comma,punctuation,lenta_news,False,False
32,Иван отправь утренний приказ. Вечером редактор открыл протокол.,"Иван, отправь утренний приказ. Вечером редактор открыл протокол.",test,address_comma,punctuation,lenta_news,False,False
33,Иван отправь утренний приказ. Вечером редактор открыл протокол.,"Иван, отправь утренний приказ. Вечером редактор открыл протокол.",test,address_comma,punctuation,lenta_news,False,False
34,Иван отправь утренний приказ. Вечером редактор открыл протокол.,"Иван, отправь утренний приказ. Вечером редактор открыл протокол.",test,address_comma,punctuation,lenta_news,False,False
35,Иван отправь утренний приказ. Вечером редактор открыл протокол.,"Иван, отправь утренний приказ. Вечером редактор открыл протокол.",test,address_comma,punctuation,lenta_news,False,False
36,Коллеги исправим свежая сводка. Утром отдел отправил договор.,"Коллеги, исправим свежая сводка. Утром отдел отправил договор.",test,address_comma,punctuation,lenta_news,False,False
37,Коллеги исправим свежая сводка. Утром отдел отправил договор.,"Коллеги, исправим свежая сводка. Утром отдел отправил договор.",test,address_comma,punctuation,lenta_news,False,False
38,Коллеги исправим свежая сводка. Утром отдел отправил договор.,"Коллеги, исправим свежая сводка. Утром отдел отправил договор.",test,address_comma,punctuation,lenta_news,False,False
39,Коллеги исправим свежая сводка. Утром отдел отправил договор.,"Коллеги, исправим свежая сводка. Утром отдел отправил договор.",test,address_comma,punctuation,lenta_news,False,False
40,Коллеги исправим свежая сводка. Утром отдел отправил договор.,"Коллеги, исправим свежая сводка. Утром отдел отправил договор.",test,address_comma,punctuation,lenta_news,False,False
41,Коллеги исправим свежая сводка. Утром отдел отправил договор.,"Коллеги, исправим свежая сводка. Утром отдел отправил договор.",test,address_comma,punctuation,lenta_news,False,False
42,Коллеги исправим согласованный договор. Затем эксперт согласовал список.,"Коллеги, исправим согласованный договор. Затем эксперт согласовал список.",test,address_comma,punctuation,lenta_news,False,False
43,Коллеги исправим согласованный договор. Затем эксперт согласовал список.,"Коллеги, исправим согласованный договор. Затем эксперт согласовал список.",test,address_comma,punctuation,lenta_news,False,False
44,Коллеги исправим согласованный договор. Затем эксперт согласовал список.,"Коллеги, исправим согласованный договор. Затем эксперт согласовал список.",test,address_comma,punctuation,lenta_news,False,False
45,Коллеги исправим согласованный договор. Затем эксперт согласовал список.,"Коллеги, исправим согласованный договор. Затем эксперт согласовал список.",test,address_comma,punctuation,lenta_news,False,False
46,Коллеги исправим согласованный договор. Затем эксперт согласовал список.,"Коллеги, исправим согласованный договор. Затем эксперт согласовал список.",test,address_comma,punctuation,lenta_news,False,False
47,Коллеги исправим согласованный договор. Затем эксперт согласовал список.,"Коллеги, исправим согласованный договор. Затем эксперт согласовал список.",test,address_comma,punctuation,lenta_news,False,False
48,Коллеги проверим закрытая заявка. Вечером юрист сверил договор.,"Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.",test,address_comma,punctuation,lenta_news,False,False
49,Коллеги проверим закрытая заявка. Вечером юрист сверил договор.,"Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.",test,address_comma,punctuation,lenta_news,False,False
50,Коллеги проверим закрытая заявка. Вечером юрист сверил договор.,"Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.",test,address_comma,punctuation,lenta_news,False,False
51,Коллеги проверим закрытая заявка. Вечером юрист сверил договор.,"Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.",test,address_comma,punctuation,lenta_news,False,False
52,Коллеги проверим закрытая заявка. Вечером юрист сверил договор.,"Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.",test,address_comma,punctuation,lenta_news,False,False
53,Коллеги проверим закрытая заявка. Вечером юрист сверил договор.,"Коллеги, проверим закрытая заявка. Вечером юрист сверил договор.",test,address_comma,punctuation,lenta_news,False,False
54,Коллеги проверим короткая заметка. Утром группа закрыла протокол.,"Коллеги, проверим короткая заметка. Утром группа закрыла протокол.",test,address_comma,punctuation,lenta_news,False,False
55,Коллеги проверим короткая заметка. Утром группа закрыла протокол.,"Коллеги, проверим короткая заметка. Утром группа закрыла протокол.",test,address_comma,punctuation,lenta_news,False,False
56,Коллеги проверим короткая заметка. Утром группа закрыла протокол.,"Коллеги, проверим короткая заметка. Утром группа закрыла протокол.",test,address_comma,punctuation,lenta_news,False,False
57,Коллеги проверим короткая заметка. Утром группа закрыла протокол.,"Коллеги, проверим короткая заметка. Утром группа закрыла протокол.",test,address_comma,punctuation,lenta_news,False,False
58,Коллеги проверим короткая заметка. Утром группа закрыла протокол.,"Коллеги, проверим короткая заметка. Утром группа закрыла протокол.",test,address_comma,punctuation,lenta_news,False,False
59,Коллеги проверим короткая заметка. Утром группа закрыла протокол.,"Коллеги, проверим короткая заметка. Утром группа закрыла протокол.",test,address_comma,punctuation,lenta_news,False,False
60,Коллеги проверим новая редакция. Затем отдел сохранил журнал.,"Коллеги, проверим новая редакция. Затем отдел сохранил журнал.",test,address_comma,punctuation,lenta_news,False,False
61,Коллеги проверим новая редакция. Затем отдел сохранил журнал.,"Коллеги, проверим новая редакция. Затем отдел сохранил журнал.",test,address_comma,punctuation,lenta_news,False,False
62,Коллеги проверим новая редакция. Затем отдел сохранил журнал.,"Коллеги, проверим новая редакция. Затем отдел сохранил журнал.",test,address_comma,punctuation,lenta_news,False,False
63,Коллеги проверим новая редакция. Затем отдел сохранил журнал.,"Коллеги, проверим новая редакция. Затем отдел сохранил журнал.",test,address_comma,punctuation,lenta_news,False,False
64,Коллеги проверим новая редакция. Затем отдел сохранил журнал.,"Коллеги, проверим новая редакция. Затем отдел сохранил журнал.",test,address_comma,punctuation,lenta_news,False,False
65,Коллеги проверим новая редакция. Затем отдел сохранил журнал.,"Коллеги, проверим новая редакция. Затем отдел сохранил журнал.",test,address_comma,punctuation,lenta_news,False,False
66,Коллеги проверим плановая встреча. Утром редакция выпустила заметку.,"Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.",test,address_comma,punctuation,lenta_news,False,False
67,Коллеги проверим плановая встреча. Утром редакция выпустила заметку.,"Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.",test,address_comma,punctuation,lenta_news,False,False
68,Коллеги проверим плановая встреча. Утром редакция выпустила заметку.,"Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.",test,address_comma,punctuation,lenta_news,False,False
69,Коллеги проверим плановая встреча. Утром редакция выпустила заметку.,"Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.",test,address_comma,punctuation,lenta_news,False,False
70,Коллеги проверим плановая встреча. Утром редакция выпустила заметку.,"Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.",test,address_comma,punctuation,lenta_news,False,False
71,Коллеги проверим плановая встреча. Утром редакция выпустила заметку.,"Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.",test,address_comma,punctuation,lenta_news,False,False
72,Коллеги проверим плановая встреча. Утром редакция выпустила заметку.,"Коллеги, проверим плановая встреча. Утром редакция выпустила заметку.",test,address_comma,punctuation,lenta_news,False,False
73,Мария посмотри вечерний протокол. Затем группа проверила договор.,"Мария, посмотри вечерний протокол. Затем группа проверила договор.",test,address_comma,punctuation,lenta_news,False,False
74,Мария посмотри вечерний протокол. Затем группа проверила договор.,"Мария, посмотри вечерний протокол. Затем группа проверила договор.",test,address_comma,punctuation,lenta_news,False,False
75,Мария посмотри вечерний протокол. Затем группа проверила договор.,"Мария, посмотри вечерний протокол. Затем группа проверила договор.",test,address_comma,punctuation,lenta_news,False,False
76,Мария посмотри вечерний протокол. Затем группа проверила договор.,"Мария, посмотри вечерний протокол. Затем группа проверила договор.",test,address_comma,punctuation,lenta_news,False,False
77,Мария посмотри вечерний протокол. Затем группа проверила договор.,"Мария, посмотри вечерний протокол. Затем группа проверила договор.",test,address_comma,punctuation,lenta_news,False,False
78,Мария посмотри вечерний протокол. Затем группа проверила договор.,"Мария, посмотри вечерний протокол. Затем группа проверила договор.",test,address_comma,punctuation,lenta_news,False,False
79,Мария посмотри закрытая заявка. Вечером координатор открыл список.,"Мария, посмотри закрытая заявка. Вечером координатор открыл список.",test,address_comma,punctuation,lenta_news,False,False
80,Мария посмотри закрытая заявка. Вечером координатор открыл список.,"Мария, посмотри закрытая заявка. Вечером координатор открыл список.",test,address_comma,punctuation,lenta_news,False,False
81,Мария посмотри закрытая заявка. Вечером координатор открыл список.,"Мария, посмотри закрытая заявка. Вечером координатор открыл список.",test,address_comma,punctuation,lenta_news,False,False
82,Мария посмотри закрытая заявка. Вечером координатор открыл список.,"Мария, посмотри закрытая заявка. Вечером координатор открыл список.",test,address_comma,punctuation,lenta_news,False,False
83,Мария посмотри закрытая заявка. Вечером координатор открыл список.,"Мария, посмотри закрытая заявка. Вечером координатор открыл список.",test,address_comma,punctuation,lenta_news,False,False
84,Мария посмотри закрытая заявка. Вечером координатор открыл список.,"Мария, посмотри закрытая заявка. Вечером координатор открыл список.",test,address_comma,punctuation,lenta_news,False,False
85,Мария посмотри закрытая заявка. Вечером координатор открыл список.,"Мария, посмотри закрытая заявка. Вечером координатор открыл список.",test,address_comma,punctuation,lenta_news,False,False
86,Мария посмотри новая редакция. Затем редакция согласовала выпуск.,"Мария, посмотри новая редакция. Затем редакция согласовала выпуск.",test,address_comma,punctuation,lenta_news,False,False
87,Мария посмотри новая редакция. Затем редакция согласовала выпуск.,"Мария, посмотри новая редакция. Затем редакция согласовала выпуск.",test,address_comma,punctuation,lenta_news,False,False
88,Мария посмотри новая редакция. Затем редакция согласовала выпуск.,"Мария, посмотри новая редакция. Затем редакция согласовала выпуск.",test,address_comma,punctuation,lenta_news,False,False
89,Мария посмотри новая редакция. Затем редакция согласовала выпуск.,"Мария, посмотри новая редакция. Затем редакция согласовала выпуск.",test,address_comma,punctuation,lenta_news,False,False
90,Мария посмотри новая редакция. Затем редакция согласовала выпуск.,"Мария, посмотри новая редакция. Затем редакция согласовала выпуск.",test,address_comma,punctuation,lenta_news,False,False
91,Мария посмотри новая редакция. Затем редакция согласовала выпуск.,"Мария, посмотри новая редакция. Затем редакция согласовала выпуск.",test,address_comma,punctuation,lenta_news,False,False
92,Мария посмотри точный план. После обеда комиссия уточнила вывод.,"Мария, посмотри точный план. После обеда комиссия уточнила вывод.",test,address_comma,punctuation,lenta_news,False,False
93,Мария посмотри точный план. После обеда комиссия уточнила вывод.,"Мария, посмотри точный план. После обеда комиссия уточнила вывод.",test,address_comma,punctuation,lenta_news,False,False
94,Мария посмотри точный план. После обеда комиссия уточнила вывод.,"Мария, посмотри точный план. После обеда комиссия уточнила вывод.",test,address_comma,punctuation,lenta_news,False,False
