taxonomy_key,domain,rule_id,training_decision,training_reason,activation_stage,production_ready,training_candidate,include,include_in_training,activation_exclusion_reason,has_candidate_path,has_synthetic_support,has_hard_negative_support,has_validator_support,requires,validator_probe_status,validator_probe_reason,validator_probe_passed_examples,validator_probe_example_count
orthography_3_4_2_1,orthography,hyphen_koe_koy,INCLUDE_NOW,"candidate, synthetic, hard-negative, and validator gates are available",production_ready,True,True,True,True,policy_decision_included,True,True,True,True,"[""model""]",,,0,0
orthography_3_4_2_2,orthography,hyphen_particles,INCLUDE_NOW,"candidate, synthetic, hard-negative, and validator gates are available",production_ready,True,True,True,True,policy_decision_included,True,True,True,True,"[""model""]",,,0,0
orthography_3_11,orthography,hyphen_whitelist,INCLUDE_NOW,"candidate, synthetic, hard-negative, and validator gates are available",production_ready,True,True,True,True,policy_decision_included,True,True,True,True,"[""dictionary"", ""model""]",,,0,0
punctuation_2_1_2,punctuation,subject_predicate_dash,INCLUDE_NOW,"candidate, synthetic, hard-negative, and validator gates are available",production_ready,True,True,True,True,policy_decision_included,True,True,True,True,"[""model"", ""syntax""]",,,0,0
punctuation_4_2,punctuation,homogeneous_comma,INCLUDE_NOW,"candidate, synthetic, hard-negative, and validator gates are available",production_ready,True,True,True,True,policy_decision_included,True,True,True,True,"[""model"", ""syntax""]",,,0,0
punctuation_5_4_1,punctuation,detached_adverbial_comma,INCLUDE_NOW,"candidate, synthetic, hard-negative, and validator gates are available",production_ready,True,True,True,True,policy_decision_included,True,True,True,True,"[""model"", ""syntax""]",,,0,0
punctuation_5_8_1,punctuation,comparative_turnover_comma,INCLUDE_NOW,"candidate, synthetic, hard-negative, and validator gates are available",production_ready,True,True,True,True,policy_decision_included,True,True,True,True,"[""model"", ""syntax""]",,,0,0
punctuation_6_1_1,punctuation,introductory_comma,INCLUDE_NOW,"candidate, synthetic, hard-negative, and validator gates are available",production_ready,True,True,True,True,policy_decision_included,True,True,True,True,"[""model"", ""syntax""]",,,0,0
punctuation_6_2_1,punctuation,address_comma,INCLUDE_NOW,"candidate, synthetic, hard-negative, and validator gates are available",production_ready,True,True,True,True,policy_decision_included,True,True,True,True,"[""model"", ""syntax""]",,,0,0
punctuation_7_1_1,punctuation,comma_conjunction,INCLUDE_NOW,"candidate, synthetic, hard-negative, and validator gates are available",production_ready,True,True,True,True,policy_decision_included,True,True,True,True,"[""model"", ""syntax""]",,,0,0
punctuation_7_2_1,punctuation,comma_subordinate,INCLUDE_NOW,"candidate, synthetic, hard-negative, and validator gates are available",production_ready,True,True,True,True,policy_decision_included,True,True,True,True,"[""model"", ""syntax""]",,,0,0
punctuation_8_1_2,punctuation,direct_speech_dash,INCLUDE_NOW,"candidate, synthetic, hard-negative, and validator gates are available",production_ready,True,True,True,True,policy_decision_included,True,True,True,True,"[""model"", ""syntax""]",,,0,0
