rule_id,status,target_min_total,preferred_total,final_total,train_count,val_count,test_count,source,action,reason
address_comma,active,500,1000,2341,1884,229,228,targeted/backfill,backfilled,
comma_conjunction,active,500,1000,2338,1867,237,234,targeted/backfill,backfilled,
comma_subordinate,active,500,1000,2344,1857,260,227,targeted/backfill,backfilled,
comparative_turnover_comma,active,500,1000,2340,1879,229,232,targeted/backfill,backfilled,
context_chto_by,active,300,700,2016,1549,244,223,targeted/backfill,backfilled,no_existing_candidate_backed_pattern
context_nesmotrya,active,300,700,1838,1385,236,217,targeted/backfill,backfilled,no_existing_candidate_backed_pattern
context_tak_zhe,active,300,700,1843,1387,240,216,targeted/backfill,backfilled,no_existing_candidate_backed_pattern
context_to_zhe,active,300,700,1846,1355,242,249,targeted/backfill,backfilled,no_existing_candidate_backed_pattern
context_vsledstvie,active,300,700,1842,1349,237,256,targeted/backfill,backfilled,no_existing_candidate_backed_pattern
context_za_to,active,300,700,1847,1353,268,226,targeted/backfill,backfilled,no_existing_candidate_backed_pattern
cy_exception,active,300,700,2039,1583,243,213,targeted/backfill,backfilled,
detached_adverbial_comma,active,500,1000,2339,1896,237,206,targeted/backfill,backfilled,
dictionary_fuzzy,active,200,500,1200,1000,75,125,real/synthetic,ok,
direct_speech_colon,active,300,700,2009,1537,237,235,targeted/backfill,backfilled,no_existing_candidate_backed_pattern
direct_speech_dash,active,500,1000,2007,1539,263,205,targeted/backfill,backfilled,no_existing_candidate_backed_pattern
direct_speech_quotes,excluded,300,700,2009,1537,237,235,real/synthetic,excluded,no_existing_candidate_backed_pattern
double_consonant_candidate,active,200,500,1200,950,92,158,targeted/backfill,backfilled,
enumeration_colon,active,300,700,2008,1594,214,200,targeted/backfill,backfilled,no_existing_candidate_backed_pattern
explanation_colon,active,300,700,1837,1380,245,212,targeted/backfill,backfilled,no_existing_candidate_backed_pattern
extra_letter_candidate,active,200,500,1200,940,90,170,targeted/backfill,backfilled,
homogeneous_comma,active,500,1000,2342,1897,218,227,targeted/backfill,backfilled,
hyphen_koe_koy,active,500,1000,2343,1906,232,205,targeted/backfill,backfilled,
hyphen_particles,active,500,1000,2336,1920,190,226,targeted/backfill,backfilled,
hyphen_po_adverbs,active,300,700,2022,1521,272,229,targeted/backfill,backfilled,no_existing_candidate_backed_pattern
introductory_comma,active,500,1000,2337,1824,319,194,targeted/backfill,backfilled,
keyboard_typo_candidate,active,200,500,1200,992,54,154,targeted/backfill,backfilled,
missing_letter_candidate,active,200,500,1200,957,117,126,real/synthetic,ok,
n_nn_deverbal_adjective,active,300,700,1683,1266,205,212,targeted/backfill,backfilled,no_existing_candidate_backed_pattern
ne_adjective,active,300,700,2041,1602,228,211,targeted/backfill,backfilled,
ne_adverb,active,300,700,2042,1598,236,208,targeted/backfill,backfilled,
ne_participle,active,300,700,2038,1547,235,256,targeted/backfill,backfilled,
ni_stable_expression,active,300,700,1844,1391,243,210,targeted/backfill,backfilled,no_existing_candidate_backed_pattern
pattern_чю_чу,active,300,700,2082,1611,222,249,targeted/backfill,backfilled,
pattern_щю_щу,active,300,700,2044,1585,242,217,targeted/backfill,backfilled,
pol_polu_compounds,active,300,700,2011,1551,218,242,targeted/backfill,backfilled,no_existing_candidate_backed_pattern
subject_predicate_dash,active,500,1000,2346,1941,185,220,targeted/backfill,backfilled,
swapped_letters_candidate,active,200,500,1200,989,51,160,targeted/backfill,backfilled,
