rule_id,initial_verified,generated_corpus,generated_fallback,accepted_after_backfill,activated_after_backfill,status,reason
abbreviation_case_protection,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
address_comma,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
apposition_comma,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
asyndetic_dash,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
bracket_pair_balance,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
capitalization_sentence_start,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
clarification_comma,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
comma_conjunction,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
comma_subordinate,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
comparative_turnover_comma,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
consequence_dash,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
context_chto_by,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
context_nesmotrya,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
context_tak_zhe,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
context_to_zhe,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
context_vsledstvie,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
context_za_to,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
cy_exception,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
detached_adverbial_comma,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
detached_participial_comma,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
dictionary_fuzzy,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
direct_speech_colon,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
direct_speech_dash,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
direct_speech_quotes,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
double_consonant_candidate,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
enumeration_colon,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
enumeration_dash,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
explanation_colon,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
extra_letter_candidate,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
final_punctuation_default,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
frequent_error_exact,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
homogeneous_comma,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
hyphen_koe_koy,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
hyphen_particles,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
hyphen_po_adverbs,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
hyphen_whitelist,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
introductory_comma,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
keyboard_typo_candidate,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
missing_hard_sign,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
missing_letter_candidate,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
n_nn_adjective,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
n_nn_deverbal_adjective,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
n_nn_participle,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
n_nn_short_form,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
ne_adjective,0,0,0,0,False,not_applicable,canonical_operator_pipeline_generates_from_clean_pool
