rule_id,source,target,prediction,edit,reason,confidence
final_punctuation_default,"Недавно говорила с одним человеком на эту тему, и он мне поведал, что его родственники вобще не общаються друг с другом","Недавно говорила с одним человеком на эту тему, и он мне поведал, что его родственники вообще не общаются друг с другом.","Недавно говорила с одним человеком на эту тему, и он мне поведал, что его родственники вобще не общаються друг с другом.",final_punctuation@119:119: '' -> '.',trusted bounded candidate,0.9228515625
dictionary_fuzzy,"Обьехав таким образом две-три фермы, и заменив при этом пустые фляги на полные, грузовик наконец часам к 12 дня вьехал в долгожданное Сандово.","Объехав таким образом две-три фермы и заменив при этом пустые фляги на полные, грузовик наконец часам к 12 дня въехал в долгожданное Сандово.","Объехав таким образом две-три фермы, и заменив при этом пустые фляги на полные, грузовик наконец часам к 12 дня вьехал в долгожданное Сандово.",spelling_replace@0:7: 'Обьехав' -> 'Объехав',trusted bounded candidate,0.990234375
final_punctuation_default,"Слезяться глаза и плачет дождь,","Слезятся глаза, и плачет дождь.","Слезяться глаза и плачет дождь, .",final_punctuation@31:31: '' -> '.',trusted bounded candidate,0.921875
final_punctuation_default,"Я очень рада, что вам мои посты нравятся :)","Я очень рада, что вам мои посты нравятся.","Я очень рада, что вам мои посты нравятся:).",final_punctuation@43:43: '' -> '.',trusted bounded candidate,0.8505859375
dictionary_fuzzy,"А они соревнуються кто кого больше заденет, кто острее зацепит, у кого язык длинее.","А они соревнуются, кто кого больше заденет, кто острее зацепит, у кого язык длиннее.","А они соревнуется кто кого больше заденет, кто острее зацепит, у кого язык длинее.",spelling_replace@6:18: 'соревнуються' -> 'соревнуется',trusted bounded candidate,0.9599609375
capitalization_sentence_start,А потом … возможно будет всго лишь … Латвия.,"А потом... возможно, будет всего лишь... Латвия.",А потом … Возможно будет всго лишь … Латвия.,case_change@10:18: 'возможно' -> 'Возможно',trusted bounded candidate,0.99267578125
final_punctuation_default,"Я очень рада, что вам мои посты нравятся :)",Я очень рада что вам мои посты нравятся,"Я очень рада, что вам мои посты нравятся:).",final_punctuation@43:43: '' -> '.',trusted bounded candidate,0.8505859375
final_punctuation_default,"Недавно говорила с одним человеком на эту тему, и он мне поведал, что его родственники вобще не общаються друг с другом",Недавно говорила с одним человеком на эту тему и он мне поведал что его родственники вообще не общаются друг с другом,"Недавно говорила с одним человеком на эту тему, и он мне поведал, что его родственники вобще не общаються друг с другом.",final_punctuation@119:119: '' -> '.',trusted bounded candidate,0.9228515625
dictionary_fuzzy,"Обьехав таким образом две-три фермы, и заменив при этом пустые фляги на полные, грузовик наконец часам к 12 дня вьехал в долгожданное Сандово.",Объехав таким образом две-три фермы и заменив при этом пустые фляги на полные грузовик наконец часам к 12 дня въехал в долгожданное Сандово,"Объехав таким образом две-три фермы, и заменив при этом пустые фляги на полные, грузовик наконец часам к 12 дня вьехал в долгожданное Сандово.",spelling_replace@0:7: 'Обьехав' -> 'Объехав',trusted bounded candidate,0.990234375
final_punctuation_default,"Слезяться глаза и плачет дождь,",Слезятся глаза и плачет дождь,"Слезяться глаза и плачет дождь, .",final_punctuation@31:31: '' -> '.',trusted bounded candidate,0.921875
dictionary_fuzzy,"А они соревнуються кто кого больше заденет, кто острее зацепит, у кого язык длинее.","А они соревнуются кто кого больше заденет, кто острее зацепит, у кого язык длиннее.","А они соревнуется кто кого больше заденет, кто острее зацепит, у кого язык длинее.",spelling_replace@6:18: 'соревнуються' -> 'соревнуется',trusted bounded candidate,0.9599609375
capitalization_sentence_start,А потом … возможно будет всго лишь … Латвия.,"А потом … возможно, будет всего лишь … Латвия.",А потом … Возможно будет всго лишь … Латвия.,case_change@10:18: 'возможно' -> 'Возможно',trusted bounded candidate,0.99267578125
final_punctuation_default,"Нетрудоспособность, со слов с 08.02.2014г","Нетрудоспособность, со слов с 08.02.2014 г.","Нетрудоспособность, со слов с 08.02.2014г.",final_punctuation@41:41: '' -> '.',trusted bounded candidate,0.7939453125
final_punctuation_default,Служил в армии в авиации,"Служил в армии, в авиации.",Служил в армии в авиации.,final_punctuation@24:24: '' -> '.',trusted bounded candidate,0.98681640625
final_punctuation_default,"Нетрудоспособность, со слов, с 27.10.2014г","Нетрудоспособность, со слов, с 27.10.2014 г.","Нетрудоспособность, со слов, с 27.10.2014г.",final_punctuation@42:42: '' -> '.',trusted bounded candidate,0.85302734375
dictionary_fuzzy,Приговор будет повторно рассматриваться аппеляционным судом в октябре.,Приговор будет повторно рассматриваться аппеляционным судом в октябре.,Приговор будет повторно рассматриваться апелляционными судом в октябре.,spelling_replace@40:53: 'аппеляционным' -> 'апелляционными',trusted bounded candidate,0.98486328125
extra_letter_candidate,"Как сообщил РИА ""Новости"" руководитель пресс-службы УФСБ по Москве и Московской области Сергей Богданов, по окончательным данным, мощность взрывного устройства составила 300 г в тротиловом эквиваленте.","Как сообщил РИА ""Новости"" руководитель пресс-службы УФСБ по Москве и Московской области Сергей Богданов, по окончательным данным, мощность взрывного устройства составила 300 г в тротиловом эквиваленте.","Как сообщил РИА ""Новости"" руководитель пресс-службы Фсб по Москве и Московской области Сергей Богданов, по окончательным данным, мощность взрывного устройства составила 300 г в тротиловом эквиваленте.",spelling_replace@52:56: 'УФСБ' -> 'Фсб',trusted bounded candidate,0.9677734375
dictionary_fuzzy,Впервые за послевоенный период авианалет совершен и на село Бамут.,Впервые за послевоенный период авианалет совершен и на село Бамут.,Впервые за послевоенный период авиабилет совершен и на село Бамут.,spelling_replace@31:40: 'авианалет' -> 'авиабилет',trusted bounded candidate,0.99560546875
extra_letter_candidate,"Решение об обязательном пересмотре этого дела в минувший вторник принял краевой суд, в который местная тележурналистка обратилась с жалобой.","Решение об обязательном пересмотре этого дела в минувший вторник принял краевой суд, в который местная тележурналистка обратилась с жалобой.","Решение об обязательном пересмотре этого дела в минувший вторник принял краевой суд, в который местная тележурналиста обратилась с жалобой.",spelling_replace@103:118: 'тележурналистка' -> 'тележурналиста',trusted bounded candidate,0.99609375
