source,target,category,rule_hint,origin
акуратный.,аккуратный.,frequent_spelling_exact,frequent_error_exact,frequent_errors
апеляция.,апелляция.,frequent_spelling_exact,frequent_error_exact,frequent_errors
безконечный.,бесконечный.,frequent_spelling_exact,frequent_error_exact,frequent_errors
безплатный.,бесплатный.,frequent_spelling_exact,frequent_error_exact,frequent_errors
безпокойный.,беспокойный.,frequent_spelling_exact,frequent_error_exact,frequent_errors
безполезный.,бесполезный.,frequent_spelling_exact,frequent_error_exact,frequent_errors
безшумный.,бесшумный.,frequent_spelling_exact,frequent_error_exact,frequent_errors
бесвкусный.,безвкусный.,frequent_spelling_exact,frequent_error_exact,frequent_errors
бесграмотный.,безграмотный.,frequent_spelling_exact,frequent_error_exact,frequent_errors
вада.,вода.,frequent_spelling_exact,frequent_error_exact,frequent_errors
вобщем.,в общем.,split_join_exact,frequent_error_exact,frequent_errors
вообщем.,в общем.,split_join_exact,frequent_error_exact,frequent_errors
врядли.,вряд ли.,split_join_exact,frequent_error_exact,frequent_errors
всмысле.,в смысле.,split_join_exact,frequent_error_exact,frequent_errors
вюга.,вьюга.,frequent_spelling_exact,frequent_error_exact,frequent_errors
граматика.,грамматика.,frequent_spelling_exact,frequent_error_exact,frequent_errors
делаеться.,делается.,frequent_spelling_exact,frequent_error_exact,frequent_errors
деревяный.,деревянный.,frequent_spelling_exact,frequent_error_exact,frequent_errors
дешовый.,дешевый.,frequent_spelling_exact,frequent_error_exact,frequent_errors
длиный.,длинный.,frequent_spelling_exact,frequent_error_exact,frequent_errors
жолтый.,желтый.,frequent_spelling_exact,frequent_error_exact,frequent_errors
жывой.,живой.,frequent_spelling_exact,frequent_error_exact,frequent_errors
жывотное.,животное.,frequent_spelling_exact,frequent_error_exact,frequent_errors
жызнь.,жизнь.,frequent_spelling_exact,frequent_error_exact,frequent_errors
зделал.,сделал.,frequent_spelling_exact,frequent_error_exact,frequent_errors
зделать.,сделать.,frequent_spelling_exact,frequent_error_exact,frequent_errors
искуственный.,искусственный.,frequent_spelling_exact,frequent_error_exact,frequent_errors
кажеться.,кажется.,frequent_spelling_exact,frequent_error_exact,frequent_errors
карова.,корова.,frequent_spelling_exact,frequent_error_exact,frequent_errors
колектив.,коллектив.,frequent_spelling_exact,frequent_error_exact,frequent_errors
лесница.,лестница.,frequent_spelling_exact,frequent_error_exact,frequent_errors
малако.,молоко.,frequent_spelling_exact,frequent_error_exact,frequent_errors
машына.,машина.,frequent_spelling_exact,frequent_error_exact,frequent_errors
нашол.,нашел.,frequent_spelling_exact,frequent_error_exact,frequent_errors
незнаю.,не знаю.,split_join_exact,frequent_error_exact,frequent_errors
обажаю.,обожаю.,frequent_spelling_exact,frequent_error_exact,frequent_errors
обьект.,объект.,frequent_spelling_exact,frequent_error_exact,frequent_errors
обявление.,объявление.,frequent_spelling_exact,frequent_error_exact,frequent_errors
переодически.,периодически.,frequent_spelling_exact,frequent_error_exact,frequent_errors
подезд.,подъезд.,frequent_spelling_exact,frequent_error_exact,frequent_errors
подезде.,подъезде.,frequent_spelling_exact,frequent_error_exact,frequent_errors
подездом.,подъездом.,frequent_spelling_exact,frequent_error_exact,frequent_errors
подезду.,подъезду.,frequent_spelling_exact,frequent_error_exact,frequent_errors
получаеться.,получается.,frequent_spelling_exact,frequent_error_exact,frequent_errors
прасник.,праздник.,frequent_spelling_exact,frequent_error_exact,frequent_errors
преблизительно.,приблизительно.,frequent_spelling_exact,frequent_error_exact,frequent_errors
привосходный.,превосходный.,frequent_spelling_exact,frequent_error_exact,frequent_errors
приувеличивать.,преувеличивать.,frequent_spelling_exact,frequent_error_exact,frequent_errors
пришол.,пришел.,frequent_spelling_exact,frequent_error_exact,frequent_errors
произошол.,произошел.,frequent_spelling_exact,frequent_error_exact,frequent_errors
сабака.,собака.,frequent_spelling_exact,frequent_error_exact,frequent_errors
сдесь.,здесь.,frequent_spelling_exact,frequent_error_exact,frequent_errors
серце.,сердце.,frequent_spelling_exact,frequent_error_exact,frequent_errors
сьезд.,съезд.,frequent_spelling_exact,frequent_error_exact,frequent_errors
територия.,территория.,frequent_spelling_exact,frequent_error_exact,frequent_errors
улыбаеться.,улыбается.,frequent_spelling_exact,frequent_error_exact,frequent_errors
харашо.,хорошо.,frequent_spelling_exact,frequent_error_exact,frequent_errors
хочеться.,хочется.,frequent_spelling_exact,frequent_error_exact,frequent_errors
цырк.,цирк.,frequent_spelling_exact,frequent_error_exact,frequent_errors
цытата.,цитата.,frequent_spelling_exact,frequent_error_exact,frequent_errors
цыфра.,цифра.,frequent_spelling_exact,frequent_error_exact,frequent_errors
чесный.,честный.,frequent_spelling_exact,frequent_error_exact,frequent_errors
чорный.,черный.,frequent_spelling_exact,frequent_error_exact,frequent_errors
чювство.,чувство.,frequent_spelling_exact,frequent_error_exact,frequent_errors
чюдо.,чудо.,frequent_spelling_exact,frequent_error_exact,frequent_errors
чясто.,часто.,frequent_spelling_exact,frequent_error_exact,frequent_errors
чяща.,чаща.,frequent_spelling_exact,frequent_error_exact,frequent_errors
шол.,шел.,frequent_spelling_exact,frequent_error_exact,frequent_errors
шырина.,ширина.,frequent_spelling_exact,frequent_error_exact,frequent_errors
щюка.,щука.,frequent_spelling_exact,frequent_error_exact,frequent_errors
