row_index,split,source_type,rule_id,source,target,detected_family,expected_family,alignment_pass,reason
34,train,synthetic_augmented_from_open_clean,comma_subordinate,"Однако следователи предполагают что у японца на самом деле было 60 жен, причем большинству из женщин менее 18 лет.","Однако следователи предполагают, что у японца на самом деле было 60 жен, причем большинству из женщин менее 18 лет.",subordinate_clause,subordinate_clause,True,ok
36,train,synthetic_augmented_from_open_clean,comma_subordinate,"Как сообщает Reuters, любители конспирологических теорий давно выдвигают версии, согласно которым израильская спецслужба Шин Бет, вместо того чтобы защищать премьера, сама была вовлечена в убийство.","Как сообщает Reuters, любители конспирологических теорий давно выдвигают версии, согласно которым израильская спецслужба Шин Бет, вместо того, чтобы защищать премьера, сама была вовлечена в убийство.",subordinate_clause,subordinate_clause,True,ok
48,train,synthetic_augmented_from_open_clean,comma_subordinate,Последний раз власти США вмешивались в курсообразование с помощью интервенций в 2000 году когда G7 договорилась поддержать стремительно падающий курс евро.,"Последний раз власти США вмешивались в курсообразование с помощью интервенций в 2000 году, когда G7 договорилась поддержать стремительно падающий курс евро.",subordinate_clause,subordinate_clause,True,ok
65,train,synthetic_augmented_from_open_clean,comma_subordinate,"Помощник главы Российского государства Аркадий Дворкович заявил что Дмитрий Медведев, возможно, еще вернется в президентское кресло, сообщает ""Эхо Москвы"".","Помощник главы Российского государства Аркадий Дворкович заявил, что Дмитрий Медведев, возможно, еще вернется в президентское кресло, сообщает ""Эхо Москвы"".",subordinate_clause,subordinate_clause,True,ok
89,train,synthetic_augmented_from_open_clean,comma_subordinate,"Собеседники телеканала, близкие дипломатическим кругам ЛАГ, информируют что, вероятно, будет принято положительное решение.","Собеседники телеканала, близкие дипломатическим кругам ЛАГ, информируют, что, вероятно, будет принято положительное решение.",subordinate_clause,subordinate_clause,True,ok
126,train,synthetic_augmented_from_open_clean,comma_subordinate,"Кроме того, в октябре российская сторона заявляла что готова предоставить Болгарии стопроцентное финансирование проекта АЭС ""Белене"", несмотря на то, что болгарская сторона будет иметь в проекте контрольную долю.","Кроме того, в октябре российская сторона заявляла, что готова предоставить Болгарии стопроцентное финансирование проекта АЭС ""Белене"", несмотря на то, что болгарская сторона будет иметь в проекте контрольную долю.",subordinate_clause,subordinate_clause,True,ok
226,train,synthetic_augmented_from_open_clean,comma_subordinate,"Не далее чем во вторник утром одна из наиболее значительных пробок встала на Можайском шоссе, Кутузовском проспекте и Новом Арбате по направлению в центр города: сообщается что длина затора превысила 11 км.","Не далее чем во вторник утром одна из наиболее значительных пробок встала на Можайском шоссе, Кутузовском проспекте и Новом Арбате по направлению в центр города: сообщается, что длина затора превысила 11 км.",subordinate_clause,subordinate_clause,True,ok
256,train,synthetic_augmented_from_open_clean,comma_subordinate,"По его словам, осознание того что общаться и дружить лучше, чем постоянно объяснять неправоту друг друга приходит к соседям из Европы.","По его словам, осознание того, что общаться и дружить лучше, чем постоянно объяснять неправоту друг друга приходит к соседям из Европы.",subordinate_clause,subordinate_clause,True,ok
275,train,synthetic_augmented_from_open_clean,comma_subordinate,"На следующий день после саммита New York Daily News поместила на обложку карикатуру, намекающую на то что ради дружественных отношений с Путиным Трамп готов пожертвовать интересами собственного государства.","На следующий день после саммита New York Daily News поместила на обложку карикатуру, намекающую на то, что ради дружественных отношений с Путиным Трамп готов пожертвовать интересами собственного государства.",subordinate_clause,subordinate_clause,True,ok
282,train,synthetic_augmented_from_open_clean,comma_conjunction,"Там обнаружены банковские карты, технические средства передачи информации а также запрещенная литература.","Там обнаружены банковские карты, технические средства передачи информации, а также запрещенная литература.",coordinating_conjunction,coordinating_conjunction,True,ok
292,train,synthetic_augmented_from_open_clean,comma_subordinate,"Тогда жо произошёл судебный процесс, в ходе которого Маке попытался доказать что имеет право видеть своё имя на обложке книги рядом с именем Александра Дюма.","Тогда же произошёл судебный процесс, в ходе которого Маке попытался доказать, что имеет право видеть своё имя на обложке книги рядом с именем Александра Дюма.",subordinate_clause,subordinate_clause,True,ok
325,train,synthetic_augmented_from_open_clean,comma_subordinate,13 ноября газета Times узнала что Футбольная ассоциация Англии (FA) предложит командам высшего дивизиона страны сократить число легионеров в заявках с 17 до 12.,"13 ноября газета Times узнала, что Футбольная ассоциация Англии (FA) предложит командам высшего дивизиона страны сократить число легионеров в заявках с 17 до 12.",subordinate_clause,subordinate_clause,True,ok
373,train,synthetic_augmented_from_open_clean,comma_subordinate,Посол Швеции сказал что к лету мемориал Рауля Валленберга откроется в Стокгольме.,"Посол Швеции сказал, что к лету мемориал Рауля Валленберга откроется в Стокгольме.",subordinate_clause,subordinate_clause,True,ok
380,train,synthetic_augmented_from_open_clean,comma_subordinate,"Прибывшие на завод взрывотехники областного ГУВД полагают что мощность бомбы была не очень большой, так как, по последним данным, в результате взрыва никто не пострадал.","Прибывшие на завод взрывотехники областного ГУВД полагают, что мощность бомбы была не очень большой, так как, по последним данным, в результате взрыва никто не пострадал.",subordinate_clause,subordinate_clause,True,ok
403,train,synthetic_augmented_from_open_clean,comma_subordinate,Администрация изолятора объявила игрокам что им разрешено посещать спортзал лишь два раза в неделю вместо пяти.,"Администрация изолятора объявила игрокам, что им разрешено посещать спортзал лишь два раза в неделю вместо пяти.",subordinate_clause,subordinate_clause,True,ok
427,train,synthetic_augmented_from_open_clean,comma_conjunction,"По его словам, ""боевые выплаты"" будут выданы только тем, кто принимает участие в боевых действиях а их списки должны представлять командиры.","По его словам, ""боевые выплаты"" будут выданы только тем, кто принимает участие в боевых действиях, а их списки должны представлять командиры.",coordinating_conjunction,coordinating_conjunction,True,ok
431,train,synthetic_augmented_from_open_clean,comma_conjunction,Военные обещают опубликовать и список погибших в ходе антитеррористической операции на территории Чечни но только после окончания боевых действий в этой республике.,"Военные обещают опубликовать и список погибших в ходе антитеррористической операции на территории Чечни, но только после окончания боевых действий в этой республике.",coordinating_conjunction,coordinating_conjunction,True,ok
455,train,synthetic_augmented_from_open_clean,comma_subordinate,"Проблема в том что из регионов специалисты ""боятся ехать"" в Чечню.","Проблема в том, что из регионов специалисты ""боятся ехать"" в Чечню.",subordinate_clause,subordinate_clause,True,ok
476,train,synthetic_augmented_from_open_clean,comma_subordinate,"Вместе с тем Невзлин отметил что люди, могущие придстать перед судом, сейчас не работают ни в ""ЮКОСе"", ни в ВНК.","Вместе с тем Невзлин отметил, что люди, могущие предстать перед судом, сейчас не работают ни в ""ЮКОСе"", ни в ВНК.",subordinate_clause,subordinate_clause,True,ok
489,train,synthetic_augmented_from_open_clean,comma_conjunction,"На своем поле ""Енисей"" победил - 2:1, в гостях проиграл - 2:3 но за счот двух мячей, забитых на чужом поле, добился общей победы.","На своем поле ""Енисей"" победил - 2:1, в гостях проиграл - 2:3, но за счет двух мячей, забитых на чужом поле, добился общей победы.",coordinating_conjunction,coordinating_conjunction,True,ok
