lemma,semantic_class
быстро,manner
медленно,manner
внимательно,manner
точно,manner
правильно,manner
ошибочно,manner
вчера,time
сегодня,time
завтра,time
утром,time
вечером,time
часто,frequency
редко,frequency
иногда,frequency
обычно,frequency
сразу,time
потом,time
снова,frequency
заранее,time
тихо,manner
громко,manner
спокойно,manner
уверенно,manner
подробно,manner
кратко,manner
вместе,manner
отдельно,manner
рядом,place
далеко,place
близко,place
хорошо,manner
плохо,manner
недавно,time
поздно,time
рано,time
ежедневно,frequency
еженедельно,frequency
повторно,frequency
последовательно,manner
автоматически,manner
вручную,manner
корректно,manner
аккуратно,manner
тщательно,manner
наглядно,manner
поэтапно,manner
совместно,manner
локально,place
удалённо,place
здесь,place
там,place
ниже,place
выше,place
внутри,place
снаружи,place
успешно,evaluation
надёжно,evaluation
полезно,evaluation
явно,evaluation
