rule_id,examples,candidate_present_count,candidate_recall,hard_negative_pass,blockers
ne_verb,Я незнал ответа. => незнал -> не знал,1,1.00,true,
ne_adjective,Он сделал неверный вывод. => неверный -> не верный,1,1.00,true,
ne_adverb,Он сделал это не случайно. => не случайно -> неслучайно,1,1.00,true,
ne_participle,Не проверенный вовремя документ вернули. => Не проверенный -> Непроверенный,1,1.00,true,
ne_short_form,Он не согласен. => не согласен -> несогласен,1,1.00,true,
ne_predicative,Это не возможно. => не возможно -> невозможно,1,1.00,true,
ni_stable_expression,Он не разу не ошибся. => не разу -> ни разу,1,1.00,true,
ni_particle_context,"Что бы он не сказал, решение принято. => не -> ни",1,1.00,true,
n_nn_adjective,Длиный путь занял день. => Длиный -> Длинный,1,1.00,true,
n_nn_participle,Жареный на масле картофель остыл. => Жареный -> Жаренный,1,1.00,true,
n_nn_deverbal_adjective,Жаренный картофель остыл. => Жаренный -> Жареный,1,1.00,true,
n_nn_short_form,Ошибка исправленна. => исправленна -> исправлена,1,1.00,true,
tsya_soft_insert,Они могут появится завтра. => появится -> появиться,1,1.00,true,
tsya_soft_delete,Они могут появиться завтра. => появиться -> появится,1,1.00,true,
context_tak_zhe,Он сделал так же как коллега. => так же -> также,1,1.00,true,
context_to_zhe,Он сделал то же что коллега. => то же -> тоже,1,1.00,true,
context_chto_by,Чтобы закончить работу нужно согласование. => Чтобы -> Что бы,1,1.00,true,
context_za_to,Он отвечает за то решение. => за то -> зато,1,1.00,true,
context_vsledstvie,Вследствие ошибки отчёт вернули. => Вследствие -> В следствие,1,1.00,true,
context_nesmotrya,Несмотря на дождь встреча началась. => Несмотря на -> Не смотря на,1,1.00,true,
grammatical_endings_context,blocked: adjective/noun/verb ending confusions,0,0.00,true,requires dictionary-backed lexical and morphology support; broad ending correction intentionally not implemented
