rule_id,atomic_positive_count,min_atomic_required,hard_negative_count,min_hard_negative_required,status,reason
abbreviation_case_protection,0,2500,58,500,under_quota,below_min_atomic_positive_quota
address_comma,0,2500,32,500,under_quota,below_min_atomic_positive_quota
apposition_comma,0,2500,1667,500,under_quota,below_min_atomic_positive_quota
asyndetic_dash,0,2500,32,500,under_quota,below_min_atomic_positive_quota
bracket_pair_balance,0,2500,12,500,under_quota,below_min_atomic_positive_quota
capitalization_sentence_start,0,2500,1845,500,under_quota,below_min_atomic_positive_quota
clarification_comma,0,2500,198,500,under_quota,below_min_atomic_positive_quota
comma_conjunction,0,2500,389,500,under_quota,below_min_atomic_positive_quota
comma_subordinate,0,2500,1842,500,under_quota,below_min_atomic_positive_quota
comparative_turnover_comma,0,2500,194,500,under_quota,below_min_atomic_positive_quota
consequence_dash,0,2500,6,500,under_quota,below_min_atomic_positive_quota
context_chto_by,0,2500,1684,500,under_quota,below_min_atomic_positive_quota
context_nesmotrya,0,2500,947,500,under_quota,below_min_atomic_positive_quota
context_tak_zhe,0,2500,1749,500,under_quota,below_min_atomic_positive_quota
context_to_zhe,0,2500,2057,500,under_quota,below_min_atomic_positive_quota
context_vsledstvie,0,2500,178,500,under_quota,below_min_atomic_positive_quota
context_za_to,0,2500,704,500,under_quota,below_min_atomic_positive_quota
cy_exception,0,2500,0,500,under_quota,below_min_atomic_positive_quota
detached_adverbial_comma,0,2500,1429,500,under_quota,below_min_atomic_positive_quota
detached_participial_comma,0,2500,1282,500,under_quota,below_min_atomic_positive_quota
dictionary_fuzzy,0,2500,905,500,under_quota,below_min_atomic_positive_quota
direct_speech_colon,0,2500,1287,500,under_quota,below_min_atomic_positive_quota
direct_speech_dash,0,2500,318,500,under_quota,below_min_atomic_positive_quota
direct_speech_quotes,0,2500,661,500,under_quota,below_min_atomic_positive_quota
double_consonant_candidate,0,2500,1879,500,under_quota,below_min_atomic_positive_quota
enumeration_colon,0,2500,268,500,under_quota,below_min_atomic_positive_quota
enumeration_dash,0,2500,1789,500,under_quota,below_min_atomic_positive_quota
explanation_colon,0,2500,841,500,under_quota,below_min_atomic_positive_quota
