rule_id,gate,metric_value,threshold,passed,tier,reason
address_comma,candidate_recall,1.0,0.85,True,wave1,verified_wave1_candidate_backed
comma_conjunction,candidate_recall,1.0,0.85,True,wave1,verified_wave1_candidate_backed
comma_subordinate,candidate_recall,1.0,0.85,True,wave1,verified_wave1_candidate_backed
comparative_turnover_comma,candidate_recall,1.0,0.85,True,wave1,verified_wave1_candidate_backed
context_chto_by,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
context_nesmotrya,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
context_tak_zhe,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
context_to_zhe,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
context_vsledstvie,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
context_za_to,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
cy_exception,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
detached_adverbial_comma,candidate_recall,1.0,0.85,True,wave1,verified_wave1_candidate_backed
dictionary_fuzzy,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
direct_speech_colon,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
direct_speech_dash,candidate_recall,1.0,0.85,True,wave1,verified_wave1_candidate_backed
direct_speech_quotes,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
double_consonant_candidate,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
enumeration_colon,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
explanation_colon,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
extra_letter_candidate,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
homogeneous_comma,candidate_recall,1.0,0.85,True,wave1,verified_wave1_candidate_backed
hyphen_koe_koy,candidate_recall,1.0,0.85,True,wave1,verified_wave1_candidate_backed
hyphen_particles,candidate_recall,1.0,0.85,True,wave1,verified_wave1_candidate_backed
hyphen_po_adverbs,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
introductory_comma,candidate_recall,1.0,0.85,True,wave1,verified_wave1_candidate_backed
keyboard_typo_candidate,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
missing_letter_candidate,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
n_nn_deverbal_adjective,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
ne_adjective,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
ne_adverb,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
ne_participle,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
ni_stable_expression,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
pattern_чю_чу,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
pattern_щю_щу,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
pol_polu_compounds,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
subject_predicate_dash,candidate_recall,1.0,0.85,True,wave1,verified_wave1_candidate_backed
swapped_letters_candidate,candidate_recall,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
address_comma,gap_label_coverage,1.0,0.85,True,wave1,verified_wave1_candidate_backed
comma_conjunction,gap_label_coverage,1.0,0.85,True,wave1,verified_wave1_candidate_backed
comma_subordinate,gap_label_coverage,1.0,0.85,True,wave1,verified_wave1_candidate_backed
comparative_turnover_comma,gap_label_coverage,1.0,0.85,True,wave1,verified_wave1_candidate_backed
detached_adverbial_comma,gap_label_coverage,1.0,0.85,True,wave1,verified_wave1_candidate_backed
direct_speech_colon,gap_label_coverage,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
direct_speech_dash,gap_label_coverage,1.0,0.85,True,wave1,verified_wave1_candidate_backed
direct_speech_quotes,gap_label_coverage,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
enumeration_colon,gap_label_coverage,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
explanation_colon,gap_label_coverage,1.0,0.85,True,stable_v2_core,stable_v2_candidate_recall_ge_0_85
homogeneous_comma,gap_label_coverage,1.0,0.85,True,wave1,verified_wave1_candidate_backed
introductory_comma,gap_label_coverage,1.0,0.85,True,wave1,verified_wave1_candidate_backed
subject_predicate_dash,gap_label_coverage,1.0,0.85,True,wave1,verified_wave1_candidate_backed
