rule_id,threshold_key,current_threshold,recommended_threshold,positive_score_p10,positive_score_p50,positive_score_p90,negative_score_mean,negative_score_p90,clean_false_positives_at_threshold,synthetic_true_positives_at_threshold,real_true_positives_at_threshold,dirty_worse_impact,recommendation,reason
subject_predicate_dash,subject_predicate_dash_threshold,0.9999,0.99,0.993164,0.993652,0.995117,0.07251,0.108948,0,104,0,0.0,lower,safe recall gain
direct_speech_colon,direct_speech_colon_threshold,0.995,0.995,0.901367,0.908203,0.915527,0.044011,0.121033,0,0,0,0.0,keep,no safety-safe threshold improves validation objective
hyphen_particles,hyphen_particles_threshold,0.95,0.5,0.524414,0.538574,0.554688,0.0,0.0,0,80,0,0.0,lower,safe recall gain
hyphen_koe_koy,hyphen_koe_koy_threshold,0.95,0.45,0.453857,0.48584,0.505176,0.0,0.0,0,78,0,0.0,lower,safe recall gain
context_to_zhe,context_to_zhe_threshold,0.95,0.95,0.80957,0.845215,0.862793,0.687884,0.84082,0,0,0,0.0,keep,no safety-safe threshold improves validation objective
ne_adverb,ne_adverb_threshold,0.99995,0.99995,0.658691,0.757324,0.847168,0.290669,0.675293,0,0,0,0.0,keep,no safety-safe threshold improves validation objective
ne_participle,ne_participle_threshold,0.99995,0.99995,0.782227,0.790039,0.796387,0.306815,0.548999,0,0,0,0.0,keep,no safety-safe threshold improves validation objective
ne_adjective,ne_adjective_threshold,0.99995,0.99995,0.694824,0.702637,0.711426,0.403811,0.92041,0,0,0,0.0,keep,no safety-safe threshold improves validation objective
dictionary_fuzzy,dictionary_fuzzy_threshold,0.95,0.75,0.498047,0.755859,0.793457,0.294683,0.644873,2,51,2,0.0,lower,safe recall gain
cy_exception,cy_exception_threshold,0.92,0.58,0.576172,0.599609,0.633789,0.0,0.0,0,85,0,0.0,lower,safe recall gain
swapped_letters_candidate,swapped_letters_candidate_threshold,0.95,0.76,0.769043,0.78125,0.791016,0.38564,0.675757,0,0,0,0.0,lower,safe recall gain
context_za_to,context_za_to_threshold,0.95,0.95,0.331592,0.469971,0.488037,0.466719,0.554199,0,0,0,0.0,needs_more_training,no safety-safe threshold improves validation objective
direct_speech_quotes,direct_speech_quotes_threshold,0.995,0.995,0.835449,0.84668,0.857422,0.071102,0.343945,0,0,0,0.0,needs_more_training,no safety-safe threshold improves validation objective
double_consonant_candidate,double_consonant_candidate_threshold,0.95,0.553223,0.449219,0.553223,0.652002,0.535217,0.708008,4,0,6,0.0,lower,safe recall gain
enumeration_colon,enumeration_colon_threshold,0.92,0.92,0.979736,0.983398,0.986328,0.13501,0.13501,0,0,0,0.0,needs_more_training,no safety-safe threshold improves validation objective
explanation_colon,explanation_colon_threshold,0.92,0.92,0.979004,0.981934,0.987305,0.002754,0.002846,0,0,0,0.0,needs_more_training,no safety-safe threshold improves validation objective
hyphen_po_adverbs,hyphen_po_adverbs_threshold,0.95,0.41333,0.407471,0.41333,0.421875,0.810785,0.982178,0,54,0,0.0,lower,safe recall gain
n_nn_deverbal_adjective,n_nn_deverbal_adjective_threshold,0.92,0.92,0.608398,0.626953,0.65332,0.997559,0.997559,0,0,0,0.0,needs_more_training,no safety-safe threshold improves validation objective
