matrix_key,rule_id,title,risk_level,reason,needs_before_training
orthography_1_1_4_4,tsya_soft_insert,Буква «ь» не после шипящих в некоторых грамматических формах,high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_1_1_4_4,tsya_soft_delete,Буква «ь» не после шипящих в некоторых грамматических формах,high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_1_3_6_9,double_consonant_candidate,Двойные согласные в русских корнях,high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_3_5_3_2,hyphen_po_adverbs,"Наречия с приставкой «по-», оканчивающиеся на «-ому, -ему, -ски, -цки, -ьи»",high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_3_6_1_1,context_vsledstvie,Предлоги из предложно-падежных сочетаний,high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_3_6_1_1,context_nesmotrya,Предлоги из предложно-падежных сочетаний,high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_3_6_1_3,context_tak_zhe,"Союзы и частицы «дабы, кабы, также, тоже, чтобы (чтоб)»",high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_3_6_1_3,context_to_zhe,"Союзы и частицы «дабы, кабы, также, тоже, чтобы (чтоб)»",high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_3_6_1_3,context_chto_by,"Союзы и частицы «дабы, кабы, также, тоже, чтобы (чтоб)»",high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_3_6_3_2,context_za_to,"Раздельное написание союзов, частиц, вводных слов",high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_4_12,capitalization_sentence_start,Прописные буквы после знаков препинания,high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_5_1_1,abbreviation_case_protection,Аббревиатуры инициального типа,high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_7_1,swapped_letters_candidate,"Пропуск, вставка, изменение или перестановка буквы",high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_7_1,missing_letter_candidate,"Пропуск, вставка, изменение или перестановка буквы",high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_7_1,extra_letter_candidate,"Пропуск, вставка, изменение или перестановка буквы",high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_7_3,keyboard_typo_candidate,Некорректная буква,high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
orthography_8_1,dictionary_fuzzy,Орфографические ошибки в словарных словах,high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
punctuation_1_1,final_punctuation_default,Знаки препинания в конце предложения,high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
punctuation_9_5,bracket_pair_balance,Разные знаки со скобками,high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
punctuation_9_6,quote_pair_balance,Разные знаки с кавычками,high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
punctuation_11_6,punctuation_delete_replace,Лишние знаки препинания,high,candidate path verified; validator guards and hard negatives are required before dataset build,"[""validator"", ""hard_negatives""]"
