rule_id,group,gold_gap_count,candidate_gap_present_count,gap_candidate_recall,missing_examples
address_comma,addresses_interjections_particles,593,593,1.0,[]
comma_conjunction,homogeneous_commas,593,593,1.0,[]
comma_subordinate,complex_sentence_subordinate,593,593,1.0,[]
comparative_turnover_comma,comparative_turnovers,593,593,1.0,[]
context_chto_by,solid_hyphen_separate_service_words,4,0,0.0,"[{""source"": ""что бы больно небыло, когда ешь то, что нельзя )"", ""target"": ""чтобы больно не было когда ешь то что нельзя"", ""edit_type"": ""punctuation_delete"", ""start"": 20, ""end"": 21, ""source_fragment"": "","", ""replacement"": """", ""gap_index"": 3, ""action"": ""DELETE"", ""label"": ""NONE""}, {""source"": ""что бы больно небыло, когда ешь то, что нельзя )"", ""target"": ""чтобы больно не было когда ешь то что нельзя"", ""edit_type"": ""punctuation_delete"", ""start"": 47, ""end"": 48, ""source_fragment"": "")"", ""replacement"": """", ""gap_index"": 8, ""action"": ""DELETE"", ""label"": ""NONE""}, {""source"": ""Хоть водитель переодически открывал окно и было жутко холодно, все же я мечтала о том, что бы пробка подольше не розсасывалась и я могла еще подрыхнуть."", ""target"": ""Хоть водитель периодически открывал окно и было жутко холодно все же я мечтала о том чтобы пробка подольше не рассасывалась и я могла еще подрыхнуть"", ""edit_type"": ""punctuation_delete"", ""start"": 85, ""end"": 86, ""source_fragment"": "","", ""replacement"": """", ""gap_index"": 14, ""action"": ""DELETE"", ""label"": ""NONE""}, {""source"": ""Иногда, что бы создать красивый компьютерный спецэффеект нужно иметь смекалку и хорошее воображение, а не только мощную рендерферму."", ""target"": ""Иногда, чтобы создать красивый компьютерный спецэффект, нужно иметь смекалку и хорошее воображение, а не только мощную рендер-ферму."", ""edit_type"": ""punctuation_insert"", ""start"": 56, ""end"": 56, ""source_fragment"": """", ""replacement"": "","", ""gap_index"": 6, ""action"": ""INSERT"", ""label"": ""COMMA""}]"
context_nesmotrya,solid_hyphen_separate_service_words,1,0,0.0,"[{""source"": ""десь я прибежала на крики и пронзительный визг, а Яся всего лишь радовалась тому, что Варя спит под одеялом - и она действительно спала, не смотря на бурные эмоции вокруг и не совсем нежные обнимания."", ""target"": ""здесь я прибежала на крики и пронзительный визг а Яся всего лишь радовалась тому что Варя спит под одеялом и она действительно спала несмотря на бурные эмоции вокруг и не совсем нежные обнимания"", ""edit_type"": ""punctuation_delete"", ""start"": 80, ""end"": 81, ""source_fragment"": "","", ""replacement"": """", ""gap_index"": 13, ""action"": ""DELETE"", ""label"": ""NONE""}]"
context_pair,unknown,6,3,0.5,"[{""source"": ""десь я прибежала на крики и пронзительный визг, а Яся всего лишь радовалась тому, что Варя спит под одеялом - и она действительно спала, не смотря на бурные эмоции вокруг и не совсем нежные обнимания."", ""target"": ""здесь я прибежала на крики и пронзительный визг а Яся всего лишь радовалась тому что Варя спит под одеялом и она действительно спала несмотря на бурные эмоции вокруг и не совсем нежные обнимания"", ""edit_type"": ""punctuation_delete"", ""start"": 46, ""end"": 47, ""source_fragment"": "","", ""replacement"": """", ""gap_index"": 7, ""action"": ""DELETE"", ""label"": ""NONE""}, {""source"": ""десь я прибежала на крики и пронзительный визг, а Яся всего лишь радовалась тому, что Варя спит под одеялом - и она действительно спала, не смотря на бурные эмоции вокруг и не совсем нежные обнимания."", ""target"": ""здесь я прибежала на крики и пронзительный визг а Яся всего лишь радовалась тому что Варя спит под одеялом и она действительно спала несмотря на бурные эмоции вокруг и не совсем нежные обнимания"", ""edit_type"": ""punctuation_delete"", ""start"": 135, ""end"": 136, ""source_fragment"": "","", ""replacement"": """", ""gap_index"": 22, ""action"": ""DELETE"", ""label"": ""NONE""}, {""source"": ""десь я прибежала на крики и пронзительный визг, а Яся всего лишь радовалась тому, что Варя спит под одеялом - и она действительно спала, не смотря на бурные эмоции вокруг и не совсем нежные обнимания."", ""target"": ""здесь я прибежала на крики и пронзительный визг а Яся всего лишь радовалась тому что Варя спит под одеялом и она действительно спала несмотря на бурные эмоции вокруг и не совсем нежные обнимания"", ""edit_type"": ""punctuation_delete"", ""start"": 199, ""end"": 200, ""source_fragment"": ""."", ""replacement"": """", ""gap_index"": 33, ""action"": ""DELETE"", ""label"": ""NONE""}]"
context_to_zhe,solid_hyphen_separate_service_words,1,0,0.0,"[{""source"": ""собсна это почти в одно и тоже время снято, просто облака плывут"", ""target"": ""собственно это почти в одно и то же время снято просто облака плывут"", ""edit_type"": ""punctuation_delete"", ""start"": 42, ""end"": 43, ""source_fragment"": "","", ""replacement"": """", ""gap_index"": 8, ""action"": ""DELETE"", ""label"": ""NONE""}]"
detached_adverbial_comma,detached_adverbials,593,593,1.0,[]
dictionary_fuzzy,typos_letter_operations,580,42,0.07241379310344828,"[{""source"": ""довлю на слове правда есть подозрение что моя сессия может затянутяся"", ""target"": ""Ловлю на слове, правда, есть подозрение, что моя сессия может затянуться."", ""edit_type"": ""punctuation_insert"", ""start"": 14, ""end"": 14, ""source_fragment"": """", ""replacement"": "","", ""gap_index"": 2, ""action"": ""INSERT"", ""label"": ""COMMA""}, {""source"": ""Наконецто мои рученки добрались на кнопачки написать в профайле и вот решительно собираюсь накатать несколько постов о том что наслучалось за это время..."", ""target"": ""Наконец-то мои ручонки добрались до кнопочки \""написать в профайле\"", и вот решительно собираюсь накатать несколько постов о том, что наслучалось за это время."", ""edit_type"": ""punctuation_insert"", ""start"": 44, ""end"": 44, ""source_fragment"": """", ""replacement"": ""\"""", ""gap_index"": 5, ""action"": ""INSERT"", ""label"": ""NONE""}, {""source"": ""Наконецто мои рученки добрались на кнопачки написать в профайле и вот решительно собираюсь накатать несколько постов о том что наслучалось за это время..."", ""target"": ""Наконец-то мои ручонки добрались до кнопочки \""написать в профайле\"", и вот решительно собираюсь накатать несколько постов о том, что наслучалось за это время."", ""edit_type"": ""punctuation_insert"", ""start"": 63, ""end"": 63, ""source_fragment"": """", ""replacement"": ""\"""", ""gap_index"": 8, ""action"": ""INSERT"", ""label"": ""NONE""}, {""source"": ""Наконецто мои рученки добрались на кнопачки написать в профайле и вот решительно собираюсь накатать несколько постов о том что наслучалось за это время..."", ""target"": ""Наконец-то мои ручонки добрались до кнопочки \""написать в профайле\"", и вот решительно собираюсь накатать несколько постов о том, что наслучалось за это время."", ""edit_type"": ""punctuation_insert"", ""start"": 64, ""end"": 64, ""source_fragment"": """", ""replacement"": "","", ""gap_index"": 8, ""action"": ""INSERT"", ""label"": ""COMMA""}, {""source"": ""Наконецто мои рученки добрались на кнопачки написать в профайле и вот решительно собираюсь накатать несколько постов о том что наслучалось за это время..."", ""target"": ""Наконец-то мои ручонки добрались до кнопочки \""написать в профайле\"", и вот решительно собираюсь накатать несколько постов о том, что наслучалось за это время."", ""edit_type"": ""punctuation_insert"", ""start"": 122, ""end"": 122, ""source_fragment"": """", ""replacement"": "","", ""gap_index"": 17, ""action"": ""INSERT"", ""label"": ""COMMA""}, {""source"": ""Наконецто мои рученки добрались на кнопачки написать в профайле и вот решительно собираюсь накатать несколько постов о том что наслучалось за это время..."", ""target"": ""Наконец-то мои ручонки добрались до кнопочки \""написать в профайле\"", и вот решительно собираюсь накатать несколько постов о том, что наслучалось за это время."", ""edit_type"": ""punctuation_delete"", ""start"": 152, ""end"": 153, ""source_fragment"": ""."", ""replacement"": """", ""gap_index"": 22, ""action"": ""DELETE"", ""label"": ""NONE""}, {""source"": ""Наконецто мои рученки добрались на кнопачки написать в профайле и вот решительно собираюсь накатать несколько постов о том что наслучалось за это время..."", ""target"": ""Наконец-то мои ручонки добрались до кнопочки \""написать в профайле\"", и вот решительно собираюсь накатать несколько постов о том, что наслучалось за это время."", ""edit_type"": ""punctuation_delete"", ""start"": 153, ""end"": 154, ""source_fragment"": ""."", ""replacement"": """", ""gap_index"": 22, ""action"": ""DELETE"", ""label"": ""NONE""}, {""source"": ""Прогматично так подумайте, если охота будет."", ""target"": ""Прагматично, так подумайте, если охота будет."", ""edit_type"": ""punctuation_insert"", ""start"": 11, ""end"": 11, ""source_fragment"": """", ""replacement"": "","", ""gap_index"": 0, ""action"": ""INSERT"", ""label"": ""COMMA""}, {""source"": ""Как открыть однаклассники через секретный вопрос"", ""target"": ""Как открыть \""Одноклассники\"" через секретный — вопрос."", ""edit_type"": ""punctuation_insert"", ""start"": 12, ""end"": 12, ""source_fragment"": """", ""replacement"": ""\"""", ""gap_index"": 1, ""action"": ""INSERT"", ""label"": ""NONE""}, {""source"": ""Как открыть однаклассники через секретный вопрос"", ""target"": ""Как открыть \""Одноклассники\"" через секретный — вопрос."", ""edit_type"": ""punctuation_insert"", ""start"": 25, ""end"": 25, ""source_fragment"": """", ""replacement"": ""\"""", ""gap_index"": 2, ""action"": ""INSERT"", ""label"": ""NONE""}, {""source"": ""Как открыть однаклассники через секретный вопрос"", ""target"": ""Как открыть \""Одноклассники\"" через секретный — вопрос."", ""edit_type"": ""punctuation_insert"", ""start"": 42, ""end"": 42, ""source_fragment"": """", ""replacement"": ""—"", ""gap_index"": 4, ""action"": ""INSERT"", ""label"": ""DASH""}, {""source"": ""Преславутая подкованная блоха, оказалась, почти самой простой!"", ""target"": ""Пресловутая подкованная блоха оказалась почти самой простой."", ""edit_type"": ""final_punctuation"", ""start"": 61, ""end"": 62, ""source_fragment"": ""!"", ""replacement"": ""."", ""gap_index"": 6, ""action"": ""REPLACE"", ""label"": ""DOT""}, {""source"": ""Преславутая подкованная блоха, оказалась, почти самой простой!"", ""target"": ""Пресловутая подкованная блоха оказалась почти самой простой."", ""edit_type"": ""punctuation_delete"", ""start"": 29, ""end"": 30, ""source_fragment"": "","", ""replacement"": """", ""gap_index"": 2, ""action"": ""DELETE"", ""label"": ""NONE""}, {""source"": ""Преславутая подкованная блоха, оказалась, почти самой простой!"", ""target"": ""Пресловутая подкованная блоха оказалась почти самой простой."", ""edit_type"": ""punctuation_delete"", ""start"": 40, ""end"": 41, ""source_fragment"": "","", ""replacement"": """", ""gap_index"": 3, ""action"": ""DELETE"", ""label"": ""NONE""}, {""source"": ""Обман зрения ето не прекол просто смотрите в центр"", ""target"": ""Обман зрения - это не прикол, просто смотрите в центр."", ""edit_type"": ""punctuation_insert"", ""start"": 26, ""end"": 26, ""source_fragment"": """", ""replacement"": "","", ""gap_index"": 4, ""action"": ""INSERT"", ""label"": ""COMMA""}, {""source"": ""Обьехав таким образом две-три фермы, и заменив при этом пустые фляги на полные, грузовик наконец часам к 12 дня вьехал в долгожданное Сандово."", ""target"": ""Объехав таким образом две-три фермы и заменив при этом пустые фляги на полные, грузовик наконец часам к 12 дня въехал в долгожданное Сандово."", ""edit_type"": ""punctuation_delete"", ""start"": 35, ""end"": 36, ""source_fragment"": "","", ""replacement"": """", ""gap_index"": 4, ""action"": ""DELETE"", ""label"": ""NONE""}, {""source"": ""И кстате очень зря некоторые убеждены, что жизнь не сказка и не фильм в котором все красиво; )"", ""target"": ""И кстати, очень зря некоторые убеждены, что жизнь не сказка и не фильм, в котором все красиво."", ""edit_type"": ""punctuation_insert"", ""start"": 8, ""end"": 8, ""source_fragment"": """", ""replacement"": "","", ""gap_index"": 1, ""action"": ""INSERT"", ""label"": ""COMMA""}, {""source"": ""И кстате очень зря некоторые убеждены, что жизнь не сказка и не фильм в котором все красиво; )"", ""target"": ""И кстати, очень зря некоторые убеждены, что жизнь не сказка и не фильм, в котором все красиво."", ""edit_type"": ""punctuation_insert"", ""start"": 69, ""end"": 69, ""source_fragment"": """", ""replacement"": "","", ""gap_index"": 12, ""action"": ""INSERT"", ""label"": ""COMMA""}, {""source"": ""Оказавается можно быть счастливой и несчастной одновременно..."", ""target"": ""Оказывается, можно быть счастливой и несчастной одновременно."", ""edit_type"": ""punctuation_insert"", ""start"": 11, ""end"": 11, ""source_fragment"": """", ""replacement"": "","", ""gap_index"": 0, ""action"": ""INSERT"", ""label"": ""COMMA""}, {""source"": ""Оказавается можно быть счастливой и несчастной одновременно..."", ""target"": ""Оказывается, можно быть счастливой и несчастной одновременно."", ""edit_type"": ""punctuation_delete"", ""start"": 60, ""end"": 61, ""source_fragment"": ""."", ""replacement"": """", ""gap_index"": 6, ""action"": ""DELETE"", ""label"": ""NONE""}]"
