threshold_key,threshold,positive_fixed,positive_total,negative_overcorrections,negative_total,recommended
ne_verb_threshold,0.09,1,8,5,10,True
ne_verb_threshold,0.07,2,8,9,10,False
ne_verb_threshold,0.06,4,8,9,10,False
ne_verb_threshold,0.05,5,8,10,10,False
ne_verb_threshold,0.04,8,8,10,10,False
ne_verb_threshold,0.035,8,8,10,10,False
ne_verb_threshold,0.03,8,8,10,10,False
ne_verb_threshold,0.02,8,8,10,10,False
capitalization_sentence_start_threshold,0.98,0,8,1,10,True
capitalization_sentence_start_threshold,0.9,0,8,2,10,False
capitalization_sentence_start_threshold,0.85,0,8,2,10,False
capitalization_sentence_start_threshold,0.8,0,8,2,10,False
capitalization_sentence_start_threshold,0.77,0,8,2,10,False
capitalization_sentence_start_threshold,0.75,0,8,2,10,False
capitalization_sentence_start_threshold,0.72,0,8,2,10,False
capitalization_sentence_start_threshold,0.7,0,8,2,10,False
tsya_threshold,0.995,0,8,0,10,True
tsya_threshold,0.97,0,8,1,10,False
tsya_threshold,0.94,0,8,1,10,False
tsya_threshold,0.9,0,8,1,10,False
tsya_threshold,0.86,0,8,1,10,False
tsya_threshold,0.82,0,8,2,10,False
tsya_threshold,0.78,0,8,4,10,False
hyphen_po_adverbs_threshold,0.88,0,8,5,10,True
hyphen_po_adverbs_threshold,0.7,0,8,9,10,False
hyphen_po_adverbs_threshold,0.55,1,8,9,10,False
hyphen_po_adverbs_threshold,0.45,3,8,10,10,False
hyphen_po_adverbs_threshold,0.4,7,8,10,10,False
hyphen_po_adverbs_threshold,0.38,8,8,10,10,False
hyphen_po_adverbs_threshold,0.35,8,8,10,10,False
hyphen_po_adverbs_threshold,0.3,8,8,10,10,False
context_chto_by_threshold,0.995,0,8,0,10,True
context_chto_by_threshold,0.9,0,8,1,10,False
context_chto_by_threshold,0.8,0,8,1,10,False
context_chto_by_threshold,0.7,0,8,1,10,False
context_chto_by_threshold,0.65,0,8,1,10,False
context_chto_by_threshold,0.6,1,8,2,10,False
context_chto_by_threshold,0.55,3,8,4,10,False
comma_conjunction_threshold,0.995,0,8,0,10,False
comma_conjunction_threshold,0.97,0,8,0,10,False
comma_conjunction_threshold,0.95,3,8,0,10,False
comma_conjunction_threshold,0.94,4,8,0,10,False
comma_conjunction_threshold,0.92,5,8,0,10,False
comma_conjunction_threshold,0.9,6,8,0,10,False
comma_conjunction_threshold,0.86,7,8,0,10,True
final_punctuation_threshold,0.95,0,8,0,0,False
final_punctuation_threshold,0.93,2,8,0,0,False
final_punctuation_threshold,0.92,2,8,0,0,False
final_punctuation_threshold,0.9,3,8,0,0,False
final_punctuation_threshold,0.88,5,8,0,0,False
final_punctuation_threshold,0.86,6,8,0,0,False
final_punctuation_threshold,0.84,6,8,0,0,False
final_punctuation_threshold,0.8,6,8,0,0,True
