matrix_key,rule_id,example_source,example_target,generated_candidate_count,matching_candidate_found,candidate_recall,decision,reason
orthography_5_1_1,abbreviation_case_protection,в сша подготовили отчет.,в США подготовили отчет.,6,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_6_2_1,address_comma,Коллеги проверим рабочий отчет. Позже редактор сохранил копию.,"Коллеги, проверим рабочий отчет. Позже редактор сохранил копию.",9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_2_3,asyndetic_dash,Солнце село архив закрыли.,Солнце село— архив закрыли.,6,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_9_5,bracket_pair_balance,Проверь документ (черновик.,Проверь документ (черновик).,4,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_4_1_1,capitalization_ner,,,0,False,,BLOCK_NO_CANDIDATE,no bounded probe example
orthography_4_12,capitalization_sentence_start,отчет готов. проверка завершена.,отчет готов. Проверка завершена.,6,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_7_1_1,comma_conjunction,Отчет готов но подписи нет.,"Отчет готов, но подписи нет.",6,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_7_2_1,comma_subordinate,Я думаю что отчет готов.,"Я думаю, что отчет готов.",6,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_5_8_1,comparative_turnover_comma,Он говорил словно все уже решено. Позже редактор сохранил копию.,"Он говорил, словно все уже решено. Позже редактор сохранил копию.",11,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_2_3,consequence_dash,Начался дождь отчет не приняли.,Начался дождь— отчет не приняли.,6,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_3_6_1_3,context_chto_by,Чтобы он ни сказал решение принято. Позже редактор сохранил копию.,Что бы он ни сказал решение принято. Позже редактор сохранил копию.,14,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_3_6_1_1,context_nesmotrya,Не смотря на задержку проект завершили. Позже редактор сохранил копию.,Несмотря на задержку проект завершили. Позже редактор сохранил копию.,12,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_3_6_1_3,context_tak_zhe,Он сделал также как коллега. Позже редактор сохранил копию.,Он сделал так же как коллега. Позже редактор сохранил копию.,10,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_3_6_1_3,context_to_zhe,Я тоже упражнение проверил утром. Позже редактор сохранил копию.,Я то же упражнение проверил утром. Позже редактор сохранил копию.,10,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_3_6_1_1,context_vsledstvie,В следствие ошибки отчет вернули. Позже редактор сохранил копию.,Вследствие ошибки отчет вернули. Позже редактор сохранил копию.,10,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_3_6_3_2,context_za_to,За то команда успела подготовить отчет. Позже редактор сохранил копию.,Зато команда успела подготовить отчет. Позже редактор сохранил копию.,11,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_2_2,cy_exception,"Редактор проверил циган, когда готовил рабочий отчет.","Редактор проверил цыган, когда готовил рабочий отчет.",8,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_5_4_1,detached_adverbial_comma,Проверив отчет редактор закрыл файл.,"Проверив отчет, редактор закрыл файл.",6,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_8_1,dictionary_fuzzy,"Редактор проверил библеотека, когда готовил рабочий отчет.","Редактор проверил библиотека, когда готовил рабочий отчет.",9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_8_1_1,direct_speech_colon,Редактор сказал отчет готов.,Редактор сказал: отчет готов.,7,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_8_1_2,direct_speech_dash,«Отчет готов» сказал редактор.,«Отчет готов» — сказал редактор.,5,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_8_1_1,direct_speech_quotes,Он сказал проект готов. Позже редактор сохранил копию.,Он сказал: «проект готов». Позже редактор сохранил копию.,11,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_3_6_9,double_consonant_candidate,"Редактор проверил граматика, когда готовил рабочий отчет.","Редактор проверил грамматика, когда готовил рабочий отчет.",9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_4_7,enumeration_colon,В отчете указано следующее ошибки задержки и риски. Позже редактор сохранил копию.,В отчете указано следующее: ошибки задержки и риски. Позже редактор сохранил копию.,13,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_10_1,explanation_colon,Он понял одно проект готов. Позже редактор сохранил копию.,Он понял одно: проект готов. Позже редактор сохранил копию.,10,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_7_1,extra_letter_candidate,"Редактор проверил собакаа, когда готовил рабочий отчет.","Редактор проверил собака, когда готовил рабочий отчет.",9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_1_1,final_punctuation_default,Документ готов,Документ готов.,3,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_8_1,frequent_error_exact,Жызнь прекрасна.,Жизнь прекрасна.,3,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_4_2,homogeneous_comma,Мы проверили и отчет и заявку. Позже редактор сохранил копию.,"Мы проверили и отчет, и заявку. Позже редактор сохранил копию.",11,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_3_4_2_1,hyphen_koe_koy,Кое кто проверил рабочий отчет. Позже редактор сохранил копию.,Кое-кто проверил рабочий отчет. Позже редактор сохранил копию.,10,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_3_4_2_2,hyphen_particles,Кто то проверил рабочий отчет. Позже редактор сохранил копию.,Кто-то проверил рабочий отчет. Позже редактор сохранил копию.,10,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_3_5_3_2,hyphen_po_adverbs,Он говорит по русски о проекте. Позже редактор сохранил копию.,Он говорит по-русски о проекте. Позже редактор сохранил копию.,14,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_3_11,hyphen_whitelist,Он сделал это по-умолчанию.,Он сделал это по умолчанию.,6,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
punctuation_6_1_1,introductory_comma,Конечно отчет готов.,"Конечно, отчет готов.",4,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_7_3,keyboard_typo_candidate,"Редактор проверил молокл, когда готовил рабочий отчет.","Редактор проверил молоко, когда готовил рабочий отчет.",9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_4_1,missing_hard_sign,Автор увидел сезд и открыл рабочий отчет утром.,Автор увидел съезд и открыл рабочий отчет утром.,9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_7_1,missing_letter_candidate,"Редактор проверил млоко, когда готовил рабочий отчет.","Редактор проверил молоко, когда готовил рабочий отчет.",9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_3_6_5,n_nn_adjective,"Редактор проверил длиный, когда готовил рабочий отчет.","Редактор проверил длинный, когда готовил рабочий отчет.",8,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_3_6_7,n_nn_deverbal_adjective,"Редактор проверил жаренный, когда готовил рабочий отчет.","Редактор проверил жареный, когда готовил рабочий отчет.",8,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_3_6_6,n_nn_participle,"Редактор проверил подписаный, когда готовил рабочий отчет.","Редактор проверил подписанный, когда готовил рабочий отчет.",8,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_3_6_8,n_nn_short_form,"Редактор проверил уверенны, когда готовил рабочий отчет.","Редактор проверил уверены, когда готовил рабочий отчет.",8,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_3_7_1_4_1,ne_adjective,"Редактор проверил не сложный, когда готовил рабочий отчет.","Редактор проверил несложный, когда готовил рабочий отчет.",9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_3_7_1_4_1,ne_adverb,"Редактор проверил не случайно, когда готовил рабочий отчет.","Редактор проверил неслучайно, когда готовил рабочий отчет.",9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_3_7_2_11,ne_participle,"Редактор проверил не проверенный, когда готовил рабочий отчет.","Редактор проверил непроверенный, когда готовил рабочий отчет.",9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_3_7_2_1,ne_verb,Решенье созрелоМгновенье – и врезался дерзко он в хрупкое тело.Пощады незнает стихия.,Решенье созрелоМгновенье – и врезался дерзко он в хрупкое тело.Пощады не знает стихия.,13,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_2_9_8,ni_stable_expression,Не разу не ошибся редактор. Позже редактор сохранил копию.,Ни разу не ошибся редактор. Позже редактор сохранил копию.,10,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_2_3,pattern_жо_же,Команда внесла жосткий в рабочий отчет перед встречей.,Команда внесла жесткий в рабочий отчет перед встречей.,9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_2_2,pattern_жы_жи,Команда внесла жытель в рабочий отчет перед встречей.,Команда внесла житель в рабочий отчет перед встречей.,9,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_2_2,pattern_цы_ци,"Секретарь сохранил лекцыя, потому что рабочий отчет был важен.","Секретарь сохранил лекция, потому что рабочий отчет был важен.",10,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
orthography_1_1_2_3,pattern_чо_че,"Редактор проверил черный, когда готовил рабочий отчот.","Редактор проверил черный, когда готовил рабочий отчет.",8,True,1.0,INCLUDE_AFTER_TRAINING,candidate-backed probe matched
